"年月[西暦]","収受日","業態","届出種類","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日","緯度","経度"
"202204","2022/3/31","薬局","新規","セルフケア薬局　東京ポートシティ竹芝店","東京都港区海岸一丁目7番1号","東京ポートシティ竹芝オフィスタワー6階",,"3港み生薬第81号","2022/4/26","35.655311","139.7604"
"202205","2022/4/22","薬局","新規","あかさか薬局","東京都港区赤坂三丁目5番2号","サンヨー赤坂ビル1階","03-6426-5639","4港み生薬第10号","2022/5/30","35.673679","139.738596"
"202205","2022/4/19","薬局","新規","みらくる薬局","東京都港区東新橋一丁目9番1号","東京汐留ビルディング地下2階",,"4港み生薬第6号","2022/5/9","35.662940","139.761215"
"202206","2022/5/23","薬局","新規","そうごう薬局　赤坂インターシティＡＩＲ店","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR地下1階","03-6441-0971","4港み生薬第15号","2022/6/8","35.669827","139.742197"
"202206","2022/5/9","薬局","新規","あたご調剤薬局　浜松町店","東京都港区芝浦一丁目3番10号","チサンホテル浜松町1階","03-6811-5655","4港み生薬第11号","2022/6/1","35.649863","139.755531"
"202206","2022/5/20","薬局","新規","ウエルシア薬局田町グランパーク店","東京都港区芝浦三丁目4番1号","グランパークB1F",,"4港み生薬第14号","2022/6/8","35.643577","139.745802"
"202206","2022/5/26","薬局","新規","なの花薬局　虎ノ門店","東京都港区虎ノ門一丁目1番18号","ヒューリック虎ノ門ビル1階","03-6206-7480","4港み生薬第18号","2022/6/6","35.670054","139.750888"
"202207","2022/5/24","薬局","新規","アイビス薬局　三田店","東京都港区三田三丁目1番5号","1階","03-6453-8914","4港み生薬第16号","2022/7/14","35.647789","139.743720"
"202208","2022/7/25","薬局","新規","はなみずき薬局","東京都港区芝浦三丁目13番18号","TOHOビル1階","03-6809-3166","4港み生薬第27号","2022/8/1","35.643222","139.748857"
"202208","2022/8/8","薬局","新規","メディプレイス３６５訪問薬局","東京都港区西麻布一丁目15番16号","西麻布SDビル202","03-6804-1959","4港み生薬第29号","2022/8/30","35.661911","139.723193"
"202210","2022/9/8","薬局","新規","セルフケア薬局　東京ポートシティ竹芝店","東京都港区海岸一丁目7番1号","東京ポートシティ竹芝オフィスタワー6階",,"4港み生薬第34号","2022/10/1","35.655311","139.7604"
"202210","2022/9/12","薬局","新規","ひむか薬局芝浦店","東京都港区芝浦三丁目13番11号","メディカルスクウェア芝浦1階","03-6275-1502","4港み生薬第35号","2022/10/3","35.642784","139.748431"
"202211","2022/11/15","薬局","新規","さざなみ薬局　麻布十番店","東京都港区麻布十番一丁目5番12号","麻布永谷マンション1階","03-3478-3373","4港み生薬第50号","2022/11/30","35.656770","139.733888"
"202211","2022/10/19","薬局","新規","大信薬局虎ノ門店","東京都港区虎ノ門三丁目10番4号","虎ノ門ガーデン102号室","03-6453-0617","4港み生薬第41号","2022/11/1","35.664775","139.74772"
"202212","2022/11/11","薬局","新規","田町駅前薬局","東京都港区芝浦三丁目1番32号","なぎさテラス108‐B","03-3457-7700","4港み生薬第48号","2022/12/1","35.644924","139.748367"
"202301","2022/12/13","薬局","新規","そうごう薬局　麻布十番店","東京都港区麻布十番一丁目7番11号","麻布井上ビル1階","03-3401-8717","4港み生薬第55号","2023/1/1","35.656315","139.734587"
"202301","2022/12/1","薬局","新規","クオール薬局田町店","東京都港区芝五丁目31番5号","MEFULL田町1階","03-6435-3089","4港み生薬第53号","2023/1/23","35.646742","139.746183"
"202302","2022/12/21","薬局","新規","みらい薬局","東京都港区赤坂一丁目7番1号","赤坂榎坂ビル4F","03-5114-5101","4港み生薬第57号","2023/2/1","35.669220","139.741745"
"202302","2023/1/27","薬局","新規","さくら薬局　三田店","東京都港区三田五丁目12番3号","パークリュクス白金高輪101","03-6435-4551","4港み生薬第62号","2023/2/9","35.645336","139.738339"
"202303","2023/2/8","薬局","新規","薬局日本メディカルシステム　麻布十番店","東京都港区麻布十番二丁目20番6号","麻布十番エムエービルディング1F","03-6275-1057","4港み生薬第64号","2023/3/8","35.654950","139.736682"
"202303","2023/2/6","薬局","新規","白金ザ・スカイ薬局","東京都港区白金一丁目2番2号","白金ザ・スカイ西棟1階W111-2",,"4港み生薬第63号","2023/3/20","35.646231","139.735073"
"202303","2023/3/15","薬局","新規","ＴＨＥ　ＰＨＡＲＭＡＣＹ　ＳＨＩＲＯＫＡＮＥ","東京都港区白金一丁目14番11号",,,"4港み生薬第75号","2023/3/29","35.645313","139.733340"
"202303","2023/3/15","薬局","新規","薬局トモズ白金高輪店","東京都港区高輪一丁目3番1号","プレミストタワー白金高輪1階","03-6432-5037","4港み生薬第76号","2023/3/27","35.643617","139.735347"
"202303","2023/2/16","薬局","新規","たかなわ台薬局","東京都港区高輪三丁目7番8号","西町ビル1F","03-5422-8158","4港み生薬第66号","2023/3/7","35.632756","139.732319"

"薬局新規許可一覧(令和5年3月31日現在)","Ver202303",,,,,,,,,,
