,総数(男),総数（女）,総数（総数）,管理職（部長）,管理職（課長）,係長・主査,一般職員（事務）,一般職員（福祉）,一般職員（技術）,一般職員（医療）,一般職員（技能）,一般職員（その他）,再任用(短時間勤務),非常勤（再雇用）,非常勤（一般）
企画経営室,43,17,60,2,6,16,35,,1,,,,6,,5
総務部,69,27,96,2,6,22,47,1,13,,5,,4,2,8
危機管理担当,123,123,246,1,3,36,205,,,,1,,14,1,27
区民部,18,19,37,1,2,10,24,,,,,,2,,1
区民活動推進部,35,12,47,1,4,11,31,,,,,,4,1,25
環境担当,157,101,258,1,6,49,170,31,,,1,,34,10,35
産業観光部,42,427,469,1,4,63,39,336,,12,14,,22,5,129
福祉保健部,42,72,114,3,2,25,36,,17,31,,,7,1,15
子ども・子育て支援担当,42,25,67,1,4,19,20,,23,,,,,,
保健衛生担当,20,2,22,1,3,5,13,,,,,,,,7
都市計画部,93,11,104,1,3,19,22,,36,,23,,9,,
都市整備部,129,13,142,1,2,8,26,1,4,,100,,11,1,2
立体化推進担当,16,2,18,1,3,7,2,,5,,,,1,,
会計管理室,8,9,17,1,,2,14,,,,,,,,1
区議会事務局,9,3,12,1,1,5,5,,,,,,,1,
選挙管理委員会事務局,7,1,8,1,,2,5,,,,,,,,
監査委員事務局,3,2,5,1,,3,1,,,,,,,,1
教育委員会事務局,68,44,112,3,5,26,74,,2,1,1,,11,1,60
（公社・事業団・財団）,,,,,,,,,,,,,,,
（一部事務組合等）,12,,12,,,1,5,,6,,,,,,
小計,924,910,1834,24,54,328,769,369,101,44,145,0,125,23,316
公社及び一部事務組合派遣職員等の小計（外数）,12,,12,,,1,5,,6,,,,,,
区費学校関係職員,15,12,27,,,,,,,2,25,,12,,70
幼稚園の園長、副園長及び教員の区費学校関係職員(外数）,,23,23,,3,3,,,,,,17,,,
合計,939,922,1861,24,54,328,769,369,101,46,170,0,137,23,386
