歳入歳出区分,財源区分,区分,平成24年度金額[千円],平成24年度構成比[％],平成24年度指標,平成25年度金額[千円],平成25年度構成比[％],平成25年度指標,平成26年度金額[千円],平成26年度構成比[％],平成26年度指標,平成27年度金額[千円],平成27年度構成比[％],平成27年度指標,平成28年度（同時補正を含む予算額）金額[千円],平成28年度（同時補正を含む予算額）構成比[％],平成28年度（同時補正を含む予算額）指標
歳入,一般財源,特別区税,20518741,19.2,100,21181504,20.7,103,21899299,19.9,107,22588652,20.1,110,22923000,20.8,112
歳入,一般財源,地方譲与税,379715,0.4,100,361702,0.3,95,344584,0.3,91,359743,0.3,95,331000,0.3,87
歳入,一般財源,利子割交付金,249306,0.2,100,322577,0.3,129,328579,0.3,132,284883,0.3,114,172000,0.2,69
歳入,一般財源,配当割交付金,126476,0.1,100,220357,0.2,174,415212,0.4,328,343694,0.3,272,836000,0.8,661
歳入,一般財源,株式等譲渡所得割交付金,32679,0,100,287920,0.3,881,349574,0.3,1070,339465,0.3,1039,484000,0.4,1481
歳入,一般財源,地方消費税交付金,3301627,3.1,100,3273488,3.2,99,3967374,3.6,120,6574485,5.9,199,6061000,5.5,184
歳入,一般財源,自動車取得税交付金,229891,0.2,100,223976,0.2,97,115029,0.1,50,161869,0.1,70,146000,0.1,64
歳入,一般財源,地方特例交付金,169130,0.2,100,165850,0.1,98,148663,0.2,88,159521,0.1,94,146000,0.1,86
歳入,一般財源,特別区交付金,36810967,34.5,100,37068107,36.3,101,39414338,35.8,107,40457214,36,110,38753000,35.1,105
歳入,一般財源,交通安全対策特別交付金,34575,0,100,33377,0,97,28886,0,84,29190,0,84,35000,0,101
歳入,一般財源,計,61853107,57.9,100,63138858,61.6,102,67011538,60.9,108,71298716,63.4,115,69887000,63.3,113
歳入,特定財源,分担金及び負担金,1552881,1.5,100,1577754,1.5,102,1619356,1.5,104,1897611,1.7,122,2524827,2.3,163
歳入,特定財源,使用料及び手数料,2115793,2,100,2199874,2.2,104,2193477,2,104,2150350,1.9,102,2159517,2,102
歳入,特定財源,国庫支出金,20351239,19,100,19654404,19.2,97,20635701,18.8,101,20996774,18.7,103,20797783,18.8,102
歳入,特定財源,都支出金,6265694,5.9,100,6064973,5.9,97,6719754,6.1,107,6793314,6,108,7438007,6.7,119
歳入,特定財源,財産収入,168713,0.2,100,459979,0.5,273,125144,0.1,74,150400,0.1,89,88070,0.1,52
歳入,特定財源,寄付金,132349,0.1,100,257316,0.3,194,362081,0.3,274,260959,0.2,197,225300,0.2,170
歳入,特定財源,繰越金,2908945,2.7,100,2784160,2.7,96,3186648,2.9,110,2922413,2.6,100,1500000,1.4,52
歳入,特定財源,諸収入,2005002,1.8,100,1829268,1.7,91,1488839,1.3,74,1639017,1.5,82,1401148,1.3,70
歳入,特定財源,繰入金,5367880,5,100,2548265,2.5,47,2413805,2.2,45,1873529,1.7,35,1064948,0.9,20
歳入,特定財源,特別区債,4134200,3.9,100,1993000,1.9,48,4243000,3.9,103,2434000,2.2,59,3346000,3,81
歳入,特定財源,計,45002696,42.1,100,39368993,38.4,87,42987805,39.1,96,41118367,36.6,91,40545600,36.7,90
歳入,,歳入合計,106855803,100,100,102507851,100,96,109999343,100,103,112417083,100,105,110432600,100,103
歳出,,議会費,659683,0.6,100,637770,0.6,97,653772,0.6,99,685882,0.6,104,666992,0.6,101
歳出,,総務費,10600341,10.2,100,9332227,9.4,88,10971254,10.3,103,10795418,9.9,102,8467563,7.7,80
歳出,,区民生活費,5199547,5,100,5226896,5.3,101,5674779,5.3,109,5775350,5.3,111,5326936,4.8,102
歳出,,資源環境費,4064363,3.8,100,3888747,3.8,96,3888068,3.6,96,3715501,3.4,91,3863765,3.5,95
歳出,,民生費,52875880,50.8,100,53984481,54.4,102,56421643,52.7,107,58090883,53.5,110,60853944,55.1,115
歳出,,衛生費,3270360,3.2,100,3378342,3.5,103,3520193,3.3,108,3653535,3.4,112,3774941,3.4,115
歳出,,産業観光費（産業経済費）,2041247,2,100,1835266,1.8,90,1761883,1.6,86,1832456,1.7,90,1904351,1.7,93
歳出,,土木費,8318031,8,100,6988134,7,84,8360403,7.8,101,8760572,8.1,105,8987341,8.1,108
歳出,,教育費,12305717,11.8,100,9526551,9.6,77,11687976,10.9,95,10196501,9.4,83,12567936,11.4,102
歳出,,諸支出金,4736474,4.6,100,4522789,4.6,95,4136959,3.9,87,5158838,4.7,109,3918831,3.6,83
歳出,,予備費(補充額),(48278),0,100,(61333),,127,(72230),,150,(50371),0,104,100000,0.1,-207
歳出,,歳出合計,104071643,100,100,99321203,100,95,107076930,100,103,108664936,100,104,110432600,100,106
