,平成23年度金額(千円),平成23年度指数（％）,平成24年度金額(千円),平成24年度指数（％）,平成25年度金額(千円),平成25年度指数（％）,平成26年度金額(千円),平成26年度指数（％）,平成27年度金額(千円),平成27年度指数（％）
歳入総額Ａ,109296480,100,106855803,97.76692076,102507851,93.78879448,109999343,100.6430793,112417083,102.8551725
歳出総額Ｂ,106387535,100,104071643,97.82315475,99321203,93.35793239,107076930,100.6480035,108664935,102.1406643
差引(Ａ－Ｂ)Ｃ,2908945,100,2784160,95.71030047,3186648,109.5465194,2922413,100.4629857,3752148,128.986557
翌年度に繰り越すべき財源Ｄ,223023,100,406991,182.4883532,97378,43.66276124,213870,95.89593898,414078,185.6660524
実質収支(Ｃ－Ｄ)Ｅ,2685922,100,2377169,88.50476671,3089270,115.0171152,2708543,100.8422061,3338070,124.2802285
単年度収支(Ｅの対前年度増加額),331846,100,-308753,-93.04104916,712101,214.5877907,-356781,-107.5140276,629527,189.7045618
実質単年度収支,-1098215,100,-1675241,152.5421707,818679,-74.546332,1159579,-105.5876126,2325765,-211.7768379
基準財政需要額（普通）　　 　 ,54881092,100,56073515,102.1727392,57268915,104.3509029,59895453,109.1367734,64536949,117.5941415
基準財政収入額（普通）,20789295,100,20881573,100.4438727,21600734,103.9031579,22960585,110.4442695,26052793,125.3183093
標準財政規模（普通）,61168582,100,60930655,99.61103071,60569810,99.02111185,63299139,103.4830904,67865068,110.9475907
地方債現在高,31228103,100,31650373,101.3522115,30240282,96.8367563,31393099,100.5283574,30162116,96.58644971
債務負担行為額,20155603,100,15859392,78.6847806,15957965,79.17384064,16615981,82.43852094,14125465,70.08207594
