区分,,平成24年度金額[千円],平成24年度構成比[％],平成24年度指数,平成25年度金額[千円],平成25年度構成比[％],平成25年度指数,平成26年度金額[千円],平成26年度構成比[％],平成26年度指数,平成27年度金額[千円],平成27年度構成比[％],平成27年度指数,平成28年度（当初予算）金額[千円],平成28年度（当初予算）構成比[％],平成28年度（当初予算）指数
歳入,国民健康保険料,6577760,22.7,100,6903472,23.8,105,6927039,23.5,105,6918033,20.2,105,7001098,20.8,106
歳入,一部負担金,0,0,100,0,0,100,0,0,100,0,0,100,4,0,
歳入,使用料及び手数料,34,0,100,40,0,118,73,0,215,82,0,241,60,0,176
歳入,国庫支出金,6199377,21.4,100,6329803,21.8,102,6627921,22.5,107,6517972,19,105,6308953,18.7,102
歳入,療養給付費交付金,1504597,5.2,100,1192289,4.1,79,935034,3.2,62,635389,1.9,42,594998,1.8,40
歳入,前期高齢者交付金,5331089,18.4,100,5228039,18,98,5092971,17.3,96,5484812,16,103,5500000,16.3,103
歳入,都支出金,1697919,5.9,100,1778960,6.1,105,1840167,6.2,108,1768452,5.2,104,1706652,5,101
歳入,共同事業交付金,3028023,10.5,100,2991846,10.3,99,3173026,10.7,105,7819284,22.9,258,8349000,24.8,276
歳入,繰入金,4030962,13.9,100,4207003,14.5,104,4322112,14.6,107,4549290,13.3,113,4224615,12.5,105
歳入,繰越金,514522,1.8,100,383586,1.3,75,536570,1.8,104,490935,1.4,95,1,0,0
歳入,諸収入,60516,0.2,100,42169,0.1,70,47522,0.2,79,40745,0.1,67,31619,0.1,52
歳入,合計,28944799,100,100,29057207,100,100,29502435,100,102,34224994,100,118,33717000,100,116
歳出,総務費,542964,1.9,100,561688,2,103,555351,1.9,102,575041,1.7,106,597689,1.8,110
歳出,保険給付費,18609361,65.2,100,18500629,64.9,99,18808678,64.8,101,18731699,56.4,101,19051294,56.5,102
歳出,後期高齢者支援金等,3864328,13.5,100,3991166,14,103,3958928,13.7,102,3883940,11.7,101,3720300,11,96
歳出,前期高齢者納付金等,4087,0,100,4071,0,100,3090,0,76,2629,0,64,2100,0,51
歳出,老人保健拠出金,165,0,100,146,0,88,136,0,82,136,0,82,141,0,85
歳出,介護納付金,1691639,5.9,100,1782143,6.2,105,1790533,6.2,106,1634965,4.9,97,1600000,4.8,95
歳出,共同事業拠出金,3075363,10.8,100,3022037,10.6,98,3086934,10.6,100,7615535,22.9,248,8195820,24.3,266
歳出,保健事業費,228220,0.8,100,233407,0.8,102,234018,0.8,103,268175,0.8,118,301650,0.9,132
歳出,諸支出金,545086,1.9,100,425350,1.5,78,573832,2,105,525028,1.6,96,48006,0.1,9
歳出,予備費(補充額),(0),0,100,(1472),0,,(1750),0,,(3942),0,,200000,0.6,
歳出,合計,28561213,100,100,28520637,100,99.8579332,29011500,100,102,33237148,100,116,33717000,100,118
