区分,,平成23年度金額[千円],平成23年度構成比[％],平成23年度指数,平成24年度金額[千円],平成24年度構成比[％],平成24年度指数,平成25年度金額[千円],平成25年度構成比[％],平成25年度指数,平成26年度金額[千円],平成26年度構成比[％],平成26年度指数,平成27年度金額[千円],平成27年度構成比[％],平成27年度指数
歳入,介護保険料,2382597,15.6,100,3511456,21,147,3637037,20.6,153,3771416,20.3,158,3801371,20.3,160
歳入,使用料及び手数料,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
歳入,国庫支出金,3244874,21.3,100,3522525,21,109,3728991,21.1,115,3930251,21.1,121,4031454,21.5,124
歳入,支払基金交付金,4196751,27.6,100,4376986,26.1,104,4542473,25.7,108,4776244,25.7,114,4785533,25.6,114
歳入,都支出金,2172348,14.3,100,2390280,14.3,110,2345656,13.3,108,2443070,13.1,112,2509222,13.4,116
歳入,財産収入,532,0,100,229,0,43,217,0,41,350,0,66,365,0,69
歳入,繰入金,3047839,20,100,2651340,15.8,87,2811456,15.9,92,3058395,16.4,100,2893822,15.5,95
歳入,繰越金,184692,1.2,100,297889,1.8,161,589766,3.4,319,622508,3.4,337,686156,3.7,372
歳入,諸収入,1036,0,100,1218,0,118,987,0,95,1179,0,114,466,0,45
歳入,合計,15230669,100,100,16751923,100,110,17656583,100,116,18603413,100,122,18708389,100,123
歳出,総務費,550798,3.9,100,558833,3.7,101,548041,3.4,99,535222,3.2,97,588304,3.1,107
歳出,保険給付費,13059663,92.2,100,13843570,92.7,106,14812903,91.7,113,15532967,91.2,119,17011998,91.4,130
歳出,地域支援事業費,339297,2.4,100,351013,2.4,103,359804,2.2,106,381063,2.2,112,335180,1.8,99
歳出,財政安定化基金拠出金,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
歳出,諸支出金,208640,1.5,100,179365,1.2,86,441409,2.7,212,584824,3.4,280,682192,3.7,327
歳出,予備費（補充額）,(3113),,,0,,,(800),,,0,,,0,,
歳出,合計,14158398,100,100,14932781,100,105,16162157,100,114,17034076,100,120,18617674,100,131
