区分,,,平成24年度,平成25年度,平成26年度,平成27年度,平成28年度
基準財政収入額,特別区税,特別区民税,704001459,722128197,732089085,758249864,797131297
基準財政収入額,特別区税,軽自動車税,2305199,2279584,2310174,2371974,3075897
基準財政収入額,特別区税,特別区たばこ税,61744843,68648057,65427458,65211319,68896042
基準財政収入額,特別区税,鉱産税,0,0,0,0,0
基準財政収入額,特別区税,小計,768051501,793055838,799826717,825833157,869103236
基準財政収入額,利子割交付金,,9845623,8854858,10823186,9837063,4498312
基準財政収入額,配当割交付金,,4799694,4975951,11361981,19997296,24536078
基準財政収入額,株式等譲渡所得割交付金,,967876,1075296,9306506,12338089,14519446
基準財政収入額,地方消費税交付金,,116125413,107392539,135082038,200061102,196852810
基準財政収入額,ゴルフ場利用税交付金,,33686,32250,36015,32880,27093
基準財政収入額,自動車取得税交付金,,7997617,6667886,3835119,3166415,5527565
基準財政収入額,特別交付金,,0,0,0,0,0
基準財政収入額,地方特例交付金（減収補てん特例交付金）,,4560060,4195182,3985594,3796903,3862338
基準財政収入額,計,,912381470,926249800,974257156,1075062905,1118926878
基準財政収入額,地方特例交付金（児童手当特例交付金）,,0,0,0,0,0
基準財政収入額,地方揮発油譲与税,,4181942,4153606,4092299,4034129,3947124
基準財政収入額,自動車重量譲与税,,10277797,9625069,9239443,9180136,9010621
基準財政収入額,航空機燃料譲与税,,688113,661086,739398,807947,813863
基準財政収入額,交通安全対策特別交付金,,1245004,1174092,1251346,1205880,1120409
基準財政収入額,合計,,928774326,941863653,989579642,1090290997,1133818895
基準財政収入額,特例加減算額,,-1613523,-2559928,1034747,8478040,-4322329
基準財政収入額,基準財政収入額,,927160803,939303725,990614389,1098769037,1142928026
基準財政需要額,経常的経費,,1589623056,1595418457,1651399106,1697107247,1758323070
基準財政需要額,投資的経費,,138425647,179565956,239402941,299014711,274874594
基準財政需要額,基準財政需要額,,1728048703,1774984413,1890802047,1996121958,2033197664
基準財政需要額-基準財政収入額,,,800887900,835680688,900187658,897352921,890269638
内訳,財源不足額,,815311331,846799048,909198569,907896933,905742287
内訳,財源超過額,,14423431,11118360,9010911,10544012,15472649
調整交付金,普通交付金,,815311331,846799048,909198569,907896933,905742287
調整交付金,特別交付金,,43717406,45568750,49058492,48712870,48778555
調整交付金,計,,859028737,892367798,958257061,956609803,954520842
調整税等,固定資産税,,1096165371,1104023096,1131393154,1146627916,1168746000
調整税等,市町村民税法人分,,488304064,547879800,643114728,611815649,600458000
調整税等,特別土地保有税,,13000,12002,12000,10019,10000
調整税等,たばこ税調整額,,0,0,0,0,0
調整税等,交付金調整額,,0,0,0,0,0
調整税等,計,,1584482435,1651914898,1774519882,1758453584,1769214000
調整率(％),,,55,55,55,55,55
基本額,当年度分,,871465339,908553194,975985935,967149471,973067700
基本額,清算分,,2882785,2821799,5183911,7107924,2503397
基本額,計,,874348124,911374993,981169846,974257395,975571097
