区分,,平成24年度金額[千円],平成24年度構成比[％],平成24年度指数,平成25年度金額[千円],平成25年度構成比[％],平成25年度指数,平成26年度金額[千円],平成26年度構成比[％],平成26年度指数,平成27年度金額[千円],平成27年度構成比[％],平成27年度指数,平成28年度（当初予算）金額[千円],平成28年度（当初予算）構成比[％],平成28年度（当初予算）指数
歳入,後期高齢者医療保険料,1839948,38.9,100,1865388,38.3,101,2016922,39.6,110,2053905,39.8,112,2054264,40.5,112
歳入,使用料及び手数料,0,0,100,0,0,100,0,0,100,0,0,100,1,0,0
歳入,繰入金,2621341,55.4,100,2638027,54.2,101,2690523,52.8,103,2817350,54.7,107,2837121,56,108
歳入,繰越金,142646,3,100,233220,4.8,163,236818,4.7,166,107370,2.1,75,1,0,0
歳入,諸収入,129782,2.7,100,132296,2.7,102,146490,2.9,113,174863,3.4,135,175613,3.5,135
歳入,国庫支出金,,,,,,,,,,,,,,,
歳入,合計,4733718,100,100,4868931,100,102,5090753,100,108,5153488,100,109,5067000,100,107
歳出,総務費,135947,3,100,138338,3,102,139140,2.8,102,127485,2.6,94,154761,3.1,114
歳出,広域連合納付金,4030306,89.6,100,4072091,87.9,101,4420041,88.7,110,4412795,90.3,109,4600515,90.8,114
歳出,葬祭費,101675,2.2,100,94835,2,93,100239,2,99,97713,2,96,111377,2.2,110
歳出,保健事業費,90610,2,100,94486,2,104,96161,1.9,106,142380,2.9,157,143246,2.8,158
歳出,諸支出金,141960,3.2,100,232363,5,164,227802,4.6,160,109276,2.2,77,7101,0.1,5
歳出,予備費,0,0,100,0,0,100,0,0,100,0,0,100,50000,1,100
歳出,合計,4500498,100,100,4632113,100,103,4983383,100,111,4889649,100,109,5067000,100,113
