年度,評価の種類,公表件数,概要,URL
2018,事後検証による評価,594,事業実施に伴う成果や決算状況の検証を徹底し、必要性や有益性のほか、執行体制や将来への影響などにも十分に留意した上で、今後の対応を評価,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/29jigyouhyouka/01_29jigo.pdf
2018,自律的経費評価,369,各局の創意工夫を促すという観点から、経常的・定型的な経費について、各局の責任の下で自主的・自律的な検証に基づく評価を実施,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/29jigyouhyouka/02_29jiritsu.pdf
2018,情報システム関係評価,29,情報システムの開発・運用に当たり、費用対効果を高める観点から、有効性やコストを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/29jigyouhyouka/03_29it.pdf
2018,監理団体への支出評価,41,監理団体への支出を通じて実施する事業について、必要性や有益性、団体が実施する妥当性などを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/29jigyouhyouka/04_29kanri.pdf
2018,報告団体への支出評価,6,報告団体への支出を通じて実施する事業について、必要性や有益性、団体が実施する妥当性などを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/29jigyouhyouka/05_29houkoku.pdf
2018,執行体制の見直しを伴う事業評価,1,効率的・効果的な事業執行を図る観点から、執行体制を含めた事業の実施方法などを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/29jigyouhyouka/06_29taisei.pdf
2018,監査結果に基づき見直しを図る事業評価,9,監査結果に基づく見直し内容を迅速かつ的確に予算に反映するため、効率性等の観点から、改善内容などを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/29jigyouhyouka/07_29kansa.pdf
2018,複数年度契約の活用を図る事業評価,19,単年度契約のほか、債務負担行為や長期継続契約による複数年度契約の活用も含めた、最適な契約方法を分析・検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/29jigyouhyouka/08_29keiyaku.pdf
2018,エビデンス・ベース（客観的指標）による評価,18,施設の整備・改修や重要資産の購入等に当たり、統計データや技術的指標などのエビデンス・ベース（客観的指標）により事業の妥当性等を検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/29jigyouhyouka/09_29kyakkan.pdf
2019,事後検証による評価,662,事業実施に伴う成果や決算状況の検証を徹底し、必要性や有益性のほか、執行体制や将来への影響などにも十分に留意した上で、今後の対応を評価,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/30jigyouhyouka/01_30jigo.pdf
2019,自律的経費評価,425,各局の創意工夫を促すという観点から、経常的・定型的な経費について、各局の責任の下で自主的・自律的な検証に基づく評価を実施,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/30jigyouhyouka/02_30jiritsu.pdf
2019,情報システム関係評価,26,情報システムの開発・運用に当たり、費用対効果を高める観点から、有効性やコストを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/30jigyouhyouka/03_30it.pdf
2019,監理団体への支出評価,42,監理団体への支出を通じて実施する事業について、必要性や有益性、団体が実施する妥当性などを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/30jigyouhyouka/04_30kanri.pdf
2019,報告団体への支出評価,5,報告団体への支出を通じて実施する事業について、必要性や有益性、団体が実施する妥当性などを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/30jigyouhyouka/05_30houkoku.pdf
2019,執行体制の見直しを伴う事業評価,2,効率的・効果的な事業執行を図る観点から、執行体制を含めた事業の実施方法などを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/30jigyouhyouka/06_30taisei.pdf
2019,監査結果に基づき見直しを図る事業評価,3,監査結果に基づく見直し内容を迅速かつ的確に予算に反映するため、効率性等の観点から、改善内容などを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/30jigyouhyouka/07_30kansa.pdf
2019,複数年度契約の活用を図る事業評価,23,単年度契約のほか、債務負担行為や長期継続契約による複数年度契約の活用も含めた、最適な契約方法を分析・検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/30jigyouhyouka/08_30keiyaku.pdf
2019,エビデンス・ベース（客観的指標）による評価,20,施設の整備・改修や重要資産の購入、補助・委託事業の実施等に当たり、統計データや技術的指標などのエビデンス・ベース（客観的指標）により事業の妥当性等を検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/30jigyouhyouka/09_30kyakkan.pdf
2020,事後検証による評価,690,事業実施に伴う成果や決算状況の検証を徹底し、必要性や有益性のほか、執?体制や将来への影響などにも?分に留意した上で、今後の対応を評価,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/01jigyouhyouka/01_01jigo.pdf
2020,自律的経費評価,452,各局の創意?夫を促すという観点から、経常的・定型的な経費について、各局の責任の下で?主的・?律的な検証に基づく評価を実施,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/01jigyouhyouka/02_01jiritsu.pdf
2020,ICT関係評価,30,情報システムの開発・運?及びＩＣＴを活?した新たな事業展開に当たり、費?対効果を?めるとともに、実効性確保の視点も含め、有効性・実現性・コストなどを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/01jigyouhyouka/03_01ICT.pdf
2020,政策連携団体への支出評価,44,政策連携団体への?出を通じて実施する事業について、必要性や有益性、団体が実施する妥当性などを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/01jigyouhyouka/04_01seisaku.pdf
2020,執行体制の見直しを伴う事業評価,1,効率的・効果的な事業執?を図る観点から、執?体制を含めた事業の実施?法などを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/01jigyouhyouka/05_01sikkou.pdf
2020,監査結果に基づき見直しを図る事業評価,1,監査結果に基づく?直し内容を迅速かつ的確に予算に反映するため、効率性等の観点から、改善内容などを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/01jigyouhyouka/06_01kansa.pdf
2020,複数年度契約の活用を図る事業評価,28,単年度契約のほか、債務負担?為や?期継続契約による複数年度契約の活?も含めた、最適な契約?法を分析・検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/01jigyouhyouka/07_01keiyaku.pdf
2020,エビデンス・ベース（客観的指標）による評価,20,施設の整備・改修や重要資産の購?、補助・委託事業の実施等に当たり、統計データや技術的指標などのエビデンス・ベース（客観的指標）により事業の妥当性等を検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/01jigyouhyouka/08_01kyakkan.pdf
2021,事後検証による評価,820,事業実施に伴う成果や決算状況の検証を徹底し、必要性や有益性のほか、執行体制や将来への影響などにも十分に留意した上で、今後の対応を評価,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/02jigyouhyouka/01_02jigo.pdf
2021,自律的経費評価,473,各局の創意工夫を促すという観点から、経常的・定型的な経費について、各局の責任の下で自主的・自律的な検証に基づく評価を実施,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/02jigyouhyouka/02_02jiritsu.pdf
2021,デジタル関係評価,21,情報システムの開発・運用及びデジタル技術を活用した新たな事業展開に当たり、費用対効果を高めるとともに、実効性確保の視点も含め、有効性・実現性・コストなどを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/02jigyouhyouka/03_02digital.pdf
2021,政策連携団体への支出評価,10,政策連携団体への支出を通じて実施する事業について、必要性や有益性、団体が実施する妥当性などを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/02jigyouhyouka/04_02seisaku.pdf
2021,執行体制の見直しを伴う事業評価,1,効率的・効果的な事業執行を図る観点から、執行体制を含めた事業の実施方法などを検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/02jigyouhyouka/05_02sikkou.pdf
2021,複数年度契約の活用を図る事業評価,22,単年度契約のほか、債務負担行為や長期継続契約による複数年度契約の活用も含めた、最適な契約方法を分析・検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/02jigyouhyouka/06_02keiyaku.pdf
2021,エビデンス・ベース（客観的指標）による評価,13,施設の整備・改修や重要資産の購入、補助・委託事業の実施等に当たり、統計データや技術的指標などのエビデンス・ベース（客観的指標）により事業の妥当性等を検証,https://www.zaimu.metro.tokyo.lg.jp/syukei1/zaisei/02jigyouhyouka/07_02kyakkan.pdf
2022,事後検証による評価,864,事業実施に伴う成果や決算状況の検証を徹底し、必要性や有益性のほか、執行体制や将来への影響などにも十分に留意した上で、今後の対応を評価,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka03/4_03jigohyouka.csv
2022,自律的経費評価,451,各局の創意工夫を促すという観点から、経常的・定型的な経費について、各局の責任の下で自主的・自律的な検証に基づく評価を実施,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka03/5_03jiritsuhyouka.csv
2022,デジタル関係評価,17,情報システムの開発・運用及びデジタル技術を活用した新たな事業展開に当たり、費用対効果を高めるとともに、実効性確保の視点も含め、有効性・実現性・コストなどを検証,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka03/6_03digital.csv
2022,政策連携団体への支出評価,9,政策連携団体への支出を通じて実施する事業について、必要性や有益性、団体が実施する妥当性などを検証,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka03/7_03seisaku.csv
2022,執行体制の見直しを伴う事業評価,1,効率的・効果的な事業執行を図る観点から、執行体制を含めた事業の実施方法などを検証,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka03/8_03sikkou.csv
2022,複数年度契約の活用を図る事業評価,15,単年度契約のほか、債務負担行為や長期継続契約による複数年度契約の活用も含めた、最適な契約方法を分析・検証,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka03/9_03keiyaku.csv
2022,エビデンス・ベース（客観的指標）による評価,11,施設の整備・改修や重要資産の購入、補助・委託事業の実施等に当たり、統計データや技術的指標などのエビデンス・ベース（客観的指標）により事業の妥当性等を検証,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka03/10_03kyakkan.csv
2023,事後検証による評価,954,事業実施に伴う成果や決算状況の検証を徹底し、必要性や有益性のほか、執行体制や将来への影響などにも十分に留意した上で、今後の対応を評価,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka04/4_04jigohyouka.csv
2023,自律的経費評価,420,各局の創意工夫を促すという観点から、経常的・定型的な経費について、各局の責任の下で自主的・自律的な検証に基づく評価を実施,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka04/5_04jiritsuhyouka.csv
2023,デジタル関係評価,21,情報システムの開発・運用及びデジタル技術を活用した新たな事業展開に当たり、費用対効果を高めるとともに、実効性確保の視点も含め、有効性・実現性・コストなどを検証,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka04/6_04digital.csv
2023,政策連携団体への支出評価,10,政策連携団体への支出を通じて実施する事業について、必要性や有益性、団体が実施する妥当性などを検証,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka04/7_04seisaku.csv
2023,執行体制の見直しを伴う事業評価,1,効率的・効果的な事業執行を図る観点から、執行体制を含めた事業の実施方法などを検証,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka04/8_04sikkou.csv
2023,複数年度契約の活用を図る事業評価,19,単年度契約のほか、債務負担行為や長期継続契約による複数年度契約の活用も含めた、最適な契約方法を分析・検証,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka04/9_04keiyaku.csv
2023,エビデンス・ベース（客観的指標）による評価,11,施設の整備・改修や重要資産の購入、補助・委託事業の実施等に当たり、統計データや技術的指標などのエビデンス・ベース（客観的指標）により事業の妥当性等を検証,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka04/10_04kyakkan.csv
2024,事後検証による評価,1050,事業実施に伴う成果や決算状況の検証を徹底し、必要性や有益性のほか、執行体制や将来への影響などにも十分に留意した上で、今後の対応を評価,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka05/4_05jigohyouka.csv
2024,自律的経費評価,420,各局の創意工夫を促すという観点から、経常的・定型的な経費について、各局の責任の下で自主的・自律的な検証に基づく評価を実施,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka05/5_05jiritsuhyouka.csv
2024,デジタル関係評価,20,情報システムの開発・運用及びデジタル技術を活用した新たな事業展開に当たり、費用対効果を高めるとともに、実効性や品質の確保の視点も含め、有効性・実現性・コストなどを検証,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka05/6_05digital.csv
2024,執行体制の見直しを伴う事業評価,1,効率的・効果的な事業執行を図る観点から、執行体制を含めた事業の実施方法などを検証,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka05/7_05sikkou.csv
2024,複数年度契約の活用を図る事業評価,15,単年度契約のほか、債務負担行為や長期継続契約による複数年度契約の活用も含めた、最適な契約方法を分析・検証,https://www.zaimu.metro.tokyo.lg.jp/zaisei/dashboard/hyouka05/8_05keiyaku.csv
