年度,区分,区分2,基金名,区分3,金額（億円）,備考
2024,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2023年度末残高（最終補正後）,"3,300",
2024,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2024年度積立額,0,
2024,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2024年度取崩額,"-1,930",
2024,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2024年度末残高,"1,371",
2024,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2023年度末残高（最終補正後）,0,
2024,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2024年度積立額,0,
2024,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2024年度取崩額,0,
2024,３つのシティ実現に向けた基金,セーフ シティ,＜端数調整＞,2024年度末残高,0,
2024,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2023年度末残高（最終補正後）,"3,895",
2024,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2024年度積立額,68,
2024,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2024年度取崩額,"-1,571",
2024,３つのシティ実現に向けた基金,スマート シティ,社会資本等整備基金,2024年度末残高,"2,394",
2024,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2023年度末残高（最終補正後）,885,
2024,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2024年度積立額,54,
2024,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2024年度取崩額,-27,
2024,３つのシティ実現に向けた基金,スマート シティ,鉄道新線建設等準備基金,2024年度末残高,912,
2024,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2023年度末残高（最終補正後）,"1,215",
2024,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2024年度積立額,0,
2024,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2024年度取崩額,-578,
2024,３つのシティ実現に向けた基金,スマート シティ,スマート東京推進基金,2024年度末残高,637,
2024,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2023年度末残高（最終補正後）,234,
2024,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2024年度積立額,0,
2024,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2024年度取崩額,-65,
2024,３つのシティ実現に向けた基金,スマート シティ,緑あふれる東京基金,2024年度末残高,169,
2024,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2023年度末残高（最終補正後）,"1,024",
2024,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2024年度積立額,0,
2024,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2024年度取崩額,-649,
2024,３つのシティ実現に向けた基金,スマート シティ,ゼロエミッション東京推進基金,2024年度末残高,375,
2024,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2023年度末残高（最終補正後）,"1,298",
2024,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2024年度積立額,0,
2024,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2024年度取崩額,-242,
2024,３つのシティ実現に向けた基金,スマート シティ,新築建築物再生可能エネルギー設備設置等推進基金,2024年度末残高,"1,056",
2024,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2023年度末残高（最終補正後）,0,
2024,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2024年度積立額,1,
2024,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2024年度取崩額,-1,
2024,３つのシティ実現に向けた基金,スマート シティ,＜端数調整＞,2024年度末残高,0,
2024,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2023年度末残高（最終補正後）,"2,297",
2024,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2024年度積立額,0,
2024,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2024年度取崩額,"-1,125",
2024,３つのシティ実現に向けた基金,ダイバーシティ,福祉先進都市実現基金,2024年度末残高,"1,173",
2024,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2023年度末残高（最終補正後）,0,
2024,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2024年度積立額,0,
2024,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2024年度取崩額,0,
2024,３つのシティ実現に向けた基金,ダイバーシティ,＜端数調整＞,2024年度末残高,0,
2024,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金,2023年度末残高（最終補正後）,991,
2024,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金,2024年度積立額,0,
2024,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金,2024年度取崩額,-471,
2024,３つのシティ実現に向けた基金,東京2020大会レガシー基金（仮称）,東京2020大会レガシー基金,2024年度末残高,521,
2024,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2023年度末残高（最終補正後）,0,
2024,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2024年度積立額,0,
2024,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2024年度取崩額,1,
2024,３つのシティ実現に向けた基金,＜端数調整＞,＜端数調整＞,2024年度末残高,-1,
2024,国の交付金等により積み立てた基金,その他基金,その他基金,2023年度末残高（最終補正後）,"1,364",
2024,国の交付金等により積み立てた基金,その他基金,その他基金,2024年度積立額,181,
2024,国の交付金等により積み立てた基金,その他基金,その他基金,2024年度取崩額,-343,
2024,国の交付金等により積み立てた基金,その他基金,その他基金,2024年度末残高,"1,203",
2024,財政調整基金,財政調整基金,財政調整基金,2023年度末残高（最終補正後）,"6,001",
2024,財政調整基金,財政調整基金,財政調整基金,2024年度積立額,0,
2024,財政調整基金,財政調整基金,財政調整基金,2024年度取崩額,0,
2024,財政調整基金,財政調整基金,財政調整基金,2024年度末残高,"6,003",
2024,合計,合計,合計,2023年度末残高（最終補正後）,"22,505",
2024,合計,合計,合計,2024年度積立額,304,
2024,合計,合計,合計,2024年度取崩額,"-7,001",
2024,合計,合計,合計,2024年度末残高,"15,813",
2023,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2022年度末残高（決算）,"3,000",
2023,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2023年度積立額,"1,500",
2023,３つのシティ実現に向けた基金,セーフ シティ,東京強靱化推進基金,2023年度取崩額,"-1,200",
