年度,区分,金額（億円）,内容
2017,福祉と保健,"11,810",少子高齢化対策など
2017,教育と文化,"11,073",学校教育の充実など
2017,労働と経済,"4,815",産業の活性化など
2017,生活環境,"2,014",廃棄物対策など
2017,都市の整備,"8,821",道路の整備など
2017,警察と消防,"8,957",警察活動・消防活動など
2017,企画・総務,"2,945",職員の研修・福利厚生など
2018,福祉と保健,"12,048",少子高齢化対策など
2018,教育と文化,"11,270",学校教育の充実など
2018,労働と経済,"4,649",産業の活性化など
2018,生活環境,"1,961",廃棄物対策など
2018,都市の整備,"8,839",道路の整備など
2018,警察と消防,"9,087",警察活動・消防活動など
2018,企画・総務,"3,968",職員の研修・福利厚生など
2019,福祉と保健,"12,600",少子高齢化対策など
2019,教育と文化,"12,336",学校教育の充実など
2019,労働と経済,"4,864",産業の活性化など
2019,生活環境,"2,186",廃棄物対策など
2019,都市の整備,"8,755",道路の整備など
2019,警察と消防,"9,407",警察活動・消防活動など
2019,企画・総務,"5,829",職員の研修・福利厚生など
2020,福祉と保健,"12,801",少子高齢化対策など
2020,教育と文化,"12,087",学校教育の充実など
2020,労働と経済,"4,415",産業の活性化など
2020,生活環境,"2,407",廃棄物対策など
2020,都市の整備,"8,684",道路の整備など
2020,警察と消防,"9,221",警察活動・消防活動など
2020,企画・総務,"5,717",職員の研修・福利厚生など
2021,福祉と保健,"12,975",少子高齢化対策など
2021,教育と文化,"11,680",学校教育の充実など
2021,労働と経済,"5,333",産業の活性化など
2021,生活環境,"1,993",廃棄物対策など
2021,都市の整備,"8,286",道路の整備など
2021,警察と消防,"9,032",警察活動・消防活動など
2021,企画・総務,"6,824",職員の研修・福利厚生など
2022,福祉と保健,"17,107",少子高齢化対策など
2022,教育と文化,"11,771",学校教育の充実など
2022,労働と経済,"5,764",産業の活性化など
2022,生活環境,"2,783",廃棄物対策など
2022,都市の整備,"8,491",道路の整備など
2022,警察と消防,"9,115",警察活動・消防活動など
2022,企画・総務,"3,376",職員の研修・福利厚生など
2022,公債費,"3,456",都債の元利償還など
2022,税連動経費等,"16,146",区市町村への交付金など
2023,福祉と保健,"15,384",少子高齢化対策など
2023,教育と文化,"11,980",学校教育の充実など
2023,労働と経済,"6,963",産業の活性化など
2023,生活環境,"3,205",廃棄物対策など
2023,都市の整備,"8,913",道路の整備など
2023,警察と消防,"9,218",警察活動・消防活動など
2023,企画・総務,"3,691",職員の研修・福利厚生など
2023,公債費,"3,442",都債の元利償還など
2023,税連動経費等,"17,614",区市町村への交付金など
2024,福祉と保健,"16,105",少子高齢化対策など
2024,教育と文化,"13,983",学校教育の充実など
2024,労働と経済,"7,114",産業の活性化など
2024,生活環境,"3,448",廃棄物対策など
2024,都市の整備,"9,141",道路の整備など
2024,警察と消防,"9,616",警察活動・消防活動など
2024,企画・総務,"4,295",職員の研修・福利厚生など
2024,公債費,"3,238",都債の元利償還など
2024,税連動経費等,"17,590",区市町村への交付金など
