採水日,曜日,対象物質,下水排除基準,定量下限値,５街区青果棟,６街区水産仲卸売場棟西,６街区水産仲卸売場棟東,６街区加工パッケージ棟,７街区水産卸売場棟
3月14日,火,ベンゼン（ｍｇ／Ｌ）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
3月14日,火,シアン（ｍｇ／Ｌ）,1,0.1,不検出,不検出,不検出,不検出,不検出
3月14日,火,ヒ素（ｍｇ／Ｌ）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
3月14日,火,鉛（ｍｇ／Ｌ）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
3月14日,火,水銀（ｍｇ／Ｌ）,0.005,0.0005,不検出,不検出,不検出,不検出,不検出
3月14日,火,六価クロム（ｍｇ／Ｌ）,0.5,0.05,不検出,不検出,不検出,不検出,不検出
3月14日,火,カドミウム（ｍｇ／Ｌ）,0.03,0.003,不検出,不検出,不検出,不検出,不検出
3月14日,火,ｐＨ,５を超え９未満,-,7.0,6.9,7.2,7.6,6.8
3月21日,火,ベンゼン（ｍｇ／Ｌ）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
3月21日,火,シアン（ｍｇ／Ｌ）,1,0.1,不検出,不検出,不検出,不検出,不検出
3月21日,火,ヒ素（ｍｇ／Ｌ）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
3月21日,火,鉛（ｍｇ／Ｌ）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
3月21日,火,水銀（ｍｇ／Ｌ）,0.005,0.0005,不検出,不検出,不検出,不検出,不検出
3月21日,火,六価クロム（ｍｇ／Ｌ）,0.5,0.05,不検出,不検出,不検出,不検出,不検出
3月21日,火,カドミウム（ｍｇ／Ｌ）,0.03,0.003,不検出,不検出,不検出,不検出,不検出
3月21日,火,ｐＨ,５を超え９未満,-,7.0,7.1,7.2,6.4,6.8
3月28日,火,ベンゼン（ｍｇ／Ｌ）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
3月28日,火,シアン（ｍｇ／Ｌ）,1,0.1,不検出,不検出,不検出,不検出,不検出
3月28日,火,ヒ素（ｍｇ／Ｌ）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
3月28日,火,鉛（ｍｇ／Ｌ）,0.1,0.01,不検出,不検出,不検出,不検出,不検出
3月28日,火,水銀（ｍｇ／Ｌ）,0.005,0.0005,不検出,不検出,不検出,不検出,不検出
3月28日,火,六価クロム（ｍｇ／Ｌ）,0.5,0.05,不検出,不検出,不検出,不検出,不検出
3月28日,火,カドミウム（ｍｇ／Ｌ）,0.03,0.003,不検出,不検出,不検出,不検出,不検出
