街区,調査地点,試料採取日第９回,試料採取日再調査,試料採取日第１回濃度確認モニタリング,ベンゼン地下水基準０．０１ｍｇ／Ｌ（定量下限値０．００１ｍｇ／Ｌ）第９回,ベンゼン地下水基準０．０１ｍｇ／Ｌ（定量下限値０．００１ｍｇ／Ｌ）再調査,ベンゼン地下水基準０．０１ｍｇ／Ｌ（定量下限値０．００１ｍｇ／Ｌ）第１回濃度確認モニタリング,シアン地下水基準不検出（定量下限値０．１ｍｇ／Ｌ）第９回,シアン地下水基準不検出（定量下限値０．１ｍｇ／Ｌ）再調査,シアン地下水基準不検出（定量下限値０．１ｍｇ／Ｌ）第１回濃度確認モニタリング,ヒ素地下水基準０．０１ｍｇ／Ｌ（定量下限値０．００１ｍｇ／Ｌ）第９回,ヒ素地下水基準０．０１ｍｇ／Ｌ（定量下限値０．００１ｍｇ／Ｌ）再調査,ヒ素地下水基準０．０１ｍｇ／Ｌ（定量下限値０．００１ｍｇ／Ｌ）第１回濃度確認モニタリング
５街区,Ｉ２９－４,16/12/1,17/2/10・17/2/23,17/4/20,0.027,０．０３４～０．０６９,0.083,-,-,-,-,-,-
５街区,Ｋ２８－６,16/12/1,17/2/15,17/4/20,0.096,０．０４１～０．０５０,0.12,-,-,-,-,-,-
５街区,Ｋ３７－４,16/11/21,17/1/31・17/2/15,17/4/19,0.79,０．８０～１．０,1.0,-,-,-,-,-,-
５街区,Ｌ２８－９,16/12/1,詰り,17/4/20,不検出,-,0.001,-,-,-,-,-,-
５街区,Ｌ３９－３,16/11/21,17/2/10・17/2/23,17/4/26,0.063,０．０５２～０．０７１,0.078,-,-,-,-,-,-
５街区,Ｍ３７－３,16/11/21,17/2/10・17/2/23,17/4/26,0.060,0.001,0.002,不検出,不検出,不検出,-,-,-
５街区,Ｏ４２－７,16/11/29,17/2/13,17/4/21,0.088,０．０６０～０．０８５,0.067,0.1,０．４～０．６,0.5,-,-,-
５街区,Ｐ３６－３,16/12/1,17/2/8・17/2/22,17/4/21,0.004,０．００４～０．００５,0.004,0.1,0.1,0.1,-,-,-
５街区,Ｐ３８－６,16/12/6,-,17/4/21,-,-,-,（不採用）,-,0.2,-,-,-
５街区,Ｐ４１－５,16/12/1,17/1/30・17/2/13,17/4/21,-,-,-,0.1,0.1,0.1,-,-,-
５街区,Ｑ３７－５,16/12/1,17/2/8・17/2/22,17/4/21,0.044,０．０１８～０．０２７,0.016,不検出,不検出,不検出,-,-,-
６街区,Ｂ１０－５,16/11/28,17/2/6・17/2/17,17/4/24,0.14,０．１４～０．１８,0.15,1.0,０．８～１．０,1.0,0.022,０．０２７～０．０３６,0.034
６街区,Ｂ１１－５,16/11/28,17/2/1・17/2/15,17/4/24,0.012,０．０４８～０．０６９,0.049,0.6,０．７～１．３,1.3,-,-,-
６街区,Ｂ９－２,16/12/2,17/2/14,17/4/18,0.098,０．０７２～０．０８７,0.16,0.4,0.1,0.4,-,-,-
６街区,Ｃ１１－５,16/11/30,17/2/3・17/2/14,17/4/24,0.074,０．０８９～０．１２,0.094,0.6,０．４～０．６,0.4,-,-,-
６街区,Ｃ２６－７,16/12/2,17/2/16,17/4/18,-,-,-,1.2,０．３～０．４,0.2,-,-,-
６街区,Ｃ９－２,16/12/2,17/2/8・17/2/25,17/4/20,0.12,０．００５～０．０３１,0.017,0.8,０．１～０．２,0.1,-,-,-
６街区,Ｄ１０－５,16/11/28,17/2/3・17/2/17,17/4/25,0.025,０．０３０～０．０３９,0.033,0.7,０．６～０．７,0.7,0.012,０．０１４～０．０２１,0.022
６街区,Ｄ１１－５,16/11/28,17/2/1・17/2/15,17/4/24,0.23,０．２４～０．３１,0.28,1.0,０．８～１．１,1.3,0.015,０．０１５～０．０１８,0.020
６街区,Ｄ１２－５,16/11/28,17/2/3・17/2/14,17/4/24,0.14,０．１７～０．２２,0.20,0.7,０．６～１．０,1.0,0.021,０．０１６～０．０２８,0.027
６街区,Ｅ１２－４,16/11/28,17/2/2・17/2/16,17/4/25,-,-,-,1.2,０．７～１．１,1.0,-,-,-
６街区,Ｅ１２－６,16/11/28,17/2/2・17/2/17,17/4/25,-,-,-,0.8,０．４～０．７,0.5,-,-,-
６街区,Ｅ２０－７,16/11/30,17/2/6・17/2/17,17/4/26,0.082,０．０９３～０．１２,0.072,-,-,-,-,-,-
６街区,Ｆ１１－５,16/11/28,17/2/2・17/2/16,17/4/25,-,-,-,1.2,０．８～１．４,1.4,-,-,-
６街区,Ｆ９－９,16/11/30,17/2/2・17/2/16,17/4/25,0.10,０．１７～０．２２,0.20,0.2,０．５～０．７,0.7,-,-,-
６街区,Ｇ１２－３,16/11/28,17/2/3・17/2/16,17/4/25,0.11,０．１４～０．１９,0.18,0.1,０．５～０．６,0.7,0.018,０．０２１～０．０３１,0.028
６街区,Ｇ８－１,16/12/1,詰り,17/4/18,不検出,-,0.008,不検出,-,不検出,不検出,-,0.007
７街区,Ｉ２４－３,16/11/25,17/2/8・17/2/23,17/4/19,0.011,０．０２７～０．０５６,0.037,不検出,不検出,不検出,-,-,-
７街区,Ｌ２５－１,16/11/25,17/2/22,17/4/19,0.021,０．０２５～０．０３２,0.034,0.1,0.1,0.1,-,-,-
７街区,Ｍ５－２,16/11/25,17/2/1・17/2/15,17/4/18,不検出,０．００２～０．００３,不検出,不検出,不検出,不検出,0.002,０．００６～０．００７,0.004
