市場,人的被害,物的被害,対応,備考
築地,無,壁や床・タイル・ガラスのひび割れ,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,別紙図面参照
築地,無,モルタル等の剥離,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,別紙図面参照
築地,無,雨水排水管・ダクト支持材等の一部落下,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,別紙図面参照
築地,無,耐震補強ブレース変形,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,別紙図面参照
食肉,無,床、壁、天井仕上材の軽微なひび割れ,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
食肉,無,照明器具の一部落下,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
大田,無,道路の亀裂、段差、配管の断裂,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
豊島,無,充電設備の一部落下,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
豊島,無,スロープの亀裂,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
豊島,無,天井の一部剥離・落下,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
豊島,無,４号館天井にひび、雨漏り,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
淀橋,無,タイル一部落下,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
淀橋,無,トイレ前点検口・天板一部落下,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
足立,無,渡り廊下のコンクリート破損,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
足立,無,天井ボードの破損、側溝に段差,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
板橋,無,通路の水漏れ、ガラスや建物のつなぎ目のヒビ,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
世田谷,無,壁面コンクリートの落下、ボード亀裂,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
北足立,無,給水管水漏れ、エキスパンジョン損傷,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
多摩ＮＴ,無,シャッターの湾曲、壁の剥離,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
葛西,無,建物周辺の地盤沈下、駐車場の一部で噴砂,【緊急対応】／・落下物、破損物等の撤去／・剥離箇所周辺の危険物等除去／・仮設による雨水排水対応／・危険区域は、カラーコーン等で立入禁止／【補修工事】／・補修工事をすみやかに着手,
豊洲（予定地）,無,予定地の一部で墳砂,応急措置の実施,別紙資料参照
