日付,曜日,５街区青果棟Ａ．Ｐ．＋２．６ｍ（１）,５街区青果棟Ａ．Ｐ．＋２．６ｍ（２）,５街区青果棟Ａ．Ｐ．＋２．６ｍ（３）,５街区青果棟Ａ．Ｐ．＋２．６ｍ（４）,６街区水産仲卸棟Ａ．Ｐ．＋２．６ｍ（１）,６街区水産仲卸棟Ａ．Ｐ．＋２．６ｍ（２）,６街区水産仲卸棟Ａ．Ｐ．＋２．６ｍ（３）,６街区水産仲卸棟Ａ．Ｐ．＋２．６ｍ（４）,６街区加工パッケージ棟Ａ．Ｐ．＋２．７ｍ（１）,６街区加工パッケージ棟Ａ．Ｐ．＋２．７ｍ（２）,７街区水産卸棟Ａ．Ｐ．＋２．６ｍ（１）,７街区水産卸棟Ａ．Ｐ．＋２．６ｍ（２）,７街区水産卸棟Ａ．Ｐ．＋２．６ｍ（３）,７街区水産卸棟Ａ．Ｐ．＋２．６ｍ（４）
4月1日,土,,,,,,,,,,,,,,
4月2日,日,,,,,,,,,,,,,,
4月3日,月,2.05,2.05,2.02,2.02,2.22,2.32,2.29,2.34,2.46,2.47,2.19,2.20,2.53,2.46
4月4日,火,2.05,2.05,2.02,2.03,2.20,2.30,2.28,2.33,2.44,2.45,－,－,－,－
4月5日,水,2.05,2.05,2.02,2.03,2.18,2.28,2.27,2.32,2.43,2.44,－,－,－,－
4月6日,木,2.05,2.05,2.01,2.01,2.19,2.28,2.28,2.33,2.43,2.45,－,－,－,－
4月7日,金,2.05,2.05,2.01,2.01,2.22,2.30,2.31,2.35,2.45,2.49,2.07,2.17,2.54,2.41
4月8日,土,,,,,,,,,,,,,,
4月9日,日,,,,,,,,,,,,,,
4月10日,月,2.05,2.05,2.03,2.04,2.21,2.31,2.46,2.36,2.48,2.47,2.20,2.19,2.55,2.47
4月11日,火,2.05,2.05,2.03,2.04,2.22,2.32,2.41,2.39,2.48,2.51,2.19,2.19,2.55,2.47
4月12日,水,2.05,2.05,2.03,2.04,2.28,2.37,2.42,2.43,2.54,2.54,2.22,2.42,2.57,2.51
4月13日,木,2.05,2.05,2.03,2.04,2.24,2.34,2.37,2.39,2.50,2.50,2.20,2.29,2.57,2.48
4月14日,金,2.05,2.05,2.02,2.04,2.24,2.32,2.36,2.38,2.50,2.50,2.19,2.23,2.55,2.47
4月15日,土,,,,,,,,,,,,,,
4月16日,日,,,,,,,,,,,,,,
4月17日,月,2.05,2.05,2.02,2.04,2.25,2.31,2.46,2.42,2.61,2.55,2.21,2.22,2.52,2.46
4月18日,火,2.05,2.05,2.01,2.05,2.31,2.38,2.47,2.48,2.60,2.61,2.22,2.33,2.57,2.49
4月19日,水,2.05,2.05,2.02,2.05,2.31,2.37,2.43,2.45,2.53,2.56,2.18,2.29,2.55,2.49
4月20日,木,2.05,2.05,2.03,2.05,2.26,2.33,2.39,2.40,2.50,2.51,2.16,2.32,2.50,2.47
4月21日,金,2.05,2.05,2.03,2.05,2.26,2.32,2.39,2.41,2.51,2.54,2.16,2.25,2.50,2.47
4月22日,土,,,,,,,,,,,,,,
4月23日,日,,,,,,,,,,,,,,
4月24日,月,2.05,2.05,2.10,2.10,2.23,2.30,2.41,2.39,2.61,2.61,2.18,2.17,2.50,2.47
4月25日,火,2.05,2.05,2.04,2.05,2.23,2.30,2.40,2.39,2.51,2.55,2.15,2.17,2.47,2.45
4月26日,水,2.05,2.05,2.08,2.07,2.26,2.33,2.42,2.43,2.57,2.60,2.15,2.17,2.49,2.46
4月27日,木,2.05,2.05,2.09,2.08,2.31,2.37,2.45,2.46,2.53,2.57,2.15,2.19,2.50,2.47
4月28日,金,2.05,2.05,2.08,2.08,2.32,2.37,2.43,2.45,2.54,2.58,2.15,2.18,2.48,2.45
4月29日,土,,,,,,,,,,,,,,
4月30日,日,,,,,,,,,,,,,,
5月1日,月,,,,,,,,,,,,,,
5月2日,火,,,,,,,,,,,,,,
5月3日,水,,,,,,,,,,,,,,
5月4日,木,,,,,,,,,,,,,,
5月5日,金,,,,,,,,,,,,,,
5月6日,土,,,,,,,,,,,,,,
5月7日,日,,,,,,,,,,,,,,
5月8日,月,2.05,2.05,2.13,2.11,2.38,2.48,2.56,2.52,2.64,2.61,2.20,2.21,2.47,2.41
5月9日,火,2.05,2.05,2.05,2.04,2.34,2.45,2.43,2.45,2.50,2.51,2.15,2.20,2.41,2.37
5月10日,水,2.05,2.05,2.05,2.02,2.33,2.44,2.42,2.44,2.51,2.53,2.15,2.15,2.42,2.36
5月11日,木,2.05,2.05,2.05,2.02,2.36,2.45,2.44,2.45,2.41,2.50,2.16,2.17,2.46,2.38
5月12日,金,2.05,2.05,2.04,2.01,2.33,2.42,2.41,2.41,2.37,2.44,2.15,2.16,2.42,2.35
5月13日,土,,,,,,,,,,,,,,
5月14日,日,,,,,,,,,,,,,,
5月15日,月,2.05,2.05,2.04,2.01,2.32,2.40,2.39,2.38,2.36,2.43,2.18,2.15,2.46,2.43
