日付,曜日,排水量５街区青果棟（ｍ３）,排水量６街区水産仲卸売場棟西（ｍ３）,排水量６街区水産仲卸売場棟東（ｍ３）,排水量６街区水産仲卸売場棟合計（ｍ３）,排水量６街区加工パッケージ棟（ｍ３）,排水量６街区６街区合計（ｍ３）,排水量７街区水産卸売場棟（ｍ３）,排水量全街区合計（ｍ３）
12月13日,火,380,318,460,778,204,982,602,1964
12月14日,水,375,430,527,957,217,1174,718,2267
12月15日,木,293,422,521,943,258,1201,715,2209
12月16日,金,293,370,699,1069,212,1281,716,2290
12月17日,土,,,,,,,716,716
12月18日,日,,,,,,,717,717
12月19日,月,393,508,690,1198,58,1256,718,2367
12月20日,火,395,707,702,1409,3,1412,710,2517
12月21日,水,268,709,709,1418,3,1421,690,2379
12月22日,木,187,216,359,575,14,589,153,929
12月23日,金,,,,,,,,
12月24日,土,,,,,,,,
12月25日,日,,,,,,,,
12月26日,月,56,603,510,1113,34,1147,113,1316
12月27日,火,121,66,63,129,107,236,118,475
12月28日,水,13,0,0,0,0,0,52,65
12月29日,木,,,,,,,,
12月30日,金,,,,,,,,
12月31日,土,,,,,,,,
1月1日,日,,,,,,,,
1月2日,月,,,,,,,,
1月3日,火,,,,,,,,
1月4日,水,0,390,87,477,119,596,118,714
1月5日,木,0,38,14,52,11,63,35,98
1月6日,金,0,108,169,277,3,280,149,429
1月7日,土,,,,,,,,
1月8日,日,,,,,,,,
1月9日,月,,,,,,,,
1月10日,火,31,36,33,69,0,69,8,108
1月11日,水,12,18,99,117,0,117,81,210
1月12日,木,14,22,68,90,77,167,34,215
1月13日,金,8,52,123,175,1,176,30,214
1月14日,土,,,,,,,,
1月15日,日,,,,,,,,
1月16日,月,5,81,43,124,2,126,61,192
1月17日,火,4,25,25,50,1,51,39,94
1月18日,水,,22,32,54,12,66,10,76
1月19日,木,,23,36,59,23,82,15,97
1月20日,金,26,151,,151,,151,25,202
1月21日,土,,,,,,,,
1月22日,日,,,,,,,,
1月23日,月,23,38,,38,3,41,18,82
1月24日,火,10,37,5,42,4,46,10,66
1月25日,水,7,31,4,35,3,38,10,55
1月26日,木,4,33,,33,4,37,4,45
1月27日,金,1,60,,60,14,74,12,87
