番号,,施行者,地区名,施行位置,"面積
（ha）","総事業費
（億円）","都市計画
決定告示
年月日","事業認可
告示年月日","換地処分
公告
年月日",整理前公共用地,,,,整理後公共用地,,,,"減歩率
",,
,,,,,,,,,,㎡,道路,公園,その他,㎡,道路,公園,その他,（％）,公共,保留地
板,1,板橋区,三園一丁目,三園一丁目,15.8,17.3,S40.6.7,S54.9.10,S63.8.31,"21,953.90","14,867.30",148,"6,938.60","34,856.30","30,107.50","4,748.80",－,10.9,9.4,1.5
練,1,練馬区,土支田中央,土支田一丁目他,14.3,66.4,S44.5.8,H17.3.17,H28.3.29,"28,194.83","26,708.12",209.99,"1,276.72","49,475.86","40,899.39","8,576.47",0,18.6,18.6,0
足,1,足立区,高野,江北一丁目他,10.7,58.2,H2.3.30,H4.1.20,H13.10.16,"14,286.52","4,223.67","7,913.62","2,149.23","31,930.83","19,537.56","9,729.86","2,663.41",19.1,19.1,0
足,2,足立区,上沼田南,江北三丁目他,18.3,107.8,S42.6.27,H11.4.1,H27.11.4,"19,821.74","14,581.09",382,"4,858.65","38,535.90","33,019.88","5,516.02",0,11.7,11.5,0.2
足,3,足立区,佐野六木,佐野一丁目他,24.8,266.9,S44.5.8,H9.4.1,R3.6.16,"51,345.20","30,701.01","5,888.77","14,755.42","86,459.07","66,755.33","16,735.95","2,967.79",17.9,17.9,0
葛,1,葛飾区,南水元,南水元一丁目他,5.4,57.5,S44.5.8,H16.2.25,H29.7.31,"4,225.89","4,225.89",0,0,"13,256.46","11,435.76","1,820.70",0,11.8,11.8,0
江,1,江戸川区,鹿骨,鹿骨一丁目の一部,3.1,9.7,S44.5.8,H2.1.10,H7.11.13,"4,313.11","1,911.68",0,"2,401.43","9,982.15","8,971.26","1,010.89",0,21.1,21.1,0
江,2,江戸川区,平井七丁目北部,平井七丁目の一部,1.2,35,H10.6.9,H11.8.27,H16.11.9,"2,700.06",909.77,0,"1,790.29","3,840.78","2,050.49",0,"1,790.29",12.7,12.7,0
江,3,江戸川区,篠崎駅西部（上篠崎四-22）,上篠崎四丁目他,0.5,10.6,S44.5.8,H18.6.30,H21.7.31,"1,044.25",402.98,85.62,555.65,"1,664.81","1,522.04",142.77,0,14.5,14.5,0
江,4,江戸川区,"篠崎駅西部（篠崎町七-4,5,8,9）",篠崎町七丁目の一部,3.5,13.3,S44.5.8,H17.9.16,H21.8.14,"6,443.17","5,426.64",0,"1,016.53","8,679.48","8,109.90",569.58,0,7.9,7.9,0
江,5,江戸川区,"篠崎駅西部（篠崎町七-20,21）",篠崎町七丁目の一部,1.4,35.4,S44.5.8,H17.2.15,H22.10.28,"1,978.91","1,087.65",0,891.26,"2,480.23","1,980.22",500.01,0,4.2,4.2,0
江,6,江戸川区,一之江駅西部,一之江六丁目他,22.1,254.4,S44.5.8,H5.8.26,H24.1.12,"35,488.57","20,563.57","4,347.00","10,578.00","66,046.36","57,496.57","8,549.79",0,15.2,15.2,0
江,7,江戸川区,瑞江駅北部,西瑞江一丁目他,21.2,278.7,S44.5.8,H3.9.26,H25.1.15,"22,498.96","12,774.32",0,"9,724.64","63,116.10","55,616.06","7,500.04",0,16.8,16.8,0
江,8,江戸川区,"篠崎駅西部（篠崎町七丁目2,3,10,11及び篠崎町八丁目12）",篠崎駅七丁目他,5.1,11.8,S44.5.8,H23.4.1,H29.10.6,"9,282.79","7,791.80",0,"1,490.99","10,682.75","9,995.17",687.58,0,3.3,3.3,0
江,9,江戸川区,北小岩一丁目東部,北小岩一丁目他,1.4,52.6,H21.11.24,H23.5.17,R2.10.9,"4,018.60","4,018.60",0,0,"4,299.18","4,299.18",0,0,2.9,2.9,0
八,1,八王子市,北野駅南口,打越町,10.1,65.1,S60.6.17,S61.11.25,H17.3.18,"24,668.49","8,923.57",0,"15,744.92","50,270.78","29,643.71","4,545.63","16,081.44",33.5,33.5,0
八,2,八王子市,東浅川,東浅川町他,78.9,5.4,S35.8.13,S37.4.28,S43.2.27,-,-,-,-,-,-,-,-,24.7,16.2,8.5
八,3,八王子市,狭間,狭間町他,54.4,5.5,S38.3.29,S39.5.12,S43.10.22,-,-,-,-,-,-,-,-,21.1,12.4,8.7
八,4,八王子市,北大和田,大和田町他,45.6,8,S38.3.29,S39.5.12,S45.1.17,"29,769.48","20,290.87",0,"9,478.61","123,211.41","109,504.28","13,707.13",0,27.3,21.9,5.4
八,5,八王子市,北野,明神町、北野町他,127.9,70,S37.2.9,S41.4.21,S56.5.23,"128,503.26","61,113.83",0,"67,389.43","283,777.34","226,686.15","40,449.21","16,641.98",22.1,13.5,8.6
