"施設名称","施設所在地","施設方書","施設電話番号","施設開設日"
"ヒデ技工アカデミー","東京都港区赤坂二丁目19番4号","関ビル3階","03-3583-3320","2014/6/1"
"Ｉ．Ａ．Ｃ","東京都港区赤坂六丁目10番33‐210号",,"03-3588-6237","2017/6/1"
"デンタルクリエイト赤坂","東京都港区赤坂六丁目11番13号","ファブリックビル301号室",,"2020/12/7"
"ＳＵＴＴＯＮ　ＣＡＲＥ麻布技工所","東京都港区麻布十番三丁目9番2号","麻布山元ビル2階","03-6275-1841","2021/1/8"
"ターテック・デンタル・アート・クラフト","東京都港区麻布台三丁目2番11号","カーサ・モリイ102","03-3568-2137","1997/7/1"
"ＣＵＲＡ株式会社","東京都港区海岸二丁目6番31号","日建ビル3階","03-6812-6068","2018/7/21"
"Ｉｐｐｉｎ　Ｄｅｎｔａｌ　Ｌａｂｏｒａｔｏｒｙ（イッピンデンタルラボラトリー）","東京都港区北青山三丁目15番5号","Portofino A-21","03-6450-5567","2013/4/4"
"（有）水野企画","東京都港区港南二丁目2番16号","谷田企画第一ビル5階",,"1993/1/4"
"たなちらぼ","東京都港区芝一丁目15番3号","藤ビル402",,"2022/6/1"
"（株）東和歯工センター","東京都港区芝二丁目30番7号","手塚ビル",,"1994/11/22"
"株式会社オザワオーラルクリエイトスタジオ","東京都港区芝五丁目3番10号","奥山ビル201","03-5442-1078","2013/10/2"
"デントロジック芝浦ラボラトリー","東京都港区芝浦三丁目11番2号",,"03-5476-8516","1989/4/3"
"株式会社協進歯研","東京都港区芝浦三丁目11番8号","ミナトヤビル2階","03-5232-0606","2010/3/1"
"有限会社ブルーセラミック","東京都港区芝浦四丁目13番3号","801","03-3454-4545","2006/5/1"
"Ｏｒｔｈｏ　Ｔｏｐ","東京都港区白金台一丁目2番16号","ナリヅカビル6階",,"2024/1/9"
"デジタルラボ","東京都港区新橋四丁目9番1号","新橋プラザビル2階","03-6821-2088","2022/3/29"
"東杏会デンタルラボ","東京都港区新橋六丁目22番1号","アイディ新橋4階","03-6809-1425","2011/4/20"
"Ｙｏ－ＬＡＢ．","東京都港区高輪二丁目16番2号","高輪-U 201","03-5449-0739","2010/2/15"
"グローバルリンク","東京都港区虎ノ門三丁目19番13号","スピリットビル5階","03-5408-1572","2022/3/22"
"ユーエステック歯科技工部","東京都港区西麻布四丁目14番12号","203",,"2023/1/1"
"株式会社麻布デンタルデザイン","東京都港区東麻布一丁目29番7号","2階",,"2018/2/20"
"（有）麻布歯科技工","東京都港区東麻布一丁目29番7号","SDビル3階","03-6806-0477","2014/1/21"
"（株）ファーストデンタル","東京都港区東麻布二丁目22番5号","ベルス麻布202","03-5572-6331","2003/4/1"
"株式会社グローバルテック","東京都港区東麻布二丁目26番3号","第二小林ビル3階","03-5545-8247","2016/3/1"
"高橋義歯製作所","東京都港区三田五丁目7番8号","312","03-3455-6538","2005/11/1"
"ラボラトリー・オブ・プリンシピア","東京都港区南青山二丁目22番4号","秀和南青山レジデンス602","03-3408-1956","1994/10/24"
"ＦＵＴＵＲＥ　ＤＥＳＩＧＮ　ＬＡＢ　ＯＭＯＴＥＳＡＮＤＯ","東京都港区南青山三丁目8番27号","芝崎410ビル3階","03-4520-6702","2017/7/10"
"レガーロ","東京都港区南青山四丁目10番4号","モンパピール301","03-3402-5078","2004/8/13"
"表参道デンタルラボ","東京都港区南青山四丁目18番21号","南青山スカイハイツ316",,"2021/4/26"
"３Ｄプランニングセンター","東京都港区南麻布二丁目14番19号","オキノビル3階","03-5420-2290","2015/12/1"
"ｏｒｔｈｏ　ｗｏｒｋｓ","東京都港区六本木四丁目1番16号","六本木ハイツ903",,"2021/1/18"
"ＯＹＳラボ","東京都港区六本木七丁目3番8号","永谷ヒルプラザ六本木712号",,"2019/11/18"

"歯科技工所一覧(令和6年3月31日現在)","Ver202403",,,
