経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
営利法人,相談支援事業所Ｍｏｉ,101-0051,千代田区神田神保町２－３　神田古書センタービル６Ｆ,139.75735,35.69572,JGD2011,03-6261-6175
社福法人,千代田区立障害者福祉センター,101-0062,千代田区神田駿河台２－５,139.760956,35.700001,JGD2011,03-3291-0600
他の法人,特定非営利活動法人ホープ,102-0071,千代田区富士見２－３－７　タカオカビル１０１,139.74486,35.6999,JGD2011,03-3221-4266
区市町村,中央区障害者就労支援センター,103-0004,中央区東日本橋２－２７－１２－５階,139.78641,35.69519,JGD2011,03-3865-3889
営利法人,相談支援センター　ひゅーまにあ日本橋,103-0011,中央区日本橋大伝馬町１７－４　綱川ビル４階,139.78204,35.69077,JGD2011,03-6661-7768
他の法人,特定非営利活動法人エヌフィット,103-0013,中央区日本橋人形町３－３－１０　日本橋ＴＥＣビル３・４階,139.78038,35.68599,JGD2011,03-6231-0776
区市町村,中央区立福祉センター,104-0044,中央区明石町１２－１,139.77684,35.66659,JGD2011,03-3545-9311
区市町村,中央区立知的障害者生活支援施設レインボーハウス明石,104-0044,中央区明石町１－６,139.77525,35.66977,JGD2011,03-6226-1099
区市町村,中央区立福祉センター特定相談支援事業所,104-0044,中央区明石町１２－１,139.77684,35.66659,JGD2011,03-3545-9311
区市町村,ポケット中央,104-0044,中央区明石町１２－１　福祉センター５階,139.77684,35.66659,JGD2011,03-3541-1021
営利法人,相談支援事業所ヒューマングロー東銀座,104-0045,中央区築地４－１２－２　ライオンズマンション７０１号,139.77121,35.66561,JGD2011,070-1260-3246
社福法人,新橋はつらつ太陽,105-0004,港区新橋６－１９－２,139.75359,35.66099,JGD2011,03-3433-0181
営利法人,コスモスケアステーション,105-0004,港区新橋６－５－４　ＤＩＫマンション新橋８０３,139.75447,35.66211,JGD2011,03-5405-1910
営利法人,ケアネスト,105-0012,港区芝大門１－１１－９　ライオンズマンション芝公園６０１,139.75293,35.65826,JGD2011,03-3433-0270
他の法人,訪問介護事業所エブリィ,105-0013,港区三田２－１１－７－２０２,139.74414,35.65024,JGD2011,03-6435-2323
他の法人,特定非営利活動法人　みなと障がい者福祉事業団,105-0014,港区芝１－８－２３　港区立障害保健福祉センター内,139.75522,35.65042,JGD2011,03-5439-8062
社福法人,港区立障害保健福祉センター　地域活動支援センター,105-0014,港区芝１－８－２３,139.75522,35.65042,JGD2011,03-5439-2511
社福法人,西麻布作業所,106-0031,港区西麻布３－１９－１６,139.72606,35.6596,JGD2011,03-3408-1545
他の法人,GIFTライフプランナー,106-0045,港区麻布十番２－１３－２　アザブクマイビル３０２号室,139.73508,35.65486,JGD2011,050-3563-0603
営利法人,ワークスＦ,107-0062,港区南青山１－１７－１０　羽田マンション１０２,139.72546,35.66813,JGD2011,03-6434-7346
営利法人,ハッピーテラスケアサポート芝浦,108-0023,港区芝浦４－１２－３１　ＶＯＲＴ芝浦ＷａｔｅｒＦｒｏｎｔ１階,139.74895,35.64024,JGD2011,03-6435-4738
営利法人,ケアコーディネーション,108-0073,港区三田２－２－２７－４０４,139.73843,35.65022,JGD2011,03-6453-9336
営利法人,有限会社すばる介護センター,108-0074,港区高輪３－２－３　T３２３プレイスビル２階,139.73265,35.63532,JGD2011,03-5789-2786
