経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
他の法人,障害者就職サポートセンタービルドⅡ,101-0051,千代田区神田神保町１?２２　NTビル３階・６階,139.75908,35.69649,JGD2011,03-5577-6003
他の法人,エヌフィットキャリアカレッジ日本橋,103-0013,中央区日本橋人形町３－３－１０　,139.78038,35.68599,JGD2011,03-6231-0776
他の法人,コンフィデンス日本橋,103-0022,中央区日本橋室町１－５－１５　昇賢ビル４階,139.77446,35.68596,JGD2011,03-6225-2505
営利法人,リヴァトレ品川,108-0075,港区港南２－１１－１　品川シティビル２Ｆ,139.74551,35.62406,JGD2011,03-6433-3016
営利法人,くじら,160-0004,新宿区四谷４－３２－１　吉岡ビル５Ｆ,139.71484,35.68959,JGD2011,03-6274-8977
営利法人,ルーツプラス,160-0008,新宿区三栄町２９－６　Ｆビル５階,139.72461,35.68975,JGD2011,03-5315-4539
営利法人,あしか,160-0022,新宿区新宿１－２－８　国久ビル５ＦＡ室,139.71249,35.68771,JGD2011,03-6273-1021
他の法人,十二社　生活・就労研修センター,160-0023,新宿区西新宿３－９－５　北村ハイツ２０１号,139.68994,35.6846,JGD2011,03-6276-6871
営利法人,就労定着事業所　リバーサル,113-0033,文京区本郷２－２５－５　角地ビル３階,139.76038,35.70508,JGD2011,03-3868-3174
社福法人,銀杏企画三丁目,113-0033,文京区本郷３－３７－１　中村ビル２階,139.76225,35.70718,JGD2011,03-3868-3552
営利法人,リドアーズ・ベネファイお茶の水,113-0034,文京区湯島２－３１－１５　和光湯島ビル７階,139.76604,35.7071,JGD2011,03-3868-2950
区市町村,すみだ障害者就労支援総合センター,130-0021,墨田区緑４－２５－４,139.80753,35.69551,JGD2011,03-5600-2004
営利法人,ティオ森下,135-0004,江東区森下２－１８－２　センテナリー森下２階,139.79848,35.68826,JGD2011,03-6659-5782
営利法人,ジョブサ品川区,141-0031,品川区西五反田１－１３－７　マルキビル３Ｆ,139.72408,35.62408,JGD2011,03-6417-0280
他の法人,フードコミュニティ目黒,152-0001,目黒区中央町２－３２－５　スマイルプラザ中央町,139.68837,35.63137,JGD2011,03-5768-0707
他の法人,ポレポレ,144-0051,大田区西蒲田６－２４－５,139.71066,35.56509,JGD2011,03-3733-3490
他の法人,らいず,144-0051,大田区西蒲田２－９－１６,139.70834,35.56978,JGD2011,03-3752-2274
他の法人,でらいとわーく,144-0052,大田区蒲田５-３０-１５　第２０下川ビル,139.71948,35.56168,JGD2011,03-6428-6744
区市町村,大田区立障がい者総合サポートセンター,144-8621,大田区中央４－３０－１１,139.7179,35.5793,JGD2011,03-5728-9435
社福法人,Ｎavioけやき,154-0011,世田谷区上馬３－７－８　トーヨーＢＬＤＧ,139.66368,35.63454,JGD2011,03-3421-8701
社福法人,Ｃommelina,157-0062,世田谷区南烏山６－３３－３６　松山ビル３階,139.59966,35.67054,JGD2011,03-3305-8793
社福法人,しごとも,158-0082,世田谷区等々力６－１０－１９,139.65541,35.61176,JGD2011,03-3704-0029
他の法人,Dｏ－ｗｉｌｌ,158-0097,世田谷区用賀３－１１－１５　Ｃ・Ｉビル２階,139.63692,35.62889,JGD2011,03-6432-7898
他の法人,特定非営利活動法人Ｔ＆Ｅ企画,158-0098,世田谷区上用賀５－５－１０　万葉ビル４階,139.62675,35.62787,JGD2011,03-3709-0802
他の法人,ワークセンター翔和,164-0011,中野区中央１－３２－６　フォーチュンハウス,139.68446,35.69791,JGD2011,03-5386-0474
他の法人,ゆい企画（就労定着）,166-0015,杉並区成田東５－１５－２１　成宗マンション１階,139.6286,35.70196,JGD2011,03-3220-7880
他の法人,けやきjob,166-0015,杉並区成田東３－１－３,139.64076,35.69464,JGD2011,03-3311-6101
営利法人,就労定着支援事業所　ウェルビー荻窪駅前センター,167-0043,杉並区上荻１－５－７　ハザマビル７階,139.62183,35.70494,JGD2011,03-6915-1421
社福法人,Ｐａｃｈｉｒａ,170-0004,豊島区北大塚３－３４－７,139.72672,35.73506,JGD2011,03-3915-9063
他の法人,フリッカ・ビーウーマン,114-0014,北区田端６－３－１８　ビラカミムラ３０１,139.75844,35.73846,JGD2011,03-3822-7658
他の法人,リボーンプロジェクト,114-0032,北区中十条１－２－１８　北区障害者福祉センター４階,139.72989,35.75732,JGD2011,03-5963-6888
他の法人,カフェフレンド,116-0003,荒川区南千住７－２６－２,139.79922,35.73549,JGD2011,03-5615-2101
社福法人,社会就労センタープロデュース道,173-0024,板橋区大山金井町３９－１,139.70403,35.74694,JGD2011,03-5926-8803
他の法人,Ｂｅｅｃｈ,174-0053,板橋区清水町８１－１１,139.70448,35.76678,JGD2011,03-6909-6411
区市町村,練馬区立貫井福祉工房,176-0021,練馬区貫井２－１６－１２,139.63107,35.73877,JGD2011,03-5987-0401
社福法人,やすらぎラウンジ,177-0045,練馬区石神井台８－２２－６,139.58006,35.73755,JGD2011,03-5947-4503
他の法人,青オニの家,178-0065,練馬区西大泉３－１－１　ウエストヒルズ１階西側,139.58392,35.75444,JGD2011,03-3922-7366
社福法人,神明福祉作業所,120-0006,足立区谷中５－１３－８,139.8364,35.7835,JGD2011,03-5682-5370
区市町村,足立区障がい者自立支援センター,121-0813,足立区竹の塚６－１８－４,139.79236,35.79663,JGD2011,03-3883-7249
社福法人,竹の塚ひまわり園　就労定着支援事業,121-0813,足立区竹の塚７－１９－７,139.7959,35.80096,JGD2011,03-5831-1721
区市町村,足立区障がい福祉センター就労促進訓練室定着事業,121-0816,足立区梅島３－３１－１９,139.79247,35.7775,JGD2011,03-5681-0133
他の法人,ＷＥＬ’Ｓ　ＡＲＫ,121-0831,足立区舎人４－９－１３,139.76775,35.81662,JGD2011,03-5837-4495
営利法人,就労移行支援センターフリーデザイン,123-0843,足立区西新井栄町１－５－５　海老原ビル３階,139.79114,35.77382,JGD2011,03-5888-2230
社福法人,原町成年寮就労定着支援センター,124-0012,葛飾区立石５－１０－１０　,139.84573,35.74293,JGD2011,03-6905-9096
営利法人,あさひ,125-0042,葛飾区金町６－５－８,139.87109,35.76865,JGD2011,03-3826-6075
他の法人,就労移行支援施設すずかぜ,125-0061,葛飾区亀有３－１６－１０　たちばなやビル２階,139.84843,35.76387,JGD2011,03-6231-2055
区市町村,江戸川区立障害者就労支援センター,133-0052,江戸川区東小岩６－１５－２,139.88869,35.73521,JGD2011,03-5622-6050
営利法人,ヒューマングロー小岩,133-0057,江戸川区西小岩１－２１－２０　第２０東ビル５階Ｂ室,139.8802,35.73425,JGD2011,03-5829-4532
社福法人,オープンスペース本郷町,192-0054,八王子市小門町７５番地７　エイビット小門町ビル,139.32355,35.65935,JGD2011,042-621-0064
営利法人,多摩地域ＩＰＳ就労支援センターリスタ八王子,192-0081,八王子市横山町３－６　八王子横山町ＪＥビル６階,139.3392,35.65929,JGD2011,042-649-2649
