設置,施設名称,郵便番号,所在地,経度,緯度,座標系,電話番号,定員・病床数
社福法人,ろうけん墨田　秋光園,130-0015,墨田区横網２－７－１３,139.794873,35.701122,JGD2011,03-5610-1235,90
医療法人,介護老人保健施設キーストーン,136-0071,江東区亀戸３－３６－１,139.819328,35.707275,JGD2011,03-3637-2121,100
社福法人,ケアセンター南大井,140-0013,品川区南大井５－１９－１,139.733978,35.594658,JGD2011,03-5753-3901,100
医療法人,グリーンポート恵比寿,150-0013,渋谷区恵比寿３－３６－５,139.718997,35.642329,JGD2011,03-3444-2322,100
社福法人,ブース記念老人保健施設グレイス,166-0012,杉並区和田１－４０－１５,139.660347,35.691047,JGD2011,03-3380-1248,100
社福法人,老健くぬぎ,168-0071,杉並区高井戸西１－１２－１,139.609946,35.680417,JGD2011,03-5336-7701,100
社福法人,滝野川病院附属介護老人保健施設,114-0023,北区滝野川２－２３－１２,139.731878,35.747215,JGD2011,03-5907-6910,58
社福法人,まちや,116-0001,荒川区町屋４－９－５,139.776586,35.747117,JGD2011,03-3892-5120,100
医療法人,介護老人保健施設志村さつき苑,174-0043,板橋区坂下３－７－６,139.683855,35.786376,JGD2011,03-5970-3358,100
医療法人,介護老人保健施設　千寿の郷,120-0022,足立区柳原２－３３－６,139.814416,35.747935,JGD2011,03-3870-4621,52
社福法人,東京愛育苑ケアレジデンス,125-0032,葛飾区水元３－１３－２,139.863493,35.782319,JGD2011,03-5660-1190,100
社福法人,三鷹市牟礼老人保健施設はなかいどう,181-0002,三鷹市牟礼６－１２－３０,139.574399,35.687837,JGD2011,0422-44-7700,61
社福法人,サンシルバー町田,194-0211,町田市相原町２３７３－１,139.314385,35.613326,JGD2011,042-770-2551,100
社福法人,けやきの郷,187-0032,小平市小川町１－４８５,139.440373,35.727651,JGD2011,042-345-5321,100
社福法人,グリーン・ボイス,189-0012,東村山市萩山町３－３１－２,139.468161,35.743978,JGD2011,042-392-8611,118
社福法人,東京ばんなん白光園,189-0021,東村山市諏訪町２－２６－１,139.463658,35.771892,JGD2011,042-391-6114,86
社福法人,ハートフル田無,188-0013,西東京市向台町２－１６－２２,139.539442,35.720394,JGD2011,042-468-5166,70
