経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
営利法人,相談支援事業所　Moi,101-0051,千代田区神田神保町二丁目３番地　神田古書センタービル６階,139.75735,35.69572,JGD2011,03-6261-6175
他の法人,ポケット中央,104-0044,中央区明石町１２－１　,139.77684,35.66659,JGD2011,03-3541-1021
社福法人,新橋はつらつ太陽,105-0004,港区新橋６－１９－２,139.75359,35.66099,JGD2011,03-3433-0180
営利法人,コスモスケアステーション,105-0004,港区新橋６－５－４　ＤＩＫマンション新橋８０３,139.75447,35.66211,JGD2011,03-5405-1910
営利法人,ケアネスト,105-0012,港区芝大門１－１１－９　ライオンズマンション芝公園６０１,139.75293,35.65826,JGD2011,03-3433-0270
社福法人,港区立障害保健福祉センター 地域活動支援センター,105-0014,港区芝１－８－２３,139.75522,35.65042,JGD2011,03-5439-2511
営利法人,介護ステーションぶらんち,106-0045,港区麻布十番３－６－１０－４０３,139.73473,35.65318,JGD2011,03-6400-5822
他の法人,GIFTライフプランナー,106-0045,港区麻布十番２－１３－２　アザブクマイビル３０２号,139.73508,35.65486,JGD2011,050-3558-9822
営利法人,ケアコーディネーション,108-0073,港区三田２－２－２７－４０４,139.73843,35.65022,JGD2011,03-6453-9336
営利法人,有限会社すばる介護センター,108-0074,港区高輪３－２－３　T３２３プレイスビル２階,139.73265,35.63532,JGD2011,03-5789-2786
社福法人,港区立精神障害者地域活動支援センター,108-0074,港区高輪１－４－８,139.73511,35.64287,JGD2011,03-5798-4660
他の法人,プラーナ新宿　相談支援,160-0022,新宿区新宿２－１－１４　エレメンツ新宿ビル５０２,139.70946,35.68837,JGD2011,03-6273-2633
他の法人,地域活動支援センター『風』,161-0032,新宿区中落合４－２３－２５,139.68259,35.71795,JGD2011,03-3952-6014
社福法人,あんそれいゆ,162-0851,新宿区弁天町３２－６,139.7276,35.70423,JGD2011,03-5579-8412
社福法人,文京地域生活支援センターあかり,112-0011,文京区千石４－２７－１２　水間ビル１階,139.73865,35.73135,JGD2011,03-5976-3351
社福法人,あくせす,112-0012,文京区大塚４－２１－８,139.7332,35.72475,JGD2011,03-3943-4300
他の法人,特定非営利活動法人自立生活センターたいとう,110-0012,台東区竜泉３－１９－７,139.79243,35.72555,JGD2011,03-5603-0821
他の法人,相談支援センター　ほおずき,111-0021,台東区日本堤１－３２－３,139.79672,35.72567,JGD2011,03-3871-4123
社福法人,障害者支援施設浅草ほうらい,111-0022,台東区清川２－１４－７,139.80136,35.7271,JGD2011,03-5808-0067
他の法人,相談支援センターアップル,111-0031,台東区千束３－２０－２４,139.79272,35.72279,JGD2011,03-5849-4677
他の法人,特定非営利活動法人トータルサポートたいとう,111-0032,台東区浅草５－１５－２,139.79509,35.7207,JGD2011,03-5808-7855
