施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
立川市健康会館,190-0011,立川市高松町３－２２－９,139.419209,35.70289,JGD2011,042-527-3632
武蔵野市立保健センター,180-0001,武蔵野市吉祥寺北町４－８－１０,139.566582,35.712923,JGD2011,0422-51-0700
三鷹市総合保健センター,181-0004,三鷹市新川６－３７－１　元気創造プラザ２階,139.561834,35.681774,JGD2011,0422-45-1151
青梅市健康センター,198-0042,青梅市東青梅１－１７４－１,139.273319,35.787787,JGD2011,0428-23-2191
府中市保健センター,183-0055,府中市府中町２－２５,139.482855,35.675775,JGD2011,042-368-5311
昭島市保健福祉センター「あいぽっく」,196-0015,昭島市昭和町４－７－１,139.364125,35.710835,JGD2011,042-544-5126
調布市保健センター,182-0026,調布市小島町２－３３－１,139.541312,35.650988,JGD2011,042-441-6100
小金井市保健センター,184-0015,小金井市貫井北町５－１８－１８,139.490125,35.701717,JGD2011,042-321-1240
小平市健康センター,187-0043,小平市学園東町１－１９－１２,139.477545,35.727,JGD2011,042-346-3700
日野市生活・保健センター,191-0011,日野市日野本町１－６－２,139.40012,35.675865,JGD2011,042-581-4111
東村山市保健福祉総合センター「いきいきプラザ」,189-8501,東村山市本町１－２－３,139.468483,35.754624,JGD2011,042-393-5111
国分寺市いずみ保健センター,185-0024,国分寺市泉町２－３－８,139.468855,35.696398,JGD2011,042-321-1801
国立市保健センター,186-0003,国立市富士見台３－１６－５,139.436547,35.686095,JGD2011,042-572-6111
国立市保健センター（分室）,186-0003,国立市富士見台３－２１－１,139.435872,35.685859,JGD2011,042-572-6111
福生市保健センター,197-0011,福生市大字福生２１２５－３,139.334232,35.744127,JGD2011,042-552-0061
狛江市保健センター（あいとぴあセンター）,201-0013,狛江市元和泉２－３５－１,139.567777,35.6333,JGD2011,03-3488-1181
東大和市立保健センター,207-0015,東大和市中央３－９１８－１,139.42737,35.745721,JGD2011,042-565-5211
清瀬市健康センター,204-8511,清瀬市中里５－８４２,139.526353,35.786052,JGD2011,042-492-5111
東久留米市わくわく健康プラザ内保健センター,203-0033,東久留米市滝山４－３－１４,139.504483,35.742288,JGD2011,042-477-0022
武蔵村山市保健相談センター,208-0004,武蔵村山市本町１－２３,139.387455,35.752758,JGD2011,042-565-9315
武蔵村山市保健相談センターお伊勢の森分室,208-0003,武蔵村山市中央２－１１８,139.393643,35.750959,JGD2011,042-564-5421
多摩市立健康センター,206-0011,多摩市関戸４－１９－５,139.449511,35.649044,JGD2011,042-376-9111
稲城市保健センター,206-0804,稲城市百村１１２－１,139.4975,35.638231,JGD2011,042-378-3421
羽村市保健センター,205-0003,羽村市緑ケ丘５－５－２,139.311749,35.768793,JGD2011,042-555-1111
あきる野市あきる野保健相談所,197-0804,あきる野市秋川６－１－２,139.289816,35.728839,JGD2011,042-558-1111
あきる野市五日市保健センター,190-0164,あきる野市五日市４１４－５,139.219487,35.729676,JGD2011,042-558-1111
西東京市田無総合福祉センター,188-0011,西東京市田無町５－５－１２,139.536209,35.731809,JGD2011,042-466-1670
西東京市保谷保健福祉総合センター,202-8555,西東京市中町１－５－１,139.558951,35.741595,JGD2011,042-464-1311
瑞穂町保健センター,190-1211,西多摩郡瑞穂町大字石畑１９７０,139.356656,35.77368,JGD2011,042-557-5072
日の出町保健センター,190-0192,西多摩郡日の出町平井２７８０,139.257405,35.742114,JGD2011,042-597-0511
檜原村やすらぎの里,190-0211,西多摩郡檜原村２７１７,139.143647,35.735304,JGD2011,042-598-3121
奥多摩町保健福祉センター,198-0212,西多摩郡奥多摩町氷川１１１１,139.088556,35.800485,JGD2011,0428-83-2777
大島町けんこうセンター,100-0102,大島町岡田字沢立１１１－１,139.382367,34.782708,JGD2011,04992-2-1482（福祉けんこう課けんこう係）
新島村さわやか健康センター,100-0402,新島村本村３－１２－８,139.259704,34.372609,JGD2011,04992-5-1856
神津島村保健センター,100-0601,神津島村１００９－１,139.135558,34.204719,JGD2011,04992-8-0010
八丈町保健福祉センター,100-1511,八丈町三根２,139.793264,33.113537,JGD2011,04996-2-5570（福祉健康課保健係）
青ヶ島村保健福祉センター,100-1701,青ヶ島村無番地,139.76346,32.466773,JGD2011,04996-9-0111
