経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
営利法人,アイビス　上野御徒町,101-0021,千代田区外神田６－９－８　シュパール千代田ビル１階,139.77061,35.7048,JGD2011,03-5807-6551
他の法人,Social Good Roasters 千代田,101-0054,千代田区神田錦町１－１４－１３　ＬＡＮＤＰＯＯＬ　ＫＡＮＤＡ　ＴＥＲＲＡＣＥ２F,139.76425,35.69381,JGD2011,03-6811-0895
区市町村,千代田区立障害者就労支援施設,102-0074,千代田区九段南１－２－１,139.75354,35.69395,JGD2011,03-3263-1841
社福法人,クローバーズ・ピア日本橋,103-0002,中央区日本橋馬喰町１－５－４,139.78166,35.69244,JGD2011,03-6661-2835
社福法人,さわやかワーク中央,103-0004,中央区東日本橋２－２７－１２,139.78641,35.69519,JGD2011,03-3865-3661
他の法人,アイビー,104-0041,中央区新富１－１５－４　アルファ新富ビル３階,139.77518,35.6724,JGD2011,03-6262-8882
区市町村,中央区立知的障害者生活支援施設レインボーハウス明石,104-0044,中央区明石町１－６,139.77525,35.66977,JGD2011,03-6226-1099
区市町村,中央区立福祉センター作業室,104-0044,中央区明石町１２－１,139.77684,35.66659,JGD2011,03-3545-9311
営利法人,アリストランプ,104-0045,中央区築地３－１２－１１　ナカシゲビル４階,139.77299,35.66732,JGD2011,03-6264-1458
他の法人,リバーサイドつつじ,104-0051,中央区佃２－１７－８　佃区民館２階,139.78462,35.66506,JGD2011,03-6673-8081
区市町村,港区立障害保健福祉センター　みなとワークアクティ,105-0014,港区芝１－８－２３,139.75522,35.65042,JGD2011,03-5439-8057
社福法人,みなと工房,105-0023,港区芝浦１－１４－８　ベルハイム田町２０１,139.75288,35.64708,JGD2011,03-3455-8140
社福法人,西麻布作業所,106-0031,港区西麻布３－１９－１６,139.72606,35.6596,JGD2011,03-3408-1545
他の法人,アイエスエフネットベネフィット青山,107-0062,港区南青山１－４－２　八並ビル３階・７階,139.72469,35.67101,JGD2011,03-5785-3788
他の法人,アプローズ南青山,107-0062,港区南青山４－３－２４　青山ＮＫビル２階,139.72021,35.66569,JGD2011,03-6804-3623
他の法人,風の子会高浜生活実習所,108-0022,港区海岸３－３－１８　芝浦日新ビル５階,139.75433,35.64166,JGD2011,03-6809-4001
他の法人,特定非営利活動法人工房ラピール,108-0074,港区高輪１－４－８　港区地域生活支援センター３階,139.73511,35.64287,JGD2011,03-3444-5223
社福法人,東京ワークショップ,160-0003,新宿区四谷本塩町２－５,139.72899,35.689454,JGD2011,03-3341-0900
社福法人,ファロ,160-0022,新宿区新宿１－１６－１６　テェアーカテリーナ３階,139.71089,35.68975,JGD2011,03-3350-4437
公益法人,わーくす　ここ・から,160-0022,新宿区新宿７－３－２９,139.7132,35.70022,JGD2011,03-3208-2278
