項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,1732,-,6942,-,529,-,95,-,797,-,4676,-
0,0,0,0,0,調査世帯数,359,-,64,-,252,-,16,-,3,-,27,-,167,-
0,0,0,0,0,世帯人員,3.37,-,2,-,3.74,-,2.32,-,2.41,-,3.88,-,3.42,-
0,0,0,0,0,有業人員,1.68,-,1.61,-,1.68,-,1.72,-,1,-,1.81,-,2.2,-
0,0,0,0,0,世帯主平均年齢,48.6,-,57.7,-,45.3,-,54.5,-,42.6,-,53.1,-,47.5,-
1,0,0,0,0,受取,1107451,-,1122846,-,1120602,-,1021926,-,1461487,-,1016134,-,1167675,-
1,1,0,0,0,実収入,554506,100,607490,100,550625,100,552883,100,744869,100,474193,100,594166,100
1,2,0,0,0,経常収入,550650,99.3,602202,99.1,546762,99.3,550802,99.6,737585,99,472333,99.6,591254,99.5
1,3,0,0,0,勤め先収入,489250,88.2,444532,73.2,506225,91.9,499278,90.3,606419,81.4,431889,91.1,550252,92.6
1,4,0,0,0,世帯主収入,425670,76.8,346597,57.1,450660,81.8,469799,85,606419,81.4,350535,73.9,423080,71.2
1,6,0,0,0,うち男,397090,71.6,333727,54.9,450660,81.8,91075,16.5,-,-,271122,57.2,418969,70.5
1,5,0,0,0,定期収入,419618,75.7,342424,56.4,444259,80.7,454173,82.1,576604,77.4,349785,73.8,415403,69.9
1,5,0,0,0,臨時収入,4464,0.8,4173,0.7,4112,0.7,15626,2.8,29815,4,750,0.2,4363,0.7
1,5,0,0,0,賞与,1589,0.3,-,-,2288,0.4,-,-,-,-,-,-,3315,0.6
1,4,0,0,0,世帯主の配偶者の収入,57612,10.4,97936,16.1,52194,9.5,-,-,-,-,55391,11.7,122677,20.6
1,6,0,0,0,うち女,56543,10.2,91762,15.1,52194,9.5,-,-,-,-,55391,11.7,120390,20.3
1,4,0,0,0,他の世帯員収入,5968,1.1,-,-,3371,0.6,29479,5.3,-,-,25964,5.5,4494,0.8
1,3,0,0,0,事業・内職収入,6919,1.2,11743,1.9,4949,0.9,25319,4.6,-,-,1384,0.3,5252,0.9
1,4,0,0,0,家賃収入,4194,0.8,6871,1.1,3298,0.6,13513,2.4,-,-,-,-,1761,0.3
1,4,0,0,0,他の事業収入,2234,0.4,4308,0.7,1085,0.2,11806,2.1,-,-,1384,0.3,3207,0.5
1,4,0,0,0,内職収入,491,0.1,565,0.1,566,0.1,-,-,-,-,-,-,284,0
1,3,0,0,0,他の経常収入,54482,9.8,145926,24,35588,6.5,26206,4.7,131166,17.6,39060,8.2,35750,6
1,4,0,0,0,財産収入,2078,0.4,11999,2,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,社会保障給付,52225,9.4,133592,22,35416,6.4,26206,4.7,131166,17.6,39060,8.2,35447,6
1,5,0,0,0,公的年金給付,31093,5.6,132332,21.8,7015,1.3,15916,2.9,73645,9.9,30874,6.5,20165,3.4
1,5,0,0,0,他の社会保障給付,21132,3.8,1260,0.2,28401,5.2,10289,1.9,57522,7.7,8186,1.7,15283,2.6
1,4,0,0,0,仕送り金,178,0,336,0.1,173,0,-,-,-,-,-,-,303,0.1
1,2,0,0,0,特別収入,3855,0.7,5288,0.9,3862,0.7,2081,0.4,7284,1,1860,0.4,2912,0.5
1,3,0,0,0,受贈金,2337,0.4,1638,0.3,2845,0.5,-,-,-,-,986,0.2,1540,0.3
1,3,0,0,0,他の特別収入,1518,0.3,3650,0.6,1017,0.2,2081,0.4,7284,1,874,0.2,1372,0.2
1,1,0,0,0,実収入以外の受取(繰入金を除く),438745,-,400155,-,449281,-,395676,-,553336,-,459423,-,429264,-
1,2,0,0,0,預貯金引出,359643,-,289717,-,382989,-,254442,-,397300,-,378063,-,349134,-
1,2,0,0,0,保険金,6122,-,35343,-,-,-,-,-,-,-,-,-,6154,-
1,3,0,0,0,個人・企業年金保険金,6122,-,35343,-,-,-,-,-,-,-,-,-,6154,-
1,3,0,0,0,他の保険金,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,分割払購入借入金,2920,-,5,-,46,-,52787,-,49485,-,1198,-,207,-
1,2,0,0,0,一括払購入借入金,69910,-,74934,-,66070,-,88447,-,106551,-,80143,-,73712,-
1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,150,-,156,-,175,-,-,-,-,-,19,-,58,-
1,1,0,0,0,繰入金,114201,-,115201,-,120697,-,73368,-,163282,-,82518,-,144244,-
2,0,0,0,0,支払,1107451,-,1122846,-,1120602,-,1021926,-,1461487,-,1016134,-,1167675,-
2,1,0,0,0,実支出,448581,-,448755,-,443286,-,490147,-,713588,-,466760,-,447486,-
2,2,0,0,0,生計支出,348258,-,339174,-,343983,-,373438,-,555018,-,388560,-,348637,-
2,3,0,0,0,消費支出,348258,100,339174,100,343983,100,373438,100,555018,100,388560,100,348637,100
2,4,1,0,0,食料,88580,25.4,87117,25.7,88474,25.7,80380,21.5,76102,13.7,98133,25.3,88241,25.3
2,5,1,1,0,穀類,6471,1.9,6193,1.8,6646,1.9,5076,1.4,2426,0.4,6478,1.7,6351,1.8
2,6,1,1,1,米類,1844,0.5,1992,0.6,1796,0.5,1044,0.3,-,-,2476,0.6,1767,0.5
2,6,1,1,2,パン,2951,0.8,2849,0.8,3009,0.9,3253,0.9,1720,0.3,2473,0.6,2921,0.8
2,6,1,1,3,麺類,1245,0.4,1019,0.3,1360,0.4,610,0.2,484,0.1,1156,0.3,1268,0.4
2,6,1,1,4,他の穀類,431,0.1,332,0.1,482,0.1,168,0,222,0,373,0.1,394,0.1
2,5,1,2,0,魚介類,5264,1.5,5792,1.7,5103,1.5,2684,0.7,2780,0.5,7230,1.9,4959,1.4
