項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,持家／実数（円）,持家／構成比（％）,民営借家／実数（円）,民営借家／構成比（％）,公営借家／実数（円）,公営借家／構成比（％）,給与住宅／実数（円）,給与住宅／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,7927,-,1452,-,294,-,326,-
0,0,0,0,0,調査世帯数,370,-,300,-,47,-,13,-,10,-
0,0,0,0,0,世帯人員,3.36,-,3.46,-,2.99,-,2.82,-,3.22,-
0,0,0,0,0,有業人員,1.7,-,1.73,-,1.64,-,1.69,-,1.44,-
0,0,0,0,0,世帯主平均年齢,48.7,-,50,-,42.4,-,50.4,-,43.2,-
1,0,0,0,0,受取,1060033,-,1099263,-,928858,-,696373,-,1018771,-
1,1,0,0,0,実収入,510231,100,516097,100,501546,100,332987,100,566310,100
1,2,0,0,0,経常収入,507690,99.5,513820,99.6,500731,99.8,326535,98.1,553210,97.7
1,3,0,0,0,勤め先収入,497075,97.4,504565,97.8,479965,95.7,317594,95.4,553210,97.7
1,4,0,0,0,世帯主収入,417681,81.9,427934,82.9,361332,72,280774,84.3,542943,95.9
1,6,0,0,0,うち男,397805,78,413724,80.2,310741,62,237812,71.4,542943,95.9
1,5,0,0,0,定期収入,413197,81,423653,82.1,353864,70.6,280774,84.3,542772,95.8
1,5,0,0,0,臨時収入,3581,0.7,4281,0.8,1251,0.2,-,-,171,0
1,5,0,0,0,賞与,903,0.2,-,-,6217,1.2,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,69213,13.6,66050,12.8,107030,21.3,36820,11.1,6945,1.2
1,6,0,0,0,うち女,66113,13,65306,12.7,89747,17.9,36820,11.1,6945,1.2
1,4,0,0,0,他の世帯員収入,10181,2,10581,2.1,11603,2.3,-,-,3322,0.6
1,3,0,0,0,事業・内職収入,6740,1.3,7624,1.5,4683,0.9,547,0.2,-,-
1,4,0,0,0,家賃収入,3919,0.8,4086,0.8,4683,0.9,-,-,-,-
1,4,0,0,0,他の事業収入,2584,0.5,3260,0.6,-,-,-,-,-,-
1,4,0,0,0,内職収入,237,0,279,0.1,-,-,547,0.2,-,-
1,3,0,0,0,他の経常収入,3875,0.8,1630,0.3,16082,3.2,8395,2.5,-,-
1,4,0,0,0,財産収入,567,0.1,716,0.1,-,-,-,-,-,-
1,4,0,0,0,社会保障給付,3217,0.6,800,0.2,16082,3.2,8395,2.5,-,-
1,5,0,0,0,公的年金給付,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,他の社会保障給付,3217,0.6,800,0.2,16082,3.2,8395,2.5,-,-
