項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）,,,,,,,
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,,,,,,,
0,調査世帯数,729,-,-,101,-,103,-,107,-,103,-,108,-,105,-,102,-,,,,,,,
0,世帯人員,2.94,-,-,2.63,-,2.78,-,2.94,-,2.75,-,3.13,-,3.1,-,3.27,-,,,,,,,
0,有業人員,1.29,-,-,1.05,-,1.13,-,1.12,-,1.19,-,1.61,-,1.47,-,1.43,-,,,,,,,
0,世帯主平均年齢,59.2,-,-,64.1,-,62,-,59.4,-,60.2,-,56.9,-,56.4,-,55.6,-,,,,,,,
0,消費支出,354827,100,3.7,114437,100,199649,100,253925,100,300586,100,360367,100,451470,100,797695,100,,,,,,,
2,基礎的支出,198597,56,-3,89491,78.2,140424,70.3,169104,66.6,184656,61.4,198335,55,239767,53.1,366153,45.9,,,,,,,
3,選択的支出,156231,44,13.6,24946,21.8,59225,29.7,84821,33.4,115930,38.6,162031,45,211703,46.9,431543,54.1,,,,,,,
1,食料,110265,31.1,-1.9,59895,52.3,86334,43.2,98601,38.8,111002,36.9,118934,33,133917,29.7,162523,20.4,,,,,,,
2,基礎的支出,86027,24.2,-3,52175,45.6,73443,36.8,79503,31.3,87668,29.2,91020,25.3,101944,22.6,116062,14.5,,,,,,,
3,選択的支出,24238,6.8,2,7720,6.7,12890,6.5,19098,7.5,23334,7.8,27914,7.7,31972,7.1,46462,5.8,,,,,,,
1,住居,27236,7.7,-15.3,2736,2.4,10486,5.3,20485,8.1,17746,5.9,18259,5.1,29305,6.5,90716,11.4,,,,,,,
2,基礎的支出,24506,6.9,-16.9,2736,2.4,8395,4.2,20290,8,15601,5.2,18039,5,23976,5.3,81671,10.2,,,,,,,
3,選択的支出,2731,0.8,1.6,-,-,2091,1,195,0.1,2145,0.7,219,0.1,5329,1.2,9044,1.1,,,,,,,
1,光熱・水道,20319,5.7,4.9,12708,11.1,19443,9.7,19580,7.7,19371,6.4,19947,5.5,24461,5.4,26632,3.3,,,,,,,
2,基礎的支出,20319,5.7,4.9,12708,11.1,19443,9.7,19580,7.7,19371,6.4,19947,5.5,24461,5.4,26632,3.3,,,,,,,
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
1,家具・家事用品,15316,4.3,12.6,4451,3.9,6166,3.1,8957,3.5,12082,4,13033,3.6,17458,3.9,44678,5.6,,,,,,,
2,基礎的支出,9687,2.7,3.5,3672,3.2,5390,2.7,7586,3,9425,3.1,8267,2.3,13209,2.9,20100,2.5,,,,,,,
3,選択的支出,5630,1.6,32.8,779,0.7,775,0.4,1371,0.5,2657,0.9,4766,1.3,4249,0.9,24578,3.1,,,,,,,
1,被服及び履物,16811,4.7,-4.2,3702,3.2,7029,3.5,8730,3.4,13767,4.6,21345,5.9,25347,5.6,37544,4.7,,,,,,,
2,基礎的支出,1302,0.4,-1.3,509,0.4,837,0.4,785,0.3,1154,0.4,1745,0.5,2128,0.5,1952,0.2,,,,,,,
3,選択的支出,15510,4.4,-4.4,3194,2.8,6191,3.1,7946,3.1,12613,4.2,19600,5.4,23219,5.1,35592,4.5,,,,,,,
1,保健医療,15071,4.2,-12.8,4642,4.1,9464,4.7,10796,4.3,12870,4.3,15886,4.4,21145,4.7,30503,3.8,,,,,,,
2,基礎的支出,11472,3.2,-23.6,4623,4,8052,4,8784,3.5,10865,3.6,13295,3.7,16419,3.6,18194,2.3,,,,,,,
3,選択的支出,3599,1,57.6,19,0,1412,0.7,2013,0.8,2005,0.7,2591,0.7,4726,1,12310,1.5,,,,,,,
1,交通・通信,34325,9.7,20.3,6915,6,16710,8.4,22645,8.9,27801,9.2,37996,10.5,43227,9.6,84373,10.6,,,,,,,
2,基礎的支出,12387,3.5,10.3,3751,3.3,8004,4,8772,3.5,11465,3.8,13595,3.8,14016,3.1,26941,3.4,,,,,,,
3,選択的支出,21937,6.2,26.7,3164,2.8,8706,4.4,13874,5.5,16336,5.4,24401,6.8,29211,6.5,57432,7.2,,,,,,,
1,教育,16136,4.5,19.6,416,0.4,4146,2.1,3865,1.5,5659,1.9,12337,3.4,20760,4.6,65152,8.2,,,,,,,
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
3,選択的支出,16136,4.5,19.6,416,0.4,4146,2.1,3865,1.5,5659,1.9,12337,3.4,20760,4.6,65152,8.2,,,,,,,
1,教養娯楽,41270,11.6,2.1,9544,8.3,17535,8.8,27324,10.8,32640,10.9,47117,13.1,61867,13.7,92236,11.6,,,,,,,
2,基礎的支出,8033,2.3,11.2,3746,3.3,5343,2.7,7209,2.8,7805,2.6,8275,2.3,14314,3.2,9506,1.2,,,,,,,
3,選択的支出,33237,9.4,0.1,5798,5.1,12192,6.1,20115,7.9,24835,8.3,38842,10.8,47553,10.5,82731,10.4,,,,,,,
1,その他の消費支出,58078,16.4,22.8,9429,8.2,22337,11.2,32942,13,47648,15.9,55513,15.4,73983,16.4,163338,20.5,,,,,,,
2,基礎的支出,24865,7,8,5572,4.9,11515,5.8,16597,6.5,21302,7.1,24153,6.7,29299,6.5,65095,8.2,,,,,,,
3,選択的支出,33213,9.4,36.9,3857,3.4,10821,5.4,16345,6.4,26345,8.8,31360,8.7,44684,9.9,98242,12.3,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成28年12月,,,,,,,,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
