項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）,,,,,,
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,,,,,,
0,0,調査世帯数,729,-,-,101,-,103,-,107,-,103,-,108,-,105,-,102,-,,,,,,
0,0,世帯人員,2.94,-,-,2.63,-,2.78,-,2.94,-,2.75,-,3.13,-,3.1,-,3.27,-,,,,,,
0,0,有業人員,1.29,-,-,1.05,-,1.13,-,1.12,-,1.19,-,1.61,-,1.47,-,1.43,-,,,,,,
0,0,世帯主平均年齢,59.2,-,-,64.1,-,62,-,59.4,-,60.2,-,56.9,-,56.4,-,55.6,-,,,,,,
0,0,消費支出,354827,-,3.7,114437,-,199649,-,253925,-,300586,-,360367,-,451470,-,797695,-,,,,,,
0,0,公共的料金,82419,23.2,-1.5,29442,25.7,52067,26.1,69373,27.3,68768,22.9,81638,22.7,101915,22.6,172508,21.6,,,,,,
1,0,公共料金等,52013,14.7,-6.1,23429,20.5,38044,19.1,43077,17,49584,16.5,56566,15.7,69983,15.5,83032,10.4,,,,,,
1,1,米,1710,0.5,-27.8,1487,1.3,1762,0.9,1577,0.6,1526,0.5,2021,0.6,1759,0.4,1844,0.2,,,,,,
1,1,食塩,33,0,-45.9,15,0,34,0,49,0,27,0,29,0,54,0,22,0,,,,,,
1,1,学校給食,917,0.3,10.3,110,0.1,923,0.5,899,0.4,684,0.2,1166,0.3,1204,0.3,1427,0.2,,,,,,
1,1,公営家賃,732,0.2,-69.4,151,0.1,-,-,-,-,786,0.3,793,0.2,3401,0.8,-,-,,,,,,
1,1,電気代,8809,2.5,5.8,5611,4.9,8782,4.4,8155,3.2,8678,2.9,8185,2.3,9991,2.2,12213,1.5,,,,,,
1,1,都市ガス,5391,1.5,-1,3804,3.3,4794,2.4,5225,2.1,5515,1.8,5248,1.5,6500,1.4,6631,0.8,,,,,,
1,1,上下水道料,5014,1.4,4.2,2468,2.2,4912,2.5,4692,1.8,4102,1.4,4831,1.3,7416,1.6,6655,0.8,,,,,,
1,1,医科診療代,3499,1,-11.9,1907,1.7,2491,1.2,1952,0.8,3634,1.2,4379,1.2,4163,0.9,5950,0.7,,,,,,
1,1,歯科診療代,1069,0.3,-44.2,273,0.2,600,0.3,592,0.2,991,0.3,1028,0.3,2894,0.6,1105,0.1,,,,,,
1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
1,1,他の入院料,513,0.1,-80.7,-,-,-,-,557,0.2,251,0.1,965,0.3,1122,0.2,694,0.1,,,,,,
1,1,鉄道運賃,3776,1.1,26.2,852,0.7,1212,0.6,2421,1,2495,0.8,4909,1.4,6183,1.4,8305,1,,,,,,
1,1,鉄道通学定期代,234,0.1,680,141,0.1,-,-,296,0.1,568,0.2,-,-,323,0.1,302,0,,,,,,
1,1,鉄道通勤定期代,1067,0.3,-1.7,287,0.3,283,0.1,124,0,839,0.3,1369,0.4,2625,0.6,1933,0.2,,,,,,
1,1,バス代,372,0.1,12.7,49,0,131,0.1,443,0.2,486,0.2,566,0.2,369,0.1,559,0.1,,,,,,
1,1,バス通学定期代,31,0,675,-,-,-,-,-,-,-,-,179,0,-,-,38,0,,,,,,
1,1,バス通勤定期代,17,0,-73.4,-,-,-,-,-,-,-,-,13,0,103,0,-,-,,,,,,
1,1,タクシー代,998,0.3,31.8,536,0.5,462,0.2,329,0.1,727,0.2,789,0.2,919,0.2,3195,0.4,,,,,,
1,1,航空運賃,1112,0.3,92.7,-,-,-,-,389,0.2,1053,0.4,773,0.2,-,-,5511,0.7,,,,,,
1,1,郵便料,2228,0.6,-9,1051,0.9,1751,0.9,1728,0.7,2304,0.8,2767,0.8,2473,0.5,3510,0.4,,,,,,
1,1,固定電話通信料,1850,0.5,-12.5,1309,1.1,1410,0.7,1637,0.6,2034,0.7,1695,0.5,2899,0.6,1962,0.2,,,,,,
1,1,移動電話通信料,8452,2.4,0.6,1641,1.4,5817,2.9,8297,3.3,8294,2.8,10100,2.8,10718,2.4,14222,1.8,,,,,,
1,1,ＮＨＫ放送受信料,1530,0.4,23.7,977,0.9,1076,0.5,1343,0.5,1993,0.7,1166,0.3,2429,0.5,1718,0.2,,,,,,
1,1,ケーブルテレビ放送受信料,1041,0.3,-4.8,415,0.4,712,0.4,1234,0.5,822,0.3,1067,0.3,1124,0.2,1897,0.2,,,,,,
1,1,他の放送受信料,174,0,-15.9,69,0.1,45,0,141,0.1,264,0.1,213,0.1,190,0,297,0,,,,,,
1,1,国公立小学校,200,0.1,29,10,0,14,0,238,0.1,295,0.1,399,0.1,284,0.1,161,0,,,,,,
1,1,国公立中学校,210,0.1,14.8,13,0,358,0.2,91,0,120,0,159,0,139,0,590,0.1,,,,,,
1,1,国公立高校,74,0,64.4,-,-,-,-,-,-,-,-,-,-,134,0,381,0,,,,,,
1,1,国公立大学,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,
1,1,たばこ,962,0.3,10.4,256,0.2,476,0.2,669,0.3,1098,0.4,1754,0.5,566,0.1,1909,0.2,,,,,,
2,0,準公共料金等,30406,8.6,7.4,6013,5.3,14023,7,26295,10.4,19184,6.4,25071,7,31932,7.1,89476,11.2,,,,,,
2,1,牛乳,1372,0.4,-7.3,844,0.7,1536,0.8,1182,0.5,1269,0.4,1493,0.4,1426,0.3,1854,0.2,,,,,,
2,1,灯油,652,0.2,32.3,310,0.3,630,0.3,879,0.3,753,0.3,1042,0.3,444,0.1,511,0.1,,,,,,
2,1,プロパンガス,424,0.1,60,485,0.4,309,0.2,610,0.2,300,0.1,597,0.2,92,0,574,0.1,,,,,,
2,1,理髪料,436,0.1,1.6,120,0.1,125,0.1,393,0.2,659,0.2,679,0.2,645,0.1,435,0.1,,,,,,
2,1,パーマネント代,324,0.1,-23.9,-,-,175,0.1,227,0.1,403,0.1,544,0.2,359,0.1,561,0.1,,,,,,
2,1,洗濯代,720,0.2,7.6,34,0,146,0.1,190,0.1,482,0.2,577,0.2,1115,0.2,2477,0.3,,,,,,
2,1,新聞,2678,0.8,-9.8,1796,1.6,2213,1.1,2337,0.9,2769,0.9,2585,0.7,3646,0.8,3389,0.4,,,,,,
2,1,私立小学校,89,0,...,-,-,-,-,617,0.2,-,-,-,-,-,-,-,-,,,,,,
2,1,私立中学校,1721,0.5,-33.7,-,-,471,0.2,-,-,-,-,411,0.1,1087,0.2,9971,1.2,,,,,,
2,1,私立高校,3932,1.1,77.2,-,-,-,-,-,-,-,-,1240,0.3,2070,0.5,23951,3,,,,,,
2,1,私立大学,2636,0.7,47.8,-,-,-,-,-,-,-,-,-,-,327,0.1,17917,2.2,,,,,,
2,1,幼児教育費用,1748,0.5,-11.1,179,0.2,1439,0.7,1628,0.6,1469,0.5,2151,0.6,2705,0.6,2660,0.3,,,,,,
2,1,民営家賃,12265,3.5,12.3,2033,1.8,4774,2.4,16919,6.7,7936,2.6,13021,3.6,18016,4,22943,2.9,,,,,,
2,1,地代,1408,0.4,-32.4,212,0.2,2207,1.1,1315,0.5,3146,1,733,0.2,-,-,2232,0.3,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成28年12月,,,,,,,,,,,,,,,,,,,,,,,,,
