項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,2209,-,2970,-,3914,-,907,-
0,0,0,0,0,調査世帯数,369,-,77,-,109,-,147,-,36,-
0,0,0,0,0,世帯人員,3.38,-,2,-,3,-,4,-,5.33,-
0,0,0,0,0,有業人員,1.68,-,1.51,-,1.64,-,1.75,-,1.9,-
0,0,0,0,0,世帯主平均年齢,48.9,-,54.8,-,48,-,46.9,-,46.4,-
1,0,0,0,0,受取,1020294,-,828339,-,974226,-,1172437,-,981988,-
1,1,0,0,0,実収入,478334,100,397678,100,447432,100,565175,100,401156,100
1,2,0,0,0,経常収入,465777,97.4,393722,99,434498,97.1,548011,97,388762,96.9
1,3,0,0,0,勤め先収入,455246,95.2,383355,96.4,419888,93.8,541074,95.7,375683,93.7
1,4,0,0,0,世帯主収入,400677,83.8,322177,81,378706,84.6,476069,84.2,338410,84.4
1,6,0,0,0,うち男,387389,81,309558,77.8,370157,82.7,458656,81.2,325777,81.2
1,5,0,0,0,定期収入,386345,80.8,319876,80.4,370893,82.9,447970,79.3,332846,83
1,5,0,0,0,臨時収入,2617,0.5,2301,0.6,954,0.2,3375,0.6,5564,1.4
1,5,0,0,0,賞与,11715,2.4,-,-,6859,1.5,24724,4.4,-,-
1,4,0,0,0,世帯主の配偶者の収入,48875,10.2,57637,14.5,39886,8.9,56045,9.9,26028,6.5
1,6,0,0,0,うち女,45824,9.6,57637,14.5,39886,8.9,48249,8.5,26028,6.5
1,4,0,0,0,他の世帯員収入,5694,1.2,3541,0.9,1296,0.3,8960,1.6,11245,2.8
1,3,0,0,0,事業・内職収入,5055,1.1,4147,1,5122,1.1,3657,0.6,13079,3.3
1,4,0,0,0,家賃収入,2242,0.5,4051,1,-,-,1111,0.2,10061,2.5
1,4,0,0,0,他の事業収入,2494,0.5,-,-,5067,1.1,1828,0.3,3018,0.8
1,4,0,0,0,内職収入,319,0.1,96,0,55,0,718,0.1,-,-
1,3,0,0,0,他の経常収入,5475,1.1,6220,1.6,9488,2.1,3280,0.6,-,-
1,4,0,0,0,財産収入,1969,0.4,253,0.1,6442,1.4,0,0,-,-
1,4,0,0,0,社会保障給付,3138,0.7,5966,1.5,1805,0.4,3280,0.6,-,-
1,5,0,0,0,公的年金給付,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,他の社会保障給付,3138,0.7,5966,1.5,1805,0.4,3280,0.6,-,-
1,4,0,0,0,仕送り金,368,0.1,-,-,1240,0.3,-,-,-,-
1,2,0,0,0,特別収入,12557,2.6,3956,1,12934,2.9,17163,3,12394,3.1
1,3,0,0,0,受贈金,4936,1,1119,0.3,4798,1.1,7296,1.3,4496,1.1
1,3,0,0,0,他の特別収入,7622,1.6,2837,0.7,8136,1.8,9868,1.7,7898,2
1,1,0,0,0,実収入以外の受取(繰入金を除く),421625,-,343623,-,418971,-,455014,-,476180,-
1,2,0,0,0,預貯金引出,344760,-,289553,-,325696,-,375087,-,410742,-
1,2,0,0,0,保険金,3389,-,2549,-,6952,-,1943,-,-,-
1,3,0,0,0,個人・企業年金保険金,3389,-,2549,-,6952,-,1943,-,-,-
1,3,0,0,0,他の保険金,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,-,-,-,-,-,-,-,-,-,-
