年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成22年平均,2010,,27.4,31.5,31.5,29.8,28.7,26.9,25.8,25.9
nen,平成23年平均,2011,,28.5,30.4,30.3,29.7,29.2,28.5,26.4,28.3
nen,平成24年平均,2012,,28,30.4,31.9,30,30.2,27.6,25.8,26.9
nen,平成25年平均,2013,,27.9,30,31,30.2,29.6,28.7,27.6,25.6
nen,平成26年平均,2014,,26.8,31.2,31.3,30.4,29.6,27,26.4,23.4
nen,平成27年平均,2015,,28.1,29.7,31.7,30.6,30.4,28.3,26.3,26.6
nen,平成28年平均,2016,,27.6,28.5,29.4,29.1,28.8,27.5,26.6,26.7
tuki,平成27年12月,2015,12,24.5,26.7,27.9,28.9,25.4,22.8,23.8,22.4
tuki,平成28年1月,2016,1,27.7,30,31.3,33.2,29.8,28.8,26.1,24.6
tuki,平成28年2月,2016,2,32.9,32.4,32.3,33.4,32.1,30.4,28.9,36.6
tuki,平成28年3月,2016,3,30,29.4,31.9,29.7,31.8,31.5,26.6,30.2
tuki,平成28年4月,2016,4,33.6,29.1,32.9,28.1,30.8,29.2,29,39.4
tuki,平成28年5月,2016,5,27.2,28.7,29.2,28.8,28,27.7,26.4,26.2
tuki,平成28年6月,2016,6,24.7,29.4,29.6,29.9,29.5,26.6,27,18.1
tuki,平成28年7月,2016,7,24.1,30.2,24.8,24.7,28.2,25.3,24.8,20.5
tuki,平成28年8月,2016,8,25.8,27.7,27.7,28.2,25.5,29.1,26,23.1
tuki,平成28年9月,2016,9,30.2,28,30.2,29,27.1,29.1,26.3,34.2
tuki,平成28年10月,2016,10,25.5,24.9,27.7,29.4,28.7,28.5,26.3,21.9
tuki,平成28年11月,2016,11,25.6,27.9,28,26.1,28.4,26.1,28.1,21.9
tuki,平成28年12月,2016,12,23.2,25.7,26.1,27.3,22.9,22.7,22.6,21.6
,,,,,,,,,,,
東京都生計分析調査　平成28年12月,,,,,,,,,,,
主要指標４　―全世帯，生計支出７分位階層別―,,,,,,,,,,,
公共的料金負担率〔＝（公共的料金÷消費支出）×１００〕,,,,,,,,,,,
