項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,9178,-,2860,-,2463,-,7140,-,6715,-,822,-
0,0,0,0,0,調査世帯数,243,-,-,223,-,69,-,59,-,174,-,164,-,20,-
0,0,0,0,0,世帯人員,2.39,-,-,2.41,-,2.31,-,2.32,-,2.43,-,2.44,-,2.21,-
0,0,0,0,0,有業人員,0.38,-,-,0.39,-,0.36,-,0.4,-,0.39,-,0.39,-,0.28,-
0,0,0,0,0,世帯主平均年齢,73.7,-,-,74.1,-,75.3,-,76.3,-,73,-,73.3,-,69,-
1,0,0,0,0,受取,709314,-,-4.5,715792,-,404437,-,416775,-,831454,-,825467,-,636943,-
1,1,0,0,0,実収入,298665,100,-5.1,298744,100,172629,100,177758,100,349158,100,343119,100,297791,100
1,2,0,0,0,経常収入,293271,98.2,-5.9,294378,98.5,168877,97.8,175673,98.8,343105,98.3,337917,98.5,280904,94.3
1,3,0,0,0,勤め先収入,11897,4,-39.4,9794,3.3,1697,1,1971,1.1,15983,4.6,12664,3.7,35386,11.9
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,7223,2.4,-16.6,5016,1.7,-,-,-,-,10116,2.9,6856,2,31873,10.7
1,6,0,0,0,うち女,7223,2.4,-16.6,5016,1.7,-,-,-,-,10116,2.9,6856,2,31873,10.7
