項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,735,-,-,100,-,106,-,109,-,102,-,108,-,105,-,105,-
0,世帯人員,2.98,-,-,2.74,-,2.78,-,2.99,-,2.9,-,3.16,-,3.13,-,3.16,-
0,有業人員,1.3,-,-,1.06,-,1.14,-,1.2,-,1.3,-,1.44,-,1.47,-,1.48,-
0,世帯主平均年齢,59.2,-,-,66.2,-,62.1,-,60.1,-,59.2,-,54.8,-,55.5,-,56.2,-
0,消費支出,341798,100,8.1,104068,100,169943,100,217403,100,261781,100,313265,100,391872,100,931216,100
2,基礎的支出,175340,51.3,-0.1,79491,76.4,113277,66.7,136940,63,158311,60.5,176931,56.5,200275,51.1,361063,38.8
3,選択的支出,166458,48.7,18.3,24577,23.6,56666,33.3,80463,37,103470,39.5,136334,43.5,191597,48.9,570153,61.2
1,食料,89280,26.1,2.3,54488,52.4,69469,40.9,74914,34.5,88473,33.8,97055,31,114153,29.1,126117,13.5
2,基礎的支出,68277,20,0.7,47714,45.8,58548,34.5,58905,27.1,69943,26.7,73091,23.3,81394,20.8,88165,9.5
3,選択的支出,21002,6.1,8,6775,6.5,10921,6.4,16009,7.4,18529,7.1,23964,7.6,32759,8.4,37953,4.1
1,住居,30198,8.8,30.3,2243,2.2,6599,3.9,14579,6.7,15865,6.1,27855,8.9,32525,8.3,111323,12
2,基礎的支出,28776,8.4,43,2145,2.1,5680,3.3,14477,6.7,14693,5.6,27855,8.9,30238,7.7,105961,11.4
3,選択的支出,1422,0.4,-53.6,98,0.1,919,0.5,102,0,1173,0.4,-,-,2287,0.6,5363,0.6
1,光熱・水道,17143,5,-1,10159,9.8,15668,9.2,16982,7.8,19108,7.3,19324,6.2,19381,4.9,19313,2.1
2,基礎的支出,17143,5,-1,10159,9.8,15668,9.2,16982,7.8,19108,7.3,19324,6.2,19381,4.9,19313,2.1
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,11285,3.3,-11,3468,3.3,6113,3.6,6390,2.9,9193,3.5,9561,3.1,11751,3,32413,3.5
2,基礎的支出,7980,2.3,7.7,2986,2.9,4380,2.6,4708,2.2,5440,2.1,5927,1.9,6875,1.8,25461,2.7
3,選択的支出,3305,1,-37.3,482,0.5,1733,1,1681,0.8,3753,1.4,3634,1.2,4877,1.2,6951,0.7
1,被服及び履物,17689,5.2,4.7,3974,3.8,6780,4,11154,5.1,11901,4.5,19070,6.1,23426,6,47357,5.1
2,基礎的支出,891,0.3,11.5,257,0.2,599,0.4,485,0.2,541,0.2,1147,0.4,1101,0.3,2095,0.2
3,選択的支出,16798,4.9,4.4,3717,3.6,6181,3.6,10669,4.9,11360,4.3,17923,5.7,22326,5.7,45261,4.9
1,保健医療,16194,4.7,0,5170,5,8251,4.9,14602,6.7,10720,4.1,19409,6.2,14985,3.8,40060,4.3
2,基礎的支出,13458,3.9,1.7,4866,4.7,7078,4.2,13401,6.2,9574,3.7,14933,4.8,12478,3.2,31760,3.4
3,選択的支出,2736,0.8,-7.8,305,0.3,1174,0.7,1201,0.6,1146,0.4,4476,1.4,2507,0.6,8300,0.9
1,交通・通信,47247,13.8,58.2,6476,6.2,14484,8.5,20703,9.5,28362,10.8,35159,11.2,42852,10.9,182062,19.6
2,基礎的支出,10066,2.9,1.7,2310,2.2,4819,2.8,9145,4.2,9610,3.7,11552,3.7,12436,3.2,20521,2.2
3,選択的支出,37181,10.9,86.1,4166,4,9665,5.7,11558,5.3,18751,7.2,23607,7.5,30416,7.8,161542,17.3
1,教育,18359,5.4,-6.6,468,0.4,2854,1.7,4076,1.9,7387,2.8,10258,3.3,16015,4.1,87152,9.4
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,18359,5.4,-6.6,468,0.4,2854,1.7,4076,1.9,7387,2.8,10258,3.3,16015,4.1,87152,9.4
1,教養娯楽,36383,10.6,-1.5,8587,8.3,19078,11.2,24305,11.2,26735,10.2,33727,10.8,54650,13.9,87312,9.4
2,基礎的支出,7158,2.1,-3.5,3850,3.7,6616,3.9,6103,2.8,7495,2.9,6074,1.9,8526,2.2,11404,1.2
3,選択的支出,29226,8.6,-1.1,4737,4.6,12462,7.3,18202,8.4,19240,7.3,27654,8.8,46124,11.8,75908,8.2
1,その他の消費支出,58020,17,3.1,9036,8.7,20648,12.1,29697,13.7,44037,16.8,41847,13.4,62133,15.9,198106,21.3
2,基礎的支出,21591,6.3,-31.7,5206,5,9889,5.8,12732,5.9,21907,8.4,17028,5.4,27846,7.1,56383,6.1
3,選択的支出,36428,10.7,47.5,3829,3.7,10759,6.3,16965,7.8,22131,8.5,24819,7.9,34287,8.7,141723,15.2
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成28年10月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
