項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,739,-,-,100,-,108,-,101,-,108,-,106,-,108,-,108,-
0,世帯人員,2.99,-,-,2.78,-,2.85,-,2.7,-,2.94,-,3.13,-,3.27,-,3.26,-
0,有業人員,1.3,-,-,1.18,-,1.15,-,1.19,-,1.23,-,1.4,-,1.53,-,1.44,-
0,世帯主平均年齢,59.2,-,-,64,-,62.1,-,63.3,-,59.3,-,56.5,-,53.7,-,55.7,-
0,消費支出,306399,100,-1.1,107811,100,162164,100,209404,100,253631,100,313530,100,392628,100,704181,100
2,基礎的支出,164793,53.8,-5.2,81604,75.7,108678,67,135941,64.9,150213,59.2,185666,59.2,201285,51.3,289601,41.1
3,選択的支出,141606,46.2,4.1,26208,24.3,53486,33,73463,35.1,103418,40.8,127864,40.8,191343,48.7,414580,58.9
1,食料,91163,29.8,-1.9,52736,48.9,65353,40.3,75008,35.8,86920,34.3,98917,31.5,112063,28.5,146845,20.9
2,基礎的支出,68450,22.3,-2.2,45254,42,54008,33.3,61229,29.2,67633,26.7,74170,23.7,83003,21.1,93676,13.3
3,選択的支出,22713,7.4,-1.2,7482,6.9,11345,7,13779,6.6,19287,7.6,24747,7.9,29060,7.4,53170,7.6
1,住居,21912,7.2,-19.8,2171,2,5442,3.4,14660,7,12859,5.1,34728,11.1,24264,6.2,59180,8.4
2,基礎的支出,20607,6.7,-17.4,2171,2,5194,3.2,12366,5.9,10918,4.3,34122,10.9,23590,6,55812,7.9
3,選択的支出,1305,0.4,-45.6,-,-,249,0.2,2294,1.1,1941,0.8,606,0.2,674,0.2,3368,0.5
1,光熱・水道,17140,5.6,-13.5,11922,11.1,14336,8.8,16278,7.8,19186,7.6,17591,5.6,20513,5.2,20107,2.9
2,基礎的支出,17140,5.6,-13.5,11922,11.1,14336,8.8,16278,7.8,19186,7.6,17591,5.6,20513,5.2,20107,2.9
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,11155,3.6,-8.8,4354,4,5626,3.5,7335,3.5,10795,4.3,10119,3.2,14391,3.7,25406,3.6
2,基礎的支出,7735,2.5,-11.2,3409,3.2,4950,3.1,5710,2.7,8949,3.5,7001,2.2,11552,2.9,12530,1.8
3,選択的支出,3420,1.1,-2.8,945,0.9,675,0.4,1626,0.8,1846,0.7,3118,1,2839,0.7,12876,1.8
1,被服及び履物,10819,3.5,-2.5,3066,2.8,5545,3.4,7817,3.7,9961,3.9,10687,3.4,12056,3.1,26542,3.8
2,基礎的支出,804,0.3,8.5,297,0.3,419,0.3,860,0.4,738,0.3,1094,0.3,919,0.2,1298,0.2
3,選択的支出,10016,3.3,-3.3,2769,2.6,5126,3.2,6957,3.3,9223,3.6,9594,3.1,11137,2.8,25245,3.6
1,保健医療,15740,5.1,11.6,5983,5.5,7998,4.9,10588,5.1,12033,4.7,15718,5,13875,3.5,43923,6.2
2,基礎的支出,12938,4.2,4,5339,5,6829,4.2,9754,4.7,8676,3.4,12508,4,11219,2.9,36206,5.1
3,選択的支出,2802,0.9,68.6,644,0.6,1168,0.7,834,0.4,3358,1.3,3210,1,2655,0.7,7716,1.1
1,交通・通信,34617,11.3,7.9,6790,6.3,16911,10.4,20118,9.6,27873,11,33293,10.6,57724,14.7,79379,11.3
2,基礎的支出,10332,3.4,-6,2834,2.6,6287,3.9,7924,3.8,10475,4.1,9453,3,14072,3.6,21215,3
3,選択的支出,24285,7.9,15.1,3956,3.7,10623,6.6,12193,5.8,17399,6.9,23840,7.6,43652,11.1,58164,8.3
1,教育,12939,4.2,31.5,970,0.9,2940,1.8,3458,1.7,4355,1.7,6739,2.1,16079,4.1,55951,7.9
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,12939,4.2,31.5,970,0.9,2940,1.8,3458,1.7,4355,1.7,6739,2.1,16079,4.1,55951,7.9
1,教養娯楽,44805,14.6,-3.9,8912,8.3,16094,9.9,21586,10.3,31249,12.3,38778,12.4,56889,14.5,139851,19.9
2,基礎的支出,6773,2.2,-9,3756,3.5,5876,3.6,6896,3.3,6093,2.4,6923,2.2,7663,2,10189,1.4
3,選択的支出,38032,12.4,-2.9,5156,4.8,10218,6.3,14690,7,25156,9.9,31855,10.2,49226,12.5,129662,18.4
1,その他の消費支出,46108,15,5.4,10907,10.1,21919,13.5,32556,15.5,38401,15.1,46961,15,64774,16.5,106995,15.2
2,基礎的支出,20013,6.5,6.7,6621,6.1,10779,6.6,14924,7.1,17548,6.9,22805,7.3,28753,7.3,38567,5.5
3,選択的支出,26095,8.5,4.4,4286,4,11140,6.9,17632,8.4,20853,8.2,24156,7.7,36021,9.2,68428,9.7
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成28年8月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
