項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,366,-,-,52,-,50,-,49,-,56,-,53,-,53,-,53,-
0,0,世帯人員,3.37,-,-,3.05,-,3.32,-,3.51,-,3.3,-,3.71,-,3.38,-,3.31,-
0,0,有業人員,1.68,-,-,1.64,-,1.73,-,1.61,-,1.48,-,1.78,-,1.63,-,1.91,-
0,0,世帯主平均年齢,48.1,-,-,54.1,-,46.5,-,47.4,-,43.9,-,47.9,-,47.7,-,49.2,-
0,0,消費支出,406673,-,-4,349841,-,290729,-,306605,-,389987,-,418049,-,448930,-,637497,-
0,0,公共的料金,149252,36.7,-9.2,149047,42.6,113875,39.2,116652,38,84190,21.6,196524,47,165335,36.8,218034,34.2
1,0,公共料金等,69840,17.2,-1.5,52873,15.1,59594,20.5,64214,20.9,51954,13.3,68477,16.4,79383,17.7,111372,17.5
1,1,米,2135,0.5,12.8,1936,0.6,2551,0.9,2122,0.7,1398,0.4,2504,0.6,2219,0.5,2207,0.3
1,1,食塩,39,0,11.4,41,0,6,0,42,0,23,0,69,0,66,0,23,0
1,1,学校給食,422,0.1,-15.8,189,0.1,268,0.1,365,0.1,711,0.2,661,0.2,664,0.1,105,0
1,1,公営家賃,2376,0.6,53.7,311,0.1,7582,2.6,4609,1.5,-,-,1061,0.3,3068,0.7,-,-
1,1,電気代,9925,2.4,-16.5,10593,3,7723,2.7,11246,3.7,9401,2.4,9080,2.2,10892,2.4,10571,1.7
1,1,都市ガス,7212,1.8,-23.9,6825,2,6635,2.3,7109,2.3,6771,1.7,8438,2,7108,1.6,7592,1.2
1,1,上下水道料,4726,1.2,-22.3,4985,1.4,5305,1.8,5760,1.9,2724,0.7,3779,0.9,5530,1.2,5006,0.8
1,1,医科診療代,3719,0.9,-3.8,1701,0.5,1810,0.6,6454,2.1,1496,0.4,1543,0.4,1694,0.4,11128,1.7
1,1,歯科診療代,3923,1,36.5,648,0.2,761,0.3,789,0.3,721,0.2,1234,0.3,607,0.1,22194,3.5
1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
