項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,359,-,-,53,-,50,-,47,-,53,-,54,-,48,-,54,-
0,0,0,0,0,世帯人員,3.37,-,-,3.26,-,3.2,-,3.19,-,3.64,-,3.4,-,3.44,-,3.47,-
0,0,0,0,0,有業人員,1.68,-,-,1.6,-,1.67,-,1.67,-,1.6,-,1.57,-,1.69,-,1.96,-
0,0,0,0,0,世帯主平均年齢,48.6,-,-,53.4,-,50.1,-,47,-,45.5,-,46.7,-,49.4,-,47.8,-
1,0,0,0,0,受取,1107451,-,10.9,549689,-,777961,-,889908,-,965709,-,1167726,-,1195276,-,2183922,-
1,1,0,0,0,実収入,554506,100,6.9,176032,100,360824,100,465564,100,530556,100,596028,100,667024,100,1073281,100
1,2,0,0,0,経常収入,550650,99.3,6.5,173469,98.5,356969,98.9,463386,99.5,522262,98.4,591558,99.3,666644,99.9,1068105,99.5
1,3,0,0,0,勤め先収入,489250,88.2,5.1,72092,41,272588,75.5,365627,78.5,456440,86,539954,90.6,659296,98.8,1045610,97.4
1,4,0,0,0,世帯主収入,425670,76.8,3.2,61256,34.8,247642,68.6,347521,74.6,414822,78.2,492189,82.6,573403,86,832318,77.5
1,6,0,0,0,うち男,397090,71.6,-1.6,52167,29.6,211333,58.6,323559,69.5,409717,77.2,488444,81.9,507438,76.1,777315,72.4
1,5,0,0,0,定期収入,419618,75.7,3.8,61256,34.8,246506,68.3,343396,73.8,412749,77.8,488684,82,562223,84.3,812189,75.7
1,5,0,0,0,臨時収入,4464,0.8,-29.8,-,-,871,0.2,4124,0.9,2073,0.4,3505,0.6,11180,1.7,9419,0.9
1,5,0,0,0,賞与,1589,0.3,-8.8,-,-,265,0.1,-,-,-,-,-,-,-,-,10709,1
1,4,0,0,0,世帯主の配偶者の収入,57612,10.4,14.2,9444,5.4,20024,5.5,15699,3.4,39448,7.4,44184,7.4,73164,11,198916,18.5
1,6,0,0,0,うち女,56543,10.2,18.5,9444,5.4,20024,5.5,15699,3.4,39448,7.4,44184,7.4,65646,9.8,198916,18.5
1,4,0,0,0,他の世帯員収入,5968,1.1,142.5,1392,0.8,4922,1.4,2407,0.5,2171,0.4,3581,0.6,12728,1.9,14376,1.3
1,3,0,0,0,事業・内職収入,6919,1.2,155.6,9256,5.3,16793,4.7,8680,1.9,6137,1.2,1085,0.2,817,0.1,5504,0.5
1,4,0,0,0,家賃収入,4194,0.8,129.7,8553,4.9,6666,1.8,8680,1.9,-,-,-,-,-,-,5504,0.5
1,4,0,0,0,他の事業収入,2234,0.4,244.2,-,-,9407,2.6,-,-,5207,1,-,-,817,0.1,-,-
1,4,0,0,0,内職収入,491,0.1,110.7,703,0.4,720,0.2,-,-,930,0.2,1085,0.2,-,-,-,-
1,3,0,0,0,他の経常収入,54482,9.8,11.2,92121,52.3,67588,18.7,89079,19.1,59685,11.2,50519,8.5,6531,1,16992,1.6
1,4,0,0,0,財産収入,2078,0.4,545.3,14937,8.5,-,-,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,社会保障給付,52225,9.4,7.3,77184,43.8,67588,18.7,89079,19.1,59101,11.1,50519,8.5,5865,0.9,16992,1.6
1,5,0,0,0,公的年金給付,31093,5.6,4.4,73629,41.8,47409,13.1,62200,13.4,22787,4.3,12798,2.1,-,-,-,-
1,5,0,0,0,他の社会保障給付,21132,3.8,11.8,3554,2,20179,5.6,26879,5.8,36314,6.8,37721,6.3,5865,0.9,16992,1.6
1,4,0,0,0,仕送り金,178,0,...,-,-,-,-,-,-,584,0.1,-,-,665,0.1,-,-
1,2,0,0,0,特別収入,3855,0.7,108.9,2562,1.5,3855,1.1,2178,0.5,8294,1.6,4470,0.7,380,0.1,5175,0.5
1,3,0,0,0,受贈金,2337,0.4,196.2,2063,1.2,1364,0.4,1010,0.2,6800,1.3,3611,0.6,53,0,1472,0.1
1,3,0,0,0,他の特別収入,1518,0.3,43.9,500,0.3,2491,0.7,1168,0.3,1494,0.3,860,0.1,327,0,3704,0.3
1,1,0,0,0,実収入以外の受取(繰入金を除く),438745,-,6.9,316093,-,343043,-,326575,-,376745,-,434948,-,424173,-,842642,-
1,2,0,0,0,預貯金引出,359643,-,4.5,267661,-,266508,-,282177,-,306763,-,366259,-,353495,-,669833,-
1,2,0,0,0,保険金,6122,-,-13.4,2133,-,16790,-,12802,-,10877,-,-,-,-,-,-,-
1,3,0,0,0,個人・企業年金保険金,6122,-,65.1,2133,-,16790,-,12802,-,10877,-,-,-,-,-,-,-
1,3,0,0,0,他の保険金,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,分割払購入借入金,2920,-,105.9,30,-,2,-,-,-,113,-,78,-,5,-,19948,-
1,2,0,0,0,一括払購入借入金,69910,-,21.6,46269,-,59557,-,31579,-,58910,-,68573,-,70628,-,152192,-
1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,150,-,-58.1,-,-,185,-,18,-,82,-,38,-,45,-,669,-
1,1,0,0,0,繰入金,114201,-,64.9,57565,-,74094,-,97769,-,58407,-,136750,-,104079,-,267999,-
