項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,1252,-,973,-,1540,-,1731,-,1407,-,1195,-,1064,-,836,-
0,0,0,0,0,調査世帯数,359,-,43,-,38,-,55,-,63,-,51,-,41,-,38,-,30,-
0,0,0,0,0,世帯人員,3.37,-,3.13,-,3.9,-,3.89,-,3.7,-,3.58,-,3.05,-,2.78,-,2.34,-
0,0,0,0,0,有業人員,1.68,-,1.61,-,1.45,-,1.53,-,1.55,-,1.91,-,2,-,1.87,-,1.54,-
0,0,0,0,0,世帯主平均年齢,48.6,-,30.7,-,37,-,42,-,46.8,-,52.2,-,56.8,-,62,-,69.5,-
1,0,0,0,0,受取,1107451,-,886807,-,1215502,-,1215868,-,1132093,-,1261174,-,1070815,-,979065,-,1018630,-
1,1,0,0,0,実収入,554506,100,465941,100,540096,100,552454,100,553360,100,685742,100,597287,100,447341,100,564437,100
1,2,0,0,0,経常収入,550650,99.3,461099,99,537362,99.5,545295,98.7,550079,99.4,681602,99.4,594978,99.6,445089,99.5,561870,99.5
1,3,0,0,0,勤め先収入,489250,88.2,429030,92.1,464871,86.1,507339,91.8,519878,93.9,667081,97.3,583817,97.7,335195,74.9,272769,48.3
1,4,0,0,0,世帯主収入,425670,76.8,369101,79.2,400496,74.2,437112,79.1,435210,78.6,572301,83.5,533499,89.3,308210,68.9,247506,43.9
1,6,0,0,0,うち男,397090,71.6,343657,73.8,400496,74.2,437112,79.1,408965,73.9,493635,72,466312,78.1,298795,66.8,238595,42.3
1,5,0,0,0,定期収入,419618,75.7,364725,78.3,379072,70.2,434385,78.6,429671,77.6,568948,83,520786,87.2,307910,68.8,247304,43.8
1,5,0,0,0,臨時収入,4464,0.8,4067,0.9,5498,1,2727,0.5,5540,1,3352,0.5,12712,2.1,300,0.1,202,0
1,5,0,0,0,賞与,1589,0.3,309,0.1,15926,2.9,-,-,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,57612,10.4,58562,12.6,64375,11.9,70227,12.7,81627,14.8,69061,10.1,43521,7.3,24469,5.5,18451,3.3
1,6,0,0,0,うち女,56543,10.2,58562,12.6,64375,11.9,70227,12.7,81627,14.8,61463,9,43521,7.3,24469,5.5,18451,3.3
1,4,0,0,0,他の世帯員収入,5968,1.1,1367,0.3,-,-,-,-,3041,0.5,25719,3.8,6797,1.1,2516,0.6,6812,1.2
1,3,0,0,0,事業・内職収入,6919,1.2,2298,0.5,6547,1.2,-,-,2622,0.5,5851,0.9,6480,1.1,35080,7.8,2488,0.4
1,4,0,0,0,家賃収入,4194,0.8,-,-,-,-,-,-,1343,0.2,5851,0.9,1258,0.2,28070,6.3,-,-
1,4,0,0,0,他の事業収入,2234,0.4,-,-,6547,1.2,-,-,672,0.1,-,-,5222,0.9,7010,1.6,1318,0.2
1,4,0,0,0,内職収入,491,0.1,2298,0.5,-,-,-,-,608,0.1,-,-,-,-,-,-,1170,0.2
1,3,0,0,0,他の経常収入,54482,9.8,29772,6.4,65944,12.2,37956,6.9,27578,5,8671,1.3,4681,0.8,74814,16.7,286613,50.8
1,4,0,0,0,財産収入,2078,0.4,-,-,-,-,-,-,-,-,-,-,-,-,19506,4.4,27,0
1,4,0,0,0,社会保障給付,52225,9.4,29772,6.4,65944,12.2,37956,6.9,27578,5,8671,1.3,3192,0.5,55309,12.4,286586,50.8
1,5,0,0,0,公的年金給付,31093,5.6,-,-,-,-,977,0.2,4024,0.7,3003,0.4,1915,0.3,53258,11.9,286038,50.7
1,5,0,0,0,他の社会保障給付,21132,3.8,29772,6.4,65944,12.2,36979,6.7,23554,4.3,5668,0.8,1277,0.2,2050,0.5,547,0.1
1,4,0,0,0,仕送り金,178,0,-,-,-,-,-,-,-,-,-,-,1490,0.2,-,-,-,-
1,2,0,0,0,特別収入,3855,0.7,4842,1,2734,0.5,7158,1.3,3281,0.6,4140,0.6,2308,0.4,2252,0.5,2568,0.5
1,3,0,0,0,受贈金,2337,0.4,4679,1,1800,0.3,4133,0.7,1107,0.2,3487,0.5,827,0.1,907,0.2,741,0.1
1,3,0,0,0,他の特別収入,1518,0.3,163,0,933,0.2,3025,0.5,2174,0.4,652,0.1,1482,0.2,1344,0.3,1827,0.3
1,1,0,0,0,実収入以外の受取(繰入金を除く),438745,-,375171,-,362835,-,546376,-,488206,-,469828,-,366262,-,455104,-,352259,-
1,2,0,0,0,預貯金引出,359643,-,290253,-,304229,-,475404,-,415904,-,379444,-,300846,-,328498,-,288855,-
1,2,0,0,0,保険金,6122,-,-,-,-,-,-,-,-,-,-,-,-,-,43745,-,17525,-
1,3,0,0,0,個人・企業年金保険金,6122,-,-,-,-,-,-,-,-,-,-,-,-,-,43745,-,17525,-
1,3,0,0,0,他の保険金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,分割払購入借入金,2920,-,7,-,116,-,105,-,2707,-,678,-,35,-,21826,-,-,-
1,2,0,0,0,一括払購入借入金,69910,-,84847,-,58384,-,70858,-,69558,-,89018,-,65381,-,60780,-,45879,-
1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,150,-,63,-,106,-,10,-,37,-,688,-,-,-,254,-,-,-
1,1,0,0,0,繰入金,114201,-,45696,-,312571,-,117037,-,90527,-,105604,-,107266,-,76620,-,101934,-
2,0,0,0,0,支払,1107451,-,886807,-,1215502,-,1215868,-,1132093,-,1261174,-,1070815,-,979065,-,1018630,-
2,1,0,0,0,実支出,448581,-,380354,-,348893,-,408614,-,521485,-,601481,-,434176,-,402979,-,410763,-
2,2,0,0,0,生計支出,348258,-,290151,-,276025,-,311311,-,410390,-,451034,-,334834,-,329834,-,328433,-
2,3,0,0,0,消費支出,348258,100,290151,100,276025,100,311311,100,410390,100,451034,100,334834,100,329834,100,328433,100
2,4,1,0,0,食料,88580,25.4,64109,22.1,81835,29.6,86786,27.9,95168,23.2,98879,21.9,99084,29.6,90593,27.5,87835,26.7
2,5,1,1,0,穀類,6471,1.9,4344,1.5,6011,2.2,6035,1.9,6731,1.6,7924,1.8,6944,2.1,6831,2.1,6878,2.1
2,6,1,1,1,米類,1844,0.5,885,0.3,1190,0.4,1600,0.5,1817,0.4,2608,0.6,1801,0.5,2395,0.7,2626,0.8
