項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,4211,-,2815,-,2111,-,862,-
0,0,0,0,0,調査世帯数,731,-,311,-,201,-,158,-,61,-
0,0,0,0,0,世帯人員,2.99,-,2,-,3,-,4,-,5.27,-
0,0,0,0,0,有業人員,1.31,-,0.78,-,1.61,-,1.73,-,1.88,-
0,0,0,0,0,世帯主平均年齢,59.4,-,69.1,-,55.7,-,48.2,-,51.2,-
2,2,0,0,0,生計支出,305138,-,273614,-,293391,-,372793,-,331793,-
2,3,0,0,0,消費支出,305138,100,273614,100,293391,100,372793,100,331793,100
2,4,1,0,0,食料,80920,26.5,73024,26.7,81885,27.9,90428,24.3,93054,28
2,5,1,1,0,穀類,6121,2,5201,1.9,6325,2.2,6718,1.8,8484,2.6
2,6,1,1,1,米類,1936,0.6,1559,0.6,1947,0.7,2193,0.6,3109,0.9
2,6,1,1,2,パン,2510,0.8,2124,0.8,2715,0.9,2830,0.8,2947,0.9
2,6,1,1,3,麺類,1148,0.4,968,0.4,1192,0.4,1220,0.3,1703,0.5
2,6,1,1,4,他の穀類,527,0.2,550,0.2,472,0.2,475,0.1,725,0.2
2,5,1,2,0,魚介類,6099,2,6237,2.3,5880,2,5879,1.6,6680,2
2,6,1,2,1,生鮮魚介,3734,1.2,3757,1.4,3454,1.2,3911,1,4106,1.2
2,6,1,2,2,塩干魚介,1078,0.4,1118,0.4,1124,0.4,912,0.2,1138,0.3
2,6,1,2,3,魚肉練製品,458,0.2,477,0.2,481,0.2,399,0.1,431,0.1
2,6,1,2,4,他の魚介加工品,829,0.3,885,0.3,821,0.3,657,0.2,1005,0.3
2,5,1,3,0,肉類,6947,2.3,5352,2,6861,2.3,8788,2.4,10514,3.2
2,6,1,3,1,生鮮肉,5571,1.8,4323,1.6,5379,1.8,7218,1.9,8262,2.5
2,6,1,3,2,加工肉,1376,0.5,1029,0.4,1481,0.5,1570,0.4,2252,0.7
2,5,1,4,0,乳卵類,4319,1.4,3826,1.4,4436,1.5,4611,1.2,5634,1.7
2,6,1,4,1,牛乳,1473,0.5,1254,0.5,1404,0.5,1654,0.4,2324,0.7
