項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）,,,,,,,
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,,,,,,,
0,調査世帯数,742,-,-,105,-,105,-,110,-,107,-,107,-,106,-,102,-,,,,,,,
0,世帯人員,2.95,-,-,2.7,-,2.6,-,2.93,-,3.03,-,3.14,-,3.09,-,3.14,-,,,,,,,
0,有業人員,1.27,-,-,1.11,-,0.93,-,1.35,-,1.36,-,1.46,-,1.29,-,1.37,-,,,,,,,
0,世帯主平均年齢,59.1,-,-,64.6,-,64.6,-,60,-,57.1,-,54.6,-,57.6,-,55.2,-,,,,,,,
0,消費支出,312783,100,-0.7,101705,100,167296,100,214002,100,263763,100,318443,100,397851,100,724670,100,,,,,,,
2,基礎的支出,174370,55.7,-0.1,77318,76,114853,68.7,133479,62.4,150259,57,179501,56.4,209705,52.7,354705,48.9,,,,,,,
3,選択的支出,138413,44.3,-1.4,24387,24,52444,31.3,80523,37.6,113504,43,138942,43.6,188146,47.3,369965,51.1,,,,,,,
1,食料,86118,27.5,-0.9,52531,51.7,65857,39.4,79818,37.3,83455,31.6,94184,29.6,101218,25.4,125521,17.3,,,,,,,
2,基礎的支出,66701,21.3,1.5,45207,44.4,56206,33.6,64561,30.2,64668,24.5,72160,22.7,75070,18.9,88884,12.3,,,,,,,
3,選択的支出,19418,6.2,-8.5,7324,7.2,9651,5.8,15257,7.1,18788,7.1,22024,6.9,26148,6.6,36637,5.1,,,,,,,
1,住居,28302,9,-2.7,2284,2.2,5536,3.3,10016,4.7,20089,7.6,25309,7.9,37954,9.5,96681,13.3,,,,,,,
2,基礎的支出,26215,8.4,-0.6,2284,2.2,5536,3.3,8918,4.2,19646,7.4,24980,7.8,32220,8.1,89715,12.4,,,,,,,
3,選択的支出,2087,0.7,-23.2,-,-,-,-,1098,0.5,443,0.2,329,0.1,5733,1.4,6966,1,,,,,,,
1,光熱・水道,17374,5.6,2.9,11159,11,15743,9.4,16112,7.5,16494,6.3,19423,6.1,22978,5.8,19674,2.7,,,,,,,
2,基礎的支出,17374,5.6,2.9,11159,11,15743,9.4,16112,7.5,16494,6.3,19423,6.1,22978,5.8,19674,2.7,,,,,,,
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
1,家具・家事用品,12859,4.1,5.2,3350,3.3,5498,3.3,8899,4.2,7921,3,10100,3.2,13275,3.3,40870,5.6,,,,,,,
2,基礎的支出,8339,2.7,6.3,2799,2.8,3669,2.2,6084,2.8,5564,2.1,6411,2,7856,2,25929,3.6,,,,,,,
3,選択的支出,4520,1.4,3.3,550,0.5,1829,1.1,2815,1.3,2357,0.9,3689,1.2,5419,1.4,14941,2.1,,,,,,,
1,被服及び履物,17322,5.5,3.6,3217,3.2,8547,5.1,10464,4.9,15876,6,16056,5,22751,5.7,44236,6.1,,,,,,,
2,基礎的支出,1132,0.4,20,392,0.4,641,0.4,886,0.4,1301,0.5,1162,0.4,1214,0.3,2320,0.3,,,,,,,
3,選択的支出,16191,5.2,2.6,2826,2.8,7906,4.7,9577,4.5,14575,5.5,14894,4.7,21537,5.4,41915,5.8,,,,,,,
1,保健医療,16810,5.4,-4.6,4683,4.6,10628,6.4,12582,5.9,12071,4.6,14918,4.7,17258,4.3,45427,6.3,,,,,,,
2,基礎的支出,13798,4.4,-6,4216,4.1,9260,5.5,10586,4.9,8793,3.3,11384,3.6,14363,3.6,37894,5.2,,,,,,,
3,選択的支出,3012,1,2.3,468,0.5,1368,0.8,1997,0.9,3278,1.2,3534,1.1,2895,0.7,7533,1,,,,,,,
1,交通・通信,33399,10.7,-7.5,7554,7.4,14520,8.7,20291,9.5,28013,10.6,32798,10.3,48503,12.2,81888,11.3,,,,,,,
2,基礎的支出,11114,3.6,-4.6,3124,3.1,6205,3.7,7509,3.5,9763,3.7,12129,3.8,15204,3.8,23806,3.3,,,,,,,
3,選択的支出,22285,7.1,-8.8,4431,4.4,8314,5,12781,6,18249,6.9,20669,6.5,33300,8.4,58081,8,,,,,,,
1,教育,12503,4,-10.2,605,0.6,1782,1.1,5020,2.3,9100,3.5,11880,3.7,18508,4.7,40514,5.6,,,,,,,
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,
3,選択的支出,12503,4,-10.2,605,0.6,1782,1.1,5020,2.3,9100,3.5,11880,3.7,18508,4.7,40514,5.6,,,,,,,
1,教養娯楽,37647,12,-5.1,8151,8,18441,11,22331,10.4,28795,10.9,38031,11.9,48835,12.3,98700,13.6,,,,,,,
2,基礎的支出,6213,2,-6.5,3190,3.1,5169,3.1,5641,2.6,5871,2.2,6986,2.2,8324,2.1,8289,1.1,,,,,,,
3,選択的支出,31434,10,-4.8,4961,4.9,13272,7.9,16690,7.8,22924,8.7,31045,9.7,40511,10.2,90411,12.5,,,,,,,
1,その他の消費支出,50448,16.1,10,8172,8,20745,12.4,28468,13.3,41949,15.9,55745,17.5,66572,16.7,131160,18.1,,,,,,,
2,基礎的支出,23485,7.5,-1.8,4949,4.9,12422,7.4,13182,6.2,18160,6.9,24866,7.8,32477,8.2,58193,8,,,,,,,
3,選択的支出,26963,8.6,22.9,3223,3.2,8322,5,15286,7.1,23790,9,30879,9.7,34095,8.6,72967,10.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成28年11月,,,,,,,,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
