項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,655,-,602,-,1024,-,833,-,912,-,784,-,1028,-,4162,-,1804,-
0,0,0,0,0,調査世帯数,729,-,45,-,44,-,80,-,66,-,68,-,57,-,72,-,297,-,130,-
0,0,0,0,0,世帯人員,3.02,-,3.22,-,3.51,-,3.94,-,3.51,-,3.56,-,3.12,-,3.14,-,2.42,-,2.28,-
0,0,0,0,0,有業人員,1.34,-,1.64,-,1.48,-,1.55,-,1.46,-,1.64,-,1.74,-,1.93,-,0.9,-,0.7,-
0,0,0,0,0,世帯主平均年齢,58.9,-,30.8,-,37,-,42.1,-,46.9,-,51.8,-,56.8,-,62.1,-,74.1,-,80.3,-
2,2,0,0,0,生計支出,305432,-,261188,-,286421,-,296383,-,337710,-,403663,-,503194,-,314680,-,249846,-,211804,-
2,3,0,0,0,消費支出,305432,100,261188,100,286421,100,296383,100,337710,100,403663,100,503194,100,314680,100,249846,100,211804,100
2,4,1,0,0,食料,81368,26.6,62189,23.8,75188,26.3,81517,27.5,96485,28.6,92346,22.9,93458,18.6,95334,30.3,74085,29.7,67391,31.8
2,5,1,1,0,穀類,6503,2.1,4685,1.8,5214,1.8,7021,2.4,7561,2.2,7340,1.8,6815,1.4,6804,2.2,6320,2.5,5700,2.7
2,6,1,1,1,米類,1973,0.6,1107,0.4,1204,0.4,1759,0.6,2324,0.7,1873,0.5,1918,0.4,1953,0.6,2239,0.9,2085,1
2,6,1,1,2,パン,2740,0.9,2237,0.9,2261,0.8,3295,1.1,3155,0.9,3143,0.8,3250,0.6,2908,0.9,2444,1,2254,1.1
2,6,1,1,3,麺類,1389,0.5,1010,0.4,1030,0.4,1532,0.5,1575,0.5,1904,0.5,1213,0.2,1586,0.5,1300,0.5,1128,0.5
2,6,1,1,4,他の穀類,401,0.1,331,0.1,718,0.3,435,0.1,507,0.2,420,0.1,435,0.1,357,0.1,337,0.1,233,0.1
2,5,1,2,0,魚介類,6936,2.3,3151,1.2,4184,1.5,4256,1.4,6270,1.9,6320,1.6,6381,1.3,9303,3,8376,3.4,8113,3.8
2,6,1,2,1,生鮮魚介,4294,1.4,2031,0.8,2536,0.9,2403,0.8,3906,1.2,4049,1,4034,0.8,6231,2,5072,2,4679,2.2
2,6,1,2,2,塩干魚介,1215,0.4,532,0.2,675,0.2,814,0.3,1012,0.3,994,0.2,966,0.2,1438,0.5,1581,0.6,1693,0.8
2,6,1,2,3,魚肉練製品,551,0.2,172,0.1,366,0.1,424,0.1,642,0.2,473,0.1,416,0.1,533,0.2,696,0.3,653,0.3
2,6,1,2,4,他の魚介加工品,876,0.3,416,0.2,607,0.2,615,0.2,710,0.2,804,0.2,965,0.2,1101,0.3,1028,0.4,1089,0.5
2,5,1,3,0,肉類,7532,2.5,5983,2.3,5921,2.1,7065,2.4,9705,2.9,9776,2.4,7651,1.5,9799,3.1,6615,2.6,5817,2.7
2,6,1,3,1,生鮮肉,6154,2,5096,2,4710,1.6,5587,1.9,7910,2.3,7936,2,6284,1.2,8067,2.6,5429,2.2,4798,2.3
2,6,1,3,2,加工肉,1379,0.5,887,0.3,1211,0.4,1478,0.5,1795,0.5,1840,0.5,1367,0.3,1732,0.6,1186,0.5,1019,0.5
2,5,1,4,0,乳卵類,4301,1.4,2965,1.1,4740,1.7,5075,1.7,4841,1.4,4978,1.2,4749,0.9,4511,1.4,3865,1.5,3534,1.7
2,6,1,4,1,牛乳,1303,0.4,702,0.3,1272,0.4,1519,0.5,1445,0.4,1521,0.4,1027,0.2,1438,0.5,1292,0.5,1225,0.6
2,6,1,4,2,乳製品,2213,0.7,1720,0.7,2749,1,2735,0.9,2561,0.8,2474,0.6,2977,0.6,2202,0.7,1815,0.7,1614,0.8
2,6,1,4,3,卵,785,0.3,543,0.2,718,0.3,821,0.3,835,0.2,983,0.2,746,0.1,871,0.3,757,0.3,695,0.3
2,5,1,5,0,野菜・海藻,9763,3.2,5629,2.2,6458,2.3,7866,2.7,9851,2.9,10659,2.6,10226,2,11298,3.6,10676,4.3,10629,5
2,6,1,5,1,生鮮野菜,6607,2.2,3800,1.5,4653,1.6,5485,1.9,6640,2,7378,1.8,7046,1.4,7644,2.4,7092,2.8,7155,3.4
2,6,1,5,2,乾物・海藻,767,0.3,414,0.2,530,0.2,656,0.2,882,0.3,791,0.2,797,0.2,728,0.2,860,0.3,847,0.4
2,6,1,5,3,大豆加工品,1207,0.4,758,0.3,787,0.3,982,0.3,1296,0.4,1298,0.3,1128,0.2,1406,0.4,1322,0.5,1287,0.6
2,6,1,5,4,他の野菜・海藻加工品,1181,0.4,657,0.3,488,0.2,743,0.3,1033,0.3,1191,0.3,1255,0.2,1520,0.5,1402,0.6,1339,0.6
