区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,729,-,-,97,-,98,-,114,-,103,-,102,-,107,-,108,-
0,0,世帯人員,3,-,-,2.57,-,2.98,-,2.78,-,2.99,-,3.35,-,3.22,-,3.11,-
0,0,有業人員,1.31,-,-,1.06,-,1.25,-,1.15,-,1.21,-,1.47,-,1.5,-,1.53,-
0,0,世帯主平均年齢,58.6,-,-,63.2,-,60.2,-,61.4,-,58.6,-,54.7,-,54.9,-,57.4,-
0,0,消費支出,311109,100,-2.8,106277,100,165946,100,208947,100,255160,100,312019,100,388223,100,737585,100
1,0,商品,161645,52,-5.7,79858,75.1,111856,67.4,121632,58.2,149688,58.7,175704,56.3,193786,49.9,297711,40.4
1,1,耐久財,16178,5.2,13.4,917,0.9,2398,1.4,3223,1.5,9258,3.6,8791,2.8,10275,2.6,77938,10.6
1,2,半耐久財,24767,8,-15.8,4523,4.3,10284,6.2,15330,7.3,17977,7,26487,8.5,38360,9.9,60090,8.1
1,3,非耐久財,120700,38.8,-5.5,74419,70,99175,59.8,103078,49.3,122453,48,140426,45,145150,37.4,159683,21.6
1,0,サービス,149464,48,0.6,26419,24.9,54091,32.6,87315,41.8,105472,41.3,136316,43.7,194438,50.1,439874,59.6
2,0,食料,92627,29.8,-0.1,53489,50.3,71967,43.4,76323,36.5,85360,33.5,102837,33,119548,30.8,138364,18.8
2,3,非耐久財,72047,23.2,1.5,46997,44.2,61259,36.9,62601,30,71623,28.1,83151,26.6,84593,21.8,93815,12.7
2,4,サービス,20580,6.6,-5.3,6492,6.1,10708,6.5,13722,6.6,13738,5.4,19686,6.3,34955,9,44548,6
2,0,住居,24302,7.8,-3.2,3726,3.5,7727,4.7,17181,8.2,23510,9.2,27132,8.7,24678,6.4,65819,8.9
2,1,耐久財,2979,1,-17.2,-,-,-,-,-,-,1964,0.8,-,-,1558,0.4,17238,2.3
2,2,半耐久財,207,0.1,51.1,48,0,102,0.1,564,0.3,120,0,54,0,110,0,450,0.1
2,4,サービス,21116,6.8,-1.1,3678,3.5,7625,4.6,16616,8,21426,8.4,27077,8.7,23010,5.9,48131,6.5
2,0,光熱・水道（非耐久財）,27113,8.7,-17.2,16884,15.9,23882,14.4,24113,11.5,29920,11.7,31139,10,32602,8.4,31169,4.2
2,0,家具・家事用品,11758,3.8,1.1,3437,3.2,5251,3.2,6318,3,7776,3,10294,3.3,13935,3.6,35109,4.8
2,1,耐久財,4789,1.5,10.1,390,0.4,955,0.6,1636,0.8,1865,0.7,3109,1,4905,1.3,20546,2.8
2,2,半耐久財,3599,1.2,-2.8,1161,1.1,1770,1.1,2208,1.1,2420,0.9,3593,1.2,3905,1,10084,1.4
2,3,非耐久財,2636,0.8,3.8,1595,1.5,2175,1.3,2228,1.1,2994,1.2,3242,1,2973,0.8,3233,0.4
2,4,サービス,734,0.2,-29.4,291,0.3,351,0.2,246,0.1,497,0.2,349,0.1,2152,0.6,1246,0.2
2,0,被服及び履物,14676,4.7,-19.7,2632,2.5,5549,3.3,8564,4.1,10329,4,17522,5.6,24057,6.2,33893,4.6
2,2,半耐久財,13455,4.3,-21,2226,2.1,5137,3.1,8125,3.9,9716,3.8,15356,4.9,21865,5.6,31586,4.3
2,4,サービス,1222,0.4,-1.9,406,0.4,412,0.2,439,0.2,613,0.2,2166,0.7,2192,0.6,2307,0.3
2,0,保健医療,16638,5.3,-11,5197,4.9,8113,4.9,9816,4.7,16401,6.4,16457,5.3,19479,5,40803,5.5
2,1,耐久財,1640,0.5,88.1,-,-,19,0,555,0.3,1500,0.6,2211,0.7,2057,0.5,5106,0.7
2,2,半耐久財,267,0.1,-55.8,341,0.3,435,0.3,63,0,121,0,268,0.1,362,0.1,275,0
2,3,非耐久財,5091,1.6,-7,2520,2.4,3753,2.3,4006,1.9,5427,2.1,6281,2,5836,1.5,7783,1.1
2,4,サービス,9640,3.1,-17.9,2336,2.2,3906,2.4,5192,2.5,9353,3.7,7696,2.5,11224,2.9,27639,3.7
2,0,交通・通信,33564,10.8,-5.8,6977,6.6,13219,8,19923,9.5,27112,10.6,36738,11.8,46469,12,84065,11.4
2,1,耐久財,2344,0.8,-13.1,327,0.3,573,0.3,653,0.3,1151,0.5,694,0.2,469,0.1,12468,1.7
2,2,半耐久財,1029,0.3,75,138,0.1,129,0.1,1276,0.6,893,0.3,401,0.1,1850,0.5,2512,0.3
2,3,非耐久財,1627,0.5,-24.6,828,0.8,546,0.3,934,0.4,1383,0.5,1567,0.5,2728,0.7,3392,0.5
2,4,サービス,28564,9.2,-5.4,5684,5.3,11972,7.2,17061,8.2,23685,9.3,34076,10.9,41422,10.7,65694,8.9
2,0,教育,23978,7.7,24.7,106,0.1,2746,1.7,4707,2.3,5227,2,8031,2.6,17230,4.4,129055,17.5
2,3,非耐久財,616,0.2,-21.6,-,-,11,0,87,0,668,0.3,725,0.2,1518,0.4,1299,0.2
2,4,サービス,23362,7.5,26.7,106,0.1,2735,1.6,4620,2.2,4559,1.8,7306,2.3,15713,4,127756,17.3
2,0,教養娯楽,40391,13,-0.4,7796,7.3,15004,9,22698,10.9,31424,12.3,37393,12,56731,14.6,111114,15.1
2,1,耐久財,2702,0.9,13.5,13,0,701,0.4,250,0.1,2572,1,1009,0.3,1055,0.3,13241,1.8
2,2,半耐久財,3760,1.2,-23,387,0.4,1566,0.9,1230,0.6,3393,1.3,4222,1.4,7308,1.9,8165,1.1
2,3,非耐久財,6433,2.1,-5.3,3648,3.4,4376,2.6,5588,2.7,6682,2.6,7404,2.4,7483,1.9,9815,1.3
2,4,サービス,27497,8.8,3.8,3749,3.5,8361,5,15630,7.5,18777,7.4,24758,7.9,40885,10.5,79893,10.8
2,0,諸雑費,26062,8.4,2.6,6033,5.7,12488,7.5,19304,9.2,18100,7.1,24476,7.8,33494,8.6,68195,9.2
2,1,耐久財,1724,0.6,365.9,187,0.2,151,0.1,129,0.1,207,0.1,1768,0.6,230,0.1,9339,1.3
2,2,半耐久財,2451,0.8,-0.8,221,0.2,1144,0.7,1864,0.9,1313,0.5,2593,0.8,2961,0.8,7018,1
