区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,729,-,-,101,-,103,-,107,-,103,-,108,-,105,-,102,-
0,0,世帯人員,2.94,-,-,2.63,-,2.78,-,2.94,-,2.75,-,3.13,-,3.1,-,3.27,-
0,0,有業人員,1.29,-,-,1.05,-,1.13,-,1.12,-,1.19,-,1.61,-,1.47,-,1.43,-
0,0,世帯主平均年齢,59.2,-,-,64.1,-,62,-,59.4,-,60.2,-,56.9,-,56.4,-,55.6,-
0,0,消費支出,325790,100,1.8,109688,100,189030,100,238878,100,276019,100,331826,100,412486,100,717591,100
1,0,商品,181783,55.8,-0.6,84583,77.1,128132,67.8,146058,61.1,169003,61.2,193460,58.3,228693,55.4,320846,44.7
1,1,耐久財,14092,4.3,-4.7,798,0.7,2166,1.1,5552,2.3,6187,2.2,12501,3.8,20921,5.1,50050,7
1,2,半耐久財,32055,9.8,2.5,7179,6.5,13944,7.4,17612,7.4,24677,8.9,37749,11.4,44116,10.7,78587,11
1,3,非耐久財,135635,41.6,-0.8,76606,69.8,112022,59.3,122895,51.4,138139,50,143209,43.2,163656,39.7,192209,26.8
1,0,サービス,144008,44.2,5,25105,22.9,60898,32.2,92820,38.9,107016,38.8,138366,41.7,183793,44.6,396746,55.3
2,0,食料,110265,33.8,-1.9,59895,54.6,86334,45.7,98601,41.3,111002,40.2,118934,35.8,133917,32.5,162523,22.6
2,3,非耐久財,89623,27.5,-2.5,54300,49.5,75714,40.1,83540,35,90263,32.7,95388,28.7,106924,25.9,120839,16.8
2,4,サービス,20642,6.3,0.8,5595,5.1,10620,5.6,15061,6.3,20740,7.5,23545,7.1,26992,6.5,41684,5.8
2,0,住居,27236,8.4,-15.3,2736,2.5,10486,5.5,20485,8.6,17746,6.4,18259,5.5,29305,7.1,90716,12.6
2,1,耐久財,931,0.3,-82.9,-,-,613,0.3,165,0.1,1722,0.6,187,0.1,71,0,3721,0.5
2,2,半耐久財,311,0.1,-4.9,115,0.1,131,0.1,402,0.2,86,0,793,0.2,284,0.1,366,0.1
2,4,サービス,25995,8,-1.5,2621,2.4,9742,5.2,19919,8.3,15938,5.8,17279,5.2,28950,7,86629,12.1
2,0,光熱・水道（非耐久財）,20319,6.2,4.9,12708,11.6,19443,10.3,19580,8.2,19371,7,19947,6,24461,5.9,26632,3.7
2,0,家具・家事用品,15316,4.7,12.6,4451,4.1,6166,3.3,8957,3.7,12082,4.4,13033,3.9,17458,4.2,44678,6.2
2,1,耐久財,5454,1.7,5.1,522,0.5,670,0.4,2577,1.1,2667,1,3300,1,5668,1.4,22536,3.1
2,2,半耐久財,5458,1.7,28.5,1498,1.4,2545,1.3,3279,1.4,5090,1.8,5552,1.7,6930,1.7,13216,1.8
2,3,非耐久財,3345,1,-0.3,1949,1.8,2631,1.4,2587,1.1,3793,1.4,3739,1.1,4008,1,4694,0.7
2,4,サービス,1060,0.3,31.7,482,0.4,319,0.2,513,0.2,531,0.2,443,0.1,852,0.2,4232,0.6
2,0,被服及び履物,16811,5.2,-4.2,3702,3.4,7029,3.7,8730,3.7,13767,5,21345,6.4,25347,6.1,37544,5.2
2,2,半耐久財,15769,4.8,-5.1,3648,3.3,6863,3.6,8383,3.5,13242,4.8,20589,6.2,23232,5.6,34245,4.8
2,4,サービス,1042,0.3,13.3,54,0,166,0.1,348,0.1,525,0.2,756,0.2,2116,0.5,3299,0.5
2,0,保健医療,15071,4.6,-12.8,4642,4.2,9464,5,10796,4.5,12870,4.7,15886,4.8,21145,5.1,30503,4.3
2,1,耐久財,998,0.3,15.4,1,0,646,0.3,980,0.4,204,0.1,505,0.2,3077,0.7,1554,0.2
2,2,半耐久財,619,0.2,-21.2,25,0,349,0.2,305,0.1,70,0,655,0.2,265,0.1,2638,0.4
2,3,非耐久財,5470,1.7,1.2,2149,2,4539,2.4,5307,2.2,5518,2,5945,1.8,7247,1.8,7554,1.1
2,4,サービス,7985,2.5,-22,2466,2.2,3930,2.1,4204,1.8,7078,2.6,8781,2.6,10556,2.6,18757,2.6
2,0,交通・通信,34325,10.5,20.3,6915,6.3,16710,8.8,22645,9.5,27801,10.1,37996,11.5,43227,10.5,84373,11.8
2,1,耐久財,3832,1.2,396.4,-,-,56,0,120,0.1,582,0.2,3148,0.9,4163,1,18575,2.6
2,2,半耐久財,863,0.3,-34.7,56,0.1,352,0.2,577,0.2,500,0.2,991,0.3,1566,0.4,1984,0.3
2,3,非耐久財,1949,0.6,9.1,495,0.5,1018,0.5,1425,0.6,2068,0.7,2029,0.6,2185,0.5,4395,0.6
2,4,サービス,27680,8.5,12.2,6364,5.8,15284,8.1,20524,8.6,24651,8.9,31828,9.6,35313,8.6,59419,8.3
2,0,教育,16136,5,19.6,416,0.4,4146,2.2,3865,1.6,5659,2.1,12337,3.7,20760,5,65152,9.1
2,3,非耐久財,99,0,-29.3,18,0,-,-,61,0,60,0,309,0.1,128,0,118,0
2,4,サービス,16037,4.9,20.2,398,0.4,4146,2.2,3804,1.6,5598,2,12028,3.6,20632,5,65034,9.1
2,0,教養娯楽,41270,12.7,2.1,9544,8.7,17535,9.3,27324,11.4,32640,11.8,47117,14.2,61867,15,92236,12.9
2,1,耐久財,2338,0.7,15.8,82,0.1,166,0.1,1615,0.7,471,0.2,4365,1.3,7426,1.8,2250,0.3
2,2,半耐久財,5935,1.8,10.9,1409,1.3,2932,1.6,3043,1.3,4722,1.7,6917,2.1,9425,2.3,13021,1.8
2,3,非耐久財,8461,2.6,-8.4,3678,3.4,5471,2.9,6482,2.7,9545,3.5,8809,2.7,11174,2.7,13998,2
2,4,サービス,24536,7.5,3,4375,4,8966,4.7,16183,6.8,17902,6.5,27027,8.1,33842,8.2,62968,8.8
2,0,諸雑費,29041,8.9,15.9,4679,4.3,11717,6.2,17894,7.5,23081,8.4,26972,8.1,34999,8.5,83233,11.6
2,1,耐久財,539,0.2,6.9,193,0.2,14,0,95,0,540,0.2,997,0.3,516,0.1,1415,0.2
2,2,半耐久財,3101,1,18.1,429,0.4,772,0.4,1623,0.7,967,0.4,2253,0.7,2414,0.6,13116,1.8
2,3,非耐久財,6370,2,15.3,1309,1.2,3206,1.7,3913,1.6,7522,2.7,7042,2.1,7530,1.8,13979,1.9
2,4,サービス,19031,5.8,16,2749,2.5,7724,4.1,12263,5.1,14052,5.1,16680,5,24539,5.9,54723,7.6
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成28年12月,,,,,,,,,,,,,,,,,,,
第１６表　生計支出７分位階層別１世帯当たり１か月間の財・サービス別支出　―全世帯―,,,,,,,,,,,,,,,,,,,
注１）財・サービス別結果は、品目分類を再分類して集計した。,,,,,,,,,,,,,,,,,,,
注２）消費支出には、「こづかい」、「贈与金」、「他の交際費」及び「仕送り金」は含まれていない。,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等・消費支出等　1：耐久財　2：半耐久財　3：非耐久財　4：サービス）,,,,,,,,,,,,,,,,,,,
