名称,所在地,緯度,経度,電話
豊玉北地区区民館,練馬区豊玉北3-7-9,35.73269549,139.6613631,03-3948-3061
桜台地区区民館,練馬区桜台3-39-17,35.74598818,139.663162,03-3993-5461
貫井地区区民館,練馬区貫井1-9-1,35.73802913,139.6355571,03-3926-7217
氷川台地区区民館,練馬区氷川台2-16-14,35.75701154,139.6672888,03-3932-3656
早宮地区区民館,練馬区早宮4-14-5,35.75076618,139.6512647,03-3994-7961
春日町南地区区民館,練馬区春日町5-20-25,35.74772032,139.6385032,03-3926-4971
高松地区区民館,練馬区高松3-24-27,35.7500836,139.6251098,03-3999-7911
旭町南地区区民館,練馬区高松5-23-15,35.76288398,139.6250079,03-3904-5191
北町地区区民館,練馬区北町2-26-1,35.76746928,139.6602533,03-3937-1931
北町第二地区区民館,練馬区北町6-24-101,35.76122397,139.6554531,03-3931-1270
田柄地区区民館,練馬区田柄 3-28-13,35.76210545,139.6372168,03-3926-4932
光が丘地区区民館,練馬区光が丘 3-9-4,35.75795714,139.6255706,03-3979-6911
旭町北地区区民館,練馬区旭町2-30-16,35.77327014,139.6287902,03-5998-0511
富士見台地区区民館,練馬区富士見台 3-10-1,35.73876575,139.6243766,03-3926-1091
下石神井地区区民館,練馬区下石神井6-8-15,35.73396386,139.6035737,03-3904-5061
東大泉地区区民館,練馬区東大泉3-53-1,35.75615572,139.5877982,03-3921-8296
西大泉地区区民館,練馬区西大泉5-3-32,35.76004545,139.5725136,03-3921-6493
南大泉地区区民館,練馬区南大泉2-19-26,35.73912047,139.5703892,03-3978-9791
北大泉地区区民館,練馬区大泉町2-41-26,35.76473253,139.6040236,03-3978-0324
大泉学園地区区民館,練馬区大泉学園町8-9-5,35.77293049,139.5926898,03-3922-4101
関町北地区区民館,練馬区関町北4-12-21,35.72980398,139.5770599,03-3594-2603
立野地区区民館,練馬区立野町15-42,35.7186214,139.582578,03-3928-6216
