"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2019","国民健康保険料","8116441","33.4","7517784","31.0"
"2019","一部負担金","4","0.0","4","0.0"
"2019","使用料及び手数料","126","0.0","126","0.0"
"2019","国庫支出金","1","0.0","1","0.0"
"2019","都支出金","13628943","56.1","13276352","54.7"
"2019","繰入金","2501992","10.3","2099747","8.7"
"2019","繰越金","35000","0.1","1363275","5.6"
"2019","諸収入","12615","0.1","12615","0.1"
"2019","歳入合計","24295122","100","24269904","100.0"
"2020","国民健康保険料","7751488","32.9",,
"2020","一部負担金","4","0.0",,
"2020","使用料及び手数料","122","0.0",,
"2020","国庫支出金","1","0.0",,
"2020","都支出金","13485979","57.2",,
"2020","繰入金","2280320","9.7",,
"2020","繰越金","35000","0.1",,
"2020","諸収入","12647","0.1",,
"2020","歳入合計","23565561","100.0",,

"令和2年度港区行政資料集　国民健康保険事業会計歳入予算","Ver202003",,,,
