"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","選択肢A","選択肢B","選択肢C","選択肢D","選択肢E","選択肢F","選択肢G","選択肢H","選択肢I","選択肢J","選択肢K","選択肢L","選択肢M","選択肢N","選択肢O","選択肢P"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","全体",,"558","257","173","83","68","307","361","170","98","231","163","104","172","245","188","311","39"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","男性（計）","231","97","68","35","18","126","142","64","29","94","52","40","65","91","75","115","16"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","男性 18～29歳","13","6","6","1","0","5","8","2","1","5","3","1","2","5","2","6","0"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","男性 30～39歳","38","11","10","5","3","15","19","10","4","11","6","9","9","9","10","15","1"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","男性 40～49歳","50","18","16","5","1","30","31","9","6","18","15","10","13","22","14","23","4"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","男性 50～59歳","47","18","11","11","5","25","32","15","8","18","12","8","12","19","15","24","4"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","男性 60～69歳","42","22","14","7","4","28","25","11","4","20","9","3","15","14","17","22","3"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","男性 70歳以上","40","21","11","6","5","23","26","17","6","21","6","9","14","21","16","25","4"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","男性 無回答","1","1","0","0","0","0","1","0","0","1","1","0","0","1","1","0","0"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","女性（計）","313","157","103","48","49","181","217","104","68","135","111","64","106","153","112","195","23"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","女性 18～29歳","26","7","7","2","4","8","12","10","10","12","3","4","4","14","5","11","1"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","女性 30～39歳","49","26","23","3","5","22","34","17","8","21","17","7","16","21","11","33","4"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","女性 40～49歳","78","37","26","18","17","55","60","29","20","39","31","18","24","36","29","45","5"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","女性 50～59歳","62","36","24","8","6","41","45","21","15","32","25","15","30","32","28","40","6"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","女性 60～69歳","56","30","14","11","11","33","37","13","7","21","21","12","19","27","21","39","4"
"202203","地球温暖化対策","Q18-1. 問18で１または２を選択した場合は、日常生活の中で実行している省エネルギー行動について、ア～タのうち当てはまる記号を 内に記入してください。（複数記入可）","性・年代別","女性 70歳以上","42","21","9","6","6","22","29","14","8","10","14","8","13","23","18","27","3"
