"所得段階","説明","2018年度 保険料額[円]","2018年度 被保険者数[人]","2019年度 保険料額[円]","2019年度 被保険者数[人]","2020年度 保険料額[円]","2020年度 被保険者数[人]"
"第1段階","本人が生活保護受給者、中国残留邦人等支援給付受給者又は老齢福祉年金受給者で、世帯全員が住民税非課税の人　本人の合計所得金額と公的年金収入金額を合わせて、80万円以下の人で、世帯全員が住民税非課税の人※第1段階には保険料軽減者も含む","29976","7994","24356","7881","18735","7840"
"第2段階","世帯全員が住民税非課税で、本人の合計所得金額と公的年金収入金額を合わせて、80万円を超え、120万円以下の人","41217","2698","37470","2760","33723","2856"
"第3段階","世帯全員が住民税非課税で、本人の合計所得金額と公的年金収入金額を合わせて、120万円を超える人","48711","2610","46838","2588","44964","2584"
"第4段階","本人が住民税非課税かつ世帯員が住民税課税で、本人の合計所得金額と公的年金収入金額を合わせて、80万円以下の人","59952","4550","59952","4484","59952","4375"
"第5段階","本人が住民税非課税かつ世帯員が住民税課税で、本人の合計所得金額と公的年金収入金額を合わせて、80万円を超える人","74940","2995","74940","3053","74940","3052"
"第6段階","本人が住民税課税で、合計所得金額125万円未満の人","78687","4713","78687","4856","78687","4834"
"第7段階","本人が住民税課税で、合計所得金額125万円以上190万円未満の人","82434","3937","82434","3985","82434","4032"
"第8段階","本人が住民税課税で、合計所得金額190万円以上250万円未満の人","89928","2603","89928","2594","89928","2586"
"第9段階","本人が住民税課税で、合計所得金額250万円以上350万円未満の人","104916","2781","104916","2750","104916","2744"
"第10段階","本人が住民税課税で、合計所得金額350万円以上500万円未満の人","119904","2407","119904","2465","119904","2425"
"第11段階","本人が住民税課税で、合計所得金額500万円以上750万円未満の人","146133","2046","146133","2107","146133","2047"
"第12段階","本人が住民税課税で、合計所得金額750万円以上1,000万円未満の人","179856","1116","179856","1134","179856","1147"
"第13段階","本人が住民税課税で、合計所得金額1,000万円以上1,500万円未満の人","217326","1188","217326","1183","217326","1284"
"第14段階","本人が住民税課税で、合計所得金額1,500万円以上2,000万円未満の人","254796","755","254796","750","254796","814"
"第15段階","本人が住民税課税で、合計所得金額2,000万円以上3,000万円未満の人","296013","713","296013","733","296013","737"
"第16段階","本人が住民税課税で、合計所得金額3,000万円以上5,000万円未満の人","337230","618","337230","619","337230","634"
"第17段階","本人が住民税課税で、合計所得金額5,000万円以上の人","382194","810","382194","877","382194","875"
"合計",,,"44534",,"44819",,"44866"

"令和3年度港区行政資料集　介護保険 所得段階別被保険者数（65歳以上）-2","Ver202103",,,,,,
