名称,所在地,緯度,経度,電話
第２育秀苑地域包括支援センター,羽沢2-8-16,35.74385383,139.6709087,03-5912-0523
北町はるのひ地域包括支援センター,北町6-35-7,35.75708752,139.6494402,03-5399-5347
田柄地域包括支援センター,田柄4-12-10,35.76299549,139.6356944,03-3825-2590
高野台地域包括支援センター,高野台1-7-29,35.74092454,139.6164451,03-5372-6300
大泉地域包括支援センター,東大泉1-29-1,35.75008261,139.5855834,03-5387-2751
南大泉地域包括支援センター,南大泉5-26-19,35.75117927,139.5734415,03-3923-5556
やすらぎミラージュ地域包括支援センター,大泉町4-24-7,35.76263394,139.5971484,03-5905-1190
第二光陽苑地域包括支援センター,関町北5-7-22,35.73232881,139.5717956,03-5991-9919
関町地域包括支援センター,関町南4-9-28,35.72218942,139.574099,03-3928-5222
北町地域包括支援センター,北町2-26-1,35.76768053,139.6603589,03-3937-5577
光が丘地域包括支援センター,光が丘2-9-6,35.75938627,139.6295384,03-5968-4035
光が丘南地域包括支援センター,光が丘3-3-1-103号,35.75408972,139.6270065,03-6904-0312
練馬地域包括支援センター,練馬2-24-3,35.74397504,139.6541377,03-5984-1706
豊玉地域包括支援センター,豊玉南3-9-13,35.72769862,139.6525214,03-3993-1450
練馬ゆめの木地域包括支援センター,大泉町2-17-1,35.76048762,139.6023445,03-3923-0269
大泉北地域包括支援センター,大泉学園町4-21-1,35.76566671,139.5884814,03-3924-2006
大泉学園地域包括支援センター,大泉学園町2-20-21,35.75985786,139.5876615,03-5933-0156
練馬高松園地域包括支援センター,高松2-9-3,35.74666252,139.6301855,03-3926-7871
フローラ石神井公園地域包括支援センター,下石神井3-6-13,35.73346234,139.6067549,03-3996-0330
練馬区役所地域包括支援センター,豊玉北6-12-1,35.73578704,139.6513499,03-5946-2544
石神井地域包括支援センター,石神井町3-30-26,35.74344742,139.6026709,03-5923-1250
桜台地域包括支援センター,桜台1-22-9,35.73919195,139.6667278,03-5946-2311
第３育秀苑地域包括支援センター,土支田1-31-5,35.76602984,139.6181145,03-6904-0192
中村橋地域包括支援センター,貫井1-9-1,35.73810096,139.635551,03-3577-8815
上石神井地域包括支援センター,上石神井1-6-16,35.72529563,139.5924592,03-3928-8621
やすらぎシティ地域包括支援センター,練馬区東大泉7-27-49,35.744010,139.5804683,03-5935-8321
中村かしわ地域包括支援センター,練馬区中村2-25-3,35.731721,139.642156,03-5848-6177
