"年月[西暦]","調査項目","設問","方法","調査回答者の属性種別","調査回答者の属性","調査数[人]","利用したことがある[人]","実際に利用したことはないが、利用すると思う","利用しないと思う[人]","無回答[人]"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","全体",,"558","197","153","171","37"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","男性（計）","231","70","78","74","9"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","男性 18～29歳","13","8","3","2","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","男性 30～39歳","38","17","5","16","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","男性 40～49歳","50","19","15","16","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","男性 50～59歳","47","14","19","11","3"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","男性 60～69歳","42","7","17","17","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","男性 70歳以上","40","5","18","12","5"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","男性 無回答","1","0","1","0","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","女性（計）","313","127","73","96","17"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","女性 18～29歳","26","18","1","6","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","女性 30～39歳","49","35","9","4","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","女性 40～49歳","78","40","18","18","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","女性 50～59歳","62","25","11","25","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","女性 60～69歳","56","6","20","23","7"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","女性 70歳以上","42","3","14","20","5"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","女性 無回答","0","0","0","0","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","性・年代別","無回答","14","0","2","1","11"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","職業別","自営業主・家族従業","86","31","22","27","6"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","職業別","会社員・団体職員・公務員","243","104","70","64","5"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","職業別","アルバイト・パートタイマー","35","11","9","13","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","職業別","家事専業","55","21","8","24","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","職業別","学生","13","6","1","5","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","職業別","無職","81","12","35","25","9"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","職業別","その他","31","12","7","11","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","職業別","無回答","14","0","1","2","11"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","居住地区別","芝地区","86","28","20","33","5"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","居住地区別","麻布地区","87","33","19","29","6"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","居住地区別","赤坂地区","81","28","25","25","3"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","居住地区別","高輪地区","146","54","43","44","5"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","居住地区別","芝浦港南地区","139","52","41","39","7"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","居住地区別","無回答","19","2","5","1","11"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","住居形態別","持家（一戸建）","64","19","25","13","7"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","住居形態別","持家（マンション）","267","80","78","96","13"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","住居形態別","借家（一戸建）","9","0","5","4","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","住居形態別","民間の賃貸マンション・アパート","151","79","30","39","3"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","住居形態別","都営住宅・区営住宅・区立住宅","26","9","6","10","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","住居形態別","ＵＲ（旧公団）・公社の賃貸住宅","11","5","2","3","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","住居形態別","社宅・公務員宿舎","10","4","5","1","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","住居形態別","寮・寄宿舎・住み込み・間借り","4","0","1","2","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","住居形態別","その他","5","1","1","3","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","住居形態別","無回答","11","0","0","0","11"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","定住意向別","ずっと住み続けていたい","279","75","87","96","21"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","定住意向別","当分は住んでいたい","203","89","46","57","11"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","定住意向別","しばらくは住むつもりだが将来は区外に転居したい","45","20","14","10","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","定住意向別","近いうちに区外に転居したいが、具体的な計画はない","5","1","2","2","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","定住意向別","近いうちに区外に転居する予定である","13","9","1","1","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","定住意向別","わからない","10","3","2","4","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","１　人と直接会って相談する","定住意向別","無回答","3","0","1","1","1"

"第33回港区民世論調査クロス集計表・自殺対策Q29-1","Ver202203",,,,,,,,,
