都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,イベント名,イベント名_カナ,イベント名_英語,開始日,終了日,開始時間,終了時間,開始日時特記事項,説明,料金(基本),料金(詳細),連絡先名称,連絡先電話番号,連絡先内線番号,主催者,場所名称,住所,方書,緯度,経度,アクセス方法,駐車場情報,定員,参加申込終了日,参加申込終了時間,参加申込方法,URL,備考,郵便番号,共催・協力,料金_要否,定員_有無,乳児（0～2歳）,幼児（3～6歳）,小学生（低学年）,小学生（中学年）,小学生（高学年）,中学生,高校生,その他住民等,予約申込_要否,参加条件_有無,参加条件_詳細,駐車場_有無,託児所_有無,託児所_詳細,画像,画像_ライセンス,画像_詳細,最終確認日
131041,1,東京都,新宿区,ふれあいフェスタ,フレアイフェスタ,Fureai Festival,2019-10-20,2019-10-20,10:00,16:00,,,無料,,大新宿区まつり実行委員会事務局（新宿区文化観光課）,03-5273-4069（直通）,,新宿区・大新宿区まつり実行委員会,都立戸山公園（大久保地区）・新宿スポーツセンター,新宿区大久保３丁目５,,35.707769,139.705056,副都心線西早稲田駅より徒歩3分、高田馬場駅より徒歩10分、都営バス「早大理工前」下車徒歩3分,無,,,,,http://www.city.shinjuku.lg.jp/soshiki/daishinjuku-maturi.html,,1690072,後援：東京都・東京都東部公園緑地事務所,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,http://www.city.shinjuku.lg.jp/content/frfstx2019_01.jpg,本データと同様,鉄炮組百人隊発射演武,2023-01-13
131041,2,東京都,新宿区,神楽坂まつり,カグラザカマツリ,Kagurazaka Festival,2019-07-24,2019-07-27,17:30,22:00,,,無料,,,,,神楽坂まつり実行委員会,神楽坂通りとその周辺,新宿区神楽坂１丁目～６丁目,,35.701417,139.739446,飯田橋駅、東西線神楽坂駅、大江戸線牛込神楽坂駅,無,,,,,http://www.kagurazaka.in/,,1620825,"協力：東京神楽坂組合、神楽坂料理飲食業組合
後援：新宿区",0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,http://www.city.shinjuku.lg.jp/content/kgrzkm2019_01.jpg,本データと同様,,2023-01-13
131041,3,東京都,新宿区,エイサーまつり,エイサーマツリ,Shinjuku Eisa Festival,2022-07-30,2022-07-30,12:00,16:00,,,無料,,,,,新宿エイサーまつり大会委員会,新宿駅周辺,,,35.692131,139.701074,新宿駅、新宿三丁目駅、西武新宿駅,無,,,,,http://www.shinjuku-eisa.com/,,,後援：新宿区,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,http://www.city.shinjuku.lg.jp/content/smtsrx2019_01.jpg,本データと同様,,2023-01-13
131041,4,東京都,新宿区,染の小道,ソメノコミチ,Some no Komichi,2月末 ,2月末 ,10:00,17:00,,,無料,,,,,染の小道実行委員会,中井駅周辺,新宿区中井、中落合、上落合,,35.715072,139.687377,西武新宿線中井駅、大江戸線中井駅,無,,,,,http://www.somenokomichi.com/,,,共催：新宿区・新宿区染色協議会,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,http://www.city.shinjuku.lg.jp/content/smnkmc2019_01.jpg,本データと同様,,2023-01-13
131041,5,東京都,新宿区,芸術体験ひろば,ゲイジュツタイケンヒロバ,,2019-05-05,2019-05-05,10:00,16:40,,,無料（一部材料費・参加費かかるもの有）,,「芸術体験ひろば」事務局,03-5909-3060,,公益社団法人　日本芸能実演家団体協議会・新宿区ほか各団体,芸能花伝舎,西新宿６丁目１２番３０号,,35.693988,139.688847,丸の内線西新宿駅「出口２」より徒歩約６分、都営大江戸線都庁前駅「出口A5」より徒歩約７分、JR新宿駅西口より徒歩約１５分,無,各プログラムごとに定員有,,,"事前申込制
（一部当日整理券配布）",http://www.geidankyo.or.jp/12kaden/,,1608374,後援：文化庁など,0,1,1,1,1,1,1,1,1,1,1,0,,0,0,,http://www.city.shinjuku.lg.jp/content/gjtstk2019_01.jpg,本データと同様,芸術体験ひろば内こいのぼりの様子,2023-01-13
131041,6,東京都,新宿区,"新宿まちフェス2019
　WORLD　DANCE　STREET","シンジュクマチフェス2019
ワールドダンスストリート",Shinjuku machi fes 2019　World　dance street,2019-10-05,2019-10-05,12:00,16:00,,,無料,,新宿観光振興協会,03-3344-3160,,新宿まちフェス実行委員会,新宿通り,新宿区新宿３丁目,,35.692131,139.701074,新宿駅、新宿三丁目駅、西武新宿駅,無,,,,,https://www.kanko-shinjuku.jp/,,,共催：大新宿区まつり実行委員会・新宿区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,http://www.city.shinjuku.lg.jp/content/mchfsx2019_01.jp,本データと同様,,2023-01-13
131041,10,東京都,新宿区,新宿フィールドミュージアム オープニングイベント,シンジュクフィールドミュージアムオープニングイベント,Shinjuku Field MuseumOpening　Event,2022-10-06,2022-10-06,11:00,17:30,日時は毎年変更になります。,10月から11月まで、「新宿フィールドミュージアム」として、新宿区内全域で文化芸術イベントを繰り広げます。オープニングイベントでは、文化芸術の鑑賞や体験イベントを行います。,無料,,新宿フィールドミュージアム協議会事務局（新宿区文化観光課文化観光係）,03－5273－4069,3352,新宿フィールドミュージアム協議会,新宿駅西口広場イベントコーナー,新宿区西新宿一丁目地先,,35.6908,139.69846,JR新宿駅西口改札すぐ,なし,未定,,,事前申込不要,https://ｗｗｗ.sfm-shinjuku.jp/,,160-8484,,0,0,1,1,1,1,1,1,1,1,0,0,,0,0,,,,,2023-01-13
131041,11,東京都,新宿区,新宿フィールドミュージアム「SHIN-ONSAI」,シンジュクフィールドミュージアムシンオンサイ,Shinjuku Field Museum Shin-on-sai,2022-11-05,2022-11-06,12:30,20:00,日時は毎年変更になります。,10月から11月まで、新宿区内全域で繰り広げる「新宿フィールドミュージアム」の目玉として、都市型音楽フェス「SHIN-ONSAI」を開催します。,有料,（一部無料イベントあり）,新宿フィールドミュージアム協議会事務局（新宿区文化観光課文化観光係）,03－5273－4069,3352,新宿フィールドミュージアム協議会,新宿区立新宿文化センター,新宿区新宿6－14－1,,35.695455,139.709798,JR・京王線・小田急線新宿駅東口徒歩15分／西武新宿線西武新宿駅徒歩15分／都営大江戸線・東京メトロ副都心線東新宿駅A3出口徒歩5分／東京メトロ丸ノ内線・副都心線新宿三丁目駅E1出口徒歩７分、B3出口徒歩11分／都営新宿線新宿三丁目駅C7出口徒歩10分,一般来場者はご利用いただけませんが、身体障がいのあるご来館者については、駐車場をご利用いただけます。（要予約）,未定,,,チケット事前販売,https://ｗｗｗ.sfm-shinjuku.jp/,,160-0022,,1,1,1,1,1,1,1,1,1,1,1,0,,0,0,,,,,2023-01-13
131041,12,東京都,新宿区,新宿　春の楽しいジャズ祭り,シンジュクハルノタノシイジャズマツリ,Shinjuku Spring Jazz Festival,2019-05-11,2019-05-11,11:00,19:50,,新宿文化センター全館が会場となり、プロ・アマ約150団体が登場し、熱演を披露します。大編成のビッグバンドから小編成のピアノトリオまで、様々なスタイルのジャズをお楽しみください。新緑が美しい5月は、心もからだもスイング！スイング！！,3500,前売：3000円、当日3500円、新宿区民割引2700円、高校生以下無料,新宿文化センター,03-3350-1141,,"公益財団法人新宿未来創造財団
新宿　春の楽しいジャズ祭り　実行委員会",新宿文化センター,新宿区新宿6-14-1,,35.695455,139.709798,JR・京王線・小田急線新宿駅東口徒歩15分／西武新宿線西武新宿駅徒歩15分／都営大江戸線・東京メトロ副都心線東新宿駅A3出口徒歩5分／東京メトロ丸ノ内線・副都心線新宿三丁目駅E1出口徒歩７分、B3出口徒歩11分／都営新宿線新宿三丁目駅C7出口徒歩10分,一般来場者はご利用いただけませんが、身体障がいのあるご来館者については、駐車場をご利用いただけます。（要予約）,なし,2019-05-11,19:50,チケット購入,https://www.regasu-shinjuku.or.jp/bunka-center/,,160-0022,共催：新宿区,1,0,1,1,1,1,1,1,1,1,1,0,,0,0,,,,,2019-05-11
131041,13,東京都,新宿区,沖縄音楽フェスティバル,オキナワオンガクフェスティバル,Okinawa Music Festibal,2022-07-30,2022-07-30,16:00,18:00,,真夏の新宿の風物詩「新宿エイサーまつり」の協力公演として、2005年にスタートした「沖縄音楽フェスティバル」,4000,新宿区民割引3800円、新宿文化センター友の会割引3500円,新宿文化センター,03-3350-1141,,公益財団法人新宿未来創造財団,新宿文化センター,新宿区新宿6-14-1,,35.695455,139.709798,JR・京王線・小田急線新宿駅東口徒歩15分／西武新宿線西武新宿駅徒歩15分／都営大江戸線・東京メトロ副都心線東新宿駅A3出口徒歩5分／東京メトロ丸ノ内線・副都心線新宿三丁目駅E1出口徒歩７分、B3出口徒歩11分／都営新宿線新宿三丁目駅C7出口徒歩10分,一般来場者はご利用いただけませんが、身体障がいのあるご来館者については、駐車場をご利用いただけます。（要予約）,1802,2022-07-30,18:00,チケット購入,https://www.regasu-shinjuku.or.jp/bunka-center/,,160-0022,共催：新宿区,1,1,0,0,1,1,1,1,1,1,1,0,,0,0,,,,,2022-07-30
