"ページURL","分類","第1分類","第2分類","開催日時","ページタイトル","問い合わせ先1","問い合わせ先電話番号1","問い合わせ先ファックス番号1","問い合わせ先2","問い合わせ先電話番号2","問い合わせ先ファックス番号2","問い合わせ先3","問い合わせ先電話番号3","問い合わせ先ファックス番号3","問い合わせ先4","問い合わせ先電話番号4","問い合わせ先ファックス番号4","問い合わせ先5","問い合わせ先電話番号5","問い合わせ先ファックス番号5","問い合わせ先6","問い合わせ先電話番号6","問い合わせ先ファックス番号6","問い合わせ先フリー入力","内容","対象","開催日詳細","ところ","定員","費用","申し込み","持ち物","その他","関連資料URL1","関連資料タイトル1","関連資料URL2","関連資料タイトル2","関連資料URL3","関連資料タイトル3","関連資料URL4","関連資料タイトル4","関連資料URL5","関連資料タイトル5","関連リンクURL1","関連リンクタイトル1","関連リンクURL2","関連リンクタイトル2","関連リンクURL3","関連リンクタイトル3","関連リンクURL4","関連リンクタイトル4","関連リンクURL5","関連リンクタイトル5","緯度","経度",
"https://www.city.minato.tokyo.jp/kouhou/event/230501-sikakushogai_pckyoshitsu.html","008009003000","港区イベントカレンダー","地区指定なし","2023年5月1日から2024年3月31日","視覚障害者のためのパソコン教室「音声ソフトを使用して基本的なWord・Excelのパソコン操作を身につけよう」","","","","","","","","","","","","","","","","","","","","","18歳以上で身体障害者手帳（視覚障害）1から6級を持っていて、音声ソフトでパソコン操作を学びたい区民
※介護が必要な人は、ご相談ください。","5月から令和6年3月（隔月水曜・月3回、全18回）午前10時45分から午後0時15分","障害保健福祉センター","4人（抽選）","","電話またはファックスで、4月17日（月曜）までに、障害保健福祉センターへ。申し込みの際、身体状況の確認をすることがあります。また公共交通機関の利用が困難な人は、巡回送迎バスを利用できます。
電話：03-5439-2511　ファックス：03-5439-2514","","","","","","","","","","","","","","","","","","","","","","","","",
"https://www.city.minato.tokyo.jp/kouhou/event/230617-socialcircus.html","008009003000","港区イベントカレンダー","地区指定なし","2023年6月17日から2024年3月16日","ソーシャルサーカス・ワークショップinヒューマンぷらざ","","","","","","","","","","","","","","","","","","","","","運動を制限されていない、18歳以上60歳未満の人
※対象ではない人で、参加を希望される場合はご相談ください。","","障害保健福祉センター","","","詳細は関連リンクをご参照ください。","","","","","","","","","","","","","https://www.city.minato.tokyo.jp/kouhou/kuse/koho/minato2023/202305/20230501top/21.html","広報みなと2023年5月1日号　障害者関連情報　ソーシャルサーカス・ワークショップinヒューマンぷらざ","","","","","","","","","","",
"https://www.city.minato.tokyo.jp/kouhou/event/230527-zenkokurenkeimarche_shibaura.html","008009000000","港区イベントカレンダー","地区指定なし","2023年5月27日から2024年3月24日","「全国連携マルシェin芝浦」を開催します","","","","","","","","","","","","","","","","","","","","","どなたでも","","プラタナス公園","","","当日直接会場へ。","","","","","","","","","","","","","https://www.city.minato.tokyo.jp/kouhou/kuse/koho/minato2023/202305/20230501top/15.html","広報みなと2023年5月1日号　「全国連携マルシェin芝浦」を開催します","","","","","","","","","","",
"https://www.city.minato.tokyo.jp/kouhou/event/230808-dartssalon.html","008001002000","港区イベントカレンダー","芝地区","2023年8月8日から2024年3月20日","ダーツサロン","","","","","","","","","","","","","","","","","","","","","60歳以上の区民","毎月第2水曜・第4水曜午後2時から午後3時30分","神応いきいきプラザ","","","当日直接会場へ。
※いきいきプラザの利用登録証をお持ちでない人は本人確認書（免許証・保険証等）をお持ちください。
電話：03-5422-8848","","","","","","","","","","","","","","","","","","","","","","","","",
"https://www.city.minato.tokyo.jp/kouhou/event/230901-itpassport.html","008009000000","港区イベントカレンダー","地区指定なし","2023年9月1日から2024年3月31日","ITパスポート試験合格支援講座","","","","","","","","","","","","","","","","","","","産業振興センター
電話：03-6435-0601
","","どなたでも","","オンライン","35人（申込順）","1万3,090円（税込み）","産業振興センターホームページ（関連リンク参照）からお申し込みください。","","","","","","","","","","","","","https://minato-sansin.com/","産業振興センターホームページ（外部サイトへリンク）","","","","","","","","","","",
"https://www.city.minato.tokyo.jp/kouhou/event/230901-kihonjoho.html","008009000000","港区イベントカレンダー","地区指定なし","2023年9月1日から2024年3月31日","基本情報技術者試験合格支援講座","","","","","","","","","","","","","","","","","","","産業振興センター
電話：03-6435-0601
","","どなたでも","","オンライン","8人（申込順）","1万5,730円（税込み）
※別途テキスト代2,530円","産業振興センターホームページ（関連リンク参照）からお申し込みください。","","","","","","","","","","","","","https://minato-sansin.com/","産業振興センターホームページ（外部サイトへリンク）","","","","","","","","","","",
"https://www.city.minato.tokyo.jp/kouhou/event/231009-aromaherb.html","008001002000","港区イベントカレンダー","芝地区","2023年10月9日から2024年3月11日","生活に役立つアロマ&ハーブ講座","","","","","","","","","","","","","","","","","","","","アロマやハーブの効能を学ぶ他、ケアグッズを手作りします。","おおむね50歳以上の区民","（毎月第2月曜・全6回）午後1時30分から午後3時30分","神明いきいきプラザ","16人（抽選）","各回1,500円（材料費）","電話または直接、9月14日（木曜）までに、神明いきいきプラザへ。
電話：03-3436-2500","","","","","","","","","","","","","","","","","","","","","","","","",
"https://www.city.minato.tokyo.jp/kouhou/event/231004-shogaishaetegami.html","008009003000","港区イベントカレンダー","地区指定なし","2023年10月4日から2024年3月6日","障害者のための「絵手紙教室」","","","","","","","","","","","","","","","","","","","","季節の野菜等を題材に絵を描き、自分の言葉を添えて絵手紙にします。","18歳以上で、次のいずれかに該当する区民
（1）身体障害者手帳・愛の手帳・精神障害者保健福祉手帳のいずれかを所持
（2）難病により障害支援区分認定を受けていること","（1月3日を除く毎月第1水曜・第3水曜、全10回）午後1時45分から午後3時30分","障害保健福祉センター","10人程度（抽選）","1,000円（材料費）程度かかる場合があります。
※毎回決められた画材をお持ちください。","電話・ファックスまたはメールで、講座名・氏名・連絡先を、9月15日（金曜）までに、障害保健福祉センターへ。申し込みの際、身体状況の確認をすることがあります。手話通訳・介護が必要な人は、ご相談ください。公共交通機関の利用が困難な人は、巡回送迎バスを利用できます。
電話：03-5439-2511　ファックス：03-5439-2514
メール：minato-chi@yuai.or.jp","","","","","","","","","","","","","","","","","","","","","","","","",
"https://www.city.minato.tokyo.jp/kouhou/event/231005-shogaishaongaku.html","008009003000","港区イベントカレンダー","地区指定なし","2023年10月5日から2024年3月7日","障害者のための「音楽セラピー」","","","","","","","","","","","","","","","","","","","","楽器や歌に合わせて体を動かす等、音楽経験がなくても参加できます。","18歳以上で、次のいずれかに該当する区民
（1）身体障害者手帳・愛の手帳・精神障害者保健福祉手帳のいずれかを所持
（2）難病により障害支援区分認定を受けていること","（1月4日を除く毎月第1木曜・第3木曜、全10回）午後1時45分から午後3時30分","障害保健福祉センター","15人（抽選）","","電話・ファックスまたはメールで、講座名・氏名・連絡先を、9月15日（金曜）までに、障害保健福祉センターへ。申し込みの際、身体状況の確認をすることがあります。手話通訳・介護が必要な人は、ご相談ください。公共交通機関の利用が困難な人は、巡回送迎バスを利用できます。
電話：03-5439-2511　ファックス：03-5439-2514
メール：minato-chi@yuai.or.jp","","","","","","","","","","","","","","","","","","","","","","","","",
"https://www.city.minato.tokyo.jp/kouhou/event/231016-minato_collection.html","008009000000","港区イベントカレンダー","地区指定なし","2023年10月16日から2024年3月3日","2023ミナコレ（MINATO COLLECTION）を開催します","","","","","","","","","","","","","","","","","","","","","どなたでも","","詳細は関連リンクをご参照ください。","","","詳細は関連リンクをご参照ください。","","","","","","","","","","","","","https://www.city.minato.tokyo.jp/kouhou/kuse/koho/minato2023/202309/20230911top/04.html","広報みなと2023年9月11日号　2023ミナコレ（MINATO COLLECTION）を開催します","","","","","","","","","","",
"https://www.city.minato.tokyo.jp/kouhou/event/231102-ikiikimajang.html","008009002000","港区イベントカレンダー","地区指定なし","2023年11月2日から2024年3月7日","いきいき麻雀教室","","","","","","","","","","","","","","","","","","","","","麻雀初心者の60歳以上の区民","11月2日から令和6年3月7日（11月23日、12月28日、令和6年1月4日を除く毎週木曜・全16回）午後1時から午後3時","三田いきいきプラザ","16人（初めての人優先で抽選）","","直接、9月30日（土曜）までに、三田いきいきプラザへ。
電話：03-3452-9421","","","","","","","","","","","","","","","","","","","","","","","","",
"https://www.city.minato.tokyo.jp/kouhou/event/231003-shogaisharefreshtaiso.html","008009003000","港区イベントカレンダー","地区指定なし","2023年10月3日から2024年3月5日","障害者のための「リフレッシュ体操」","","","","","","","","","","","","","","","","","","","","","18歳以上で、次のいずれかに該当する区民
（1）身体障害者手帳・愛の手帳・精神障害者保健福祉手帳のいずれかを所持
（2）難病により障害支援区分認定を受けていること","（1月2日を除く毎月第1火曜・第3火曜、全10回）午後1時45分から午後3時30分","障害保健福祉センター","10人程度（抽選）","","電話・ファックスまたはメールで、講座名・氏名・連絡先を、9月25日（月曜）までに、障害保健福祉センターへ。申し込みの際、身体状況の確認をすることがあります。手話通訳・介護が必要な人は、ご相談ください。公共交通機関の利用が困難な人は、巡回送迎バスを利用できます。
電話：03-5439-2511　ファックス：03-5439-2514
メール：minato-chi@yuai.or.jp","","","","","","","","","","","","","","","","","","","","","","","","",
"https://www.city.minato.tokyo.jp/kouhou/event/231012-hukushisodan.html","008009000000","港区イベントカレンダー","地区指定なし","2023年10月12日から2024年3月27日","弁護士による福祉専門相談","","","","","","","","","","","","","","","","","","","","","どなたでも","10月12日（木曜）・10月25日（水曜）、11月9日（木曜）・11月29日（水曜）、12月7日（木曜）・12月20日（水曜）、令和6年1月11日（木曜）・1月24日（水曜）、2月8日（木曜）・2月21日（水曜）、3月7日（木曜）・3月27日（水曜）いずれも午後1時30分から午後4時20分
※1人50分程度（申込順）。1案件につき1回","社会福祉法人港区社会福祉協議会（麻布地区総合支所2階）","","","電話・ファックスまたはメールで、社会福祉法人港区社会福祉協議会成年後見推進係へ。
電話：03-6230-0283　ファックス：03-6230-0285
メール：seinenkouken@minato-cosw.net","","","","","","","","","","","","","","","","","","","","","","","","",
"https://www.city.minato.tokyo.jp/kodomowakamonoshien/hatachi2023.html","008009001000","港区イベントカレンダー","地区指定なし","2025年1月13日","令和６年度「二十歳（はたち）のつどい」を開催します","子ども家庭支援部子ども若者支援課子ども若者支援係","03-3578-2426","03-3578-2384","","","","","","","","","","","","","","","","","20歳を迎える皆さんの門出を祝し、「二十歳（はたち）のつどい」を開催します。","港区に住民登録がある人のうち、令和6年度中に20歳を迎える方
（平成16年（2004年）4月2日から平成17年（2005年）4月1日までに生まれた方）","全地区対象の式典を1部制で実施し、終了後に歓談時間を設けます。
（式典）正午～午後1時
（歓談）午後1時～午後1時30分","東京プリンスホテル　鳳凰の間
港区芝公園3-3-1","900名程度（申込順）","","令和6年10月から専用フォームでの申込を開始予定です。","招待状
※参加申込者に対し、12月中旬に送付する予定です。","区外に転出した方で出席を希望する方もご参加いただけます。","","","","","","","","","","","","","","","","","","","","","","",
