"業態","施設名称","施設所在地","施設方書","施設電話番号","許可番号","許可開始日","緯度","経度"
"薬局","フレンド薬局　溜池山王店","東京都港区赤坂一丁目3番5号","赤坂アビタシオンビル1階","03-6441-0047","30港み生薬第98号","2019/3/5","35.670425","139.744019"
"薬局","溜池薬局","東京都港区赤坂一丁目5番12号",,"03-3583-0600","5港み生薬第13号","2023/7/27","35.670442","139.742918"
"薬局","みらい薬局","東京都港区赤坂一丁目7番1号","赤坂榎坂ビル4F","03-5114-5101","4港み生薬第57号","2023/2/1","35.669220","139.741745"
"薬局","そうごう薬局　赤坂インターシティＡＩＲ店","東京都港区赤坂一丁目8番1号","赤坂インターシティAIR地下1階","03-6441-0971","4港み生薬第15号","2022/6/8","35.669827","139.742197"
"薬局","薬局トモズ　アークヒルズ店","東京都港区赤坂一丁目12番32号","2階","03-6277-6381","30港み生薬第89号","2019/2/8","35.667137","139.740015"
"薬局","エースタイル薬局","東京都港区赤坂二丁目3番5号","赤坂スターゲートプラザ地下1階","03-6441-0990","5港み生薬第56号","2024/2/1","35.671237","139.741652"
"薬局","ルビー薬局　赤坂２丁目店","東京都港区赤坂二丁目10番13号","福田ビル1階","03-6441-0801","3港み生薬第64号","2021/12/27","35.670228","139.741517"
"薬局","アイン薬局　赤坂溜池店","東京都港区赤坂二丁目11番15号","MY赤坂ビル1階","03-3568-7030","3港み生薬第66号","2022/3/1","35.670441","139.741028"
"薬局","合資会社富谷薬局","東京都港区赤坂二丁目13番23号",,"03-3583-3412","5港み生薬第41号","2024/1/1","35.672994","139.738132"
"薬局","あかさか薬局","東京都港区赤坂三丁目5番2号","サンヨー赤坂ビル1階","03-6426-5639","4港み生薬第10号","2022/5/30","35.673679","139.738596"
"薬局","めろん薬局","東京都港区赤坂三丁目9番2号","No.R赤坂見附302号","03-6459-1860","4港み生薬第60号","2023/2/3","35.677282","139.736203"
"薬局","赤坂太陽薬局","東京都港区赤坂三丁目9番4号","サカタニビル3階","03-3505-4056","4港み生薬第19号","2022/7/18","35.677066","139.736462"
"薬局","スギ薬局　赤坂見附店","東京都港区赤坂三丁目9番7号",,"03-5797-8622","31港み生薬第7号","2019/5/9","35.676733","139.736616"
"薬局","日本調剤　赤坂中央薬局","東京都港区赤坂三丁目13番11号","佐藤ビル1階","03-6230-9372","31港み生薬第35号","2019/9/27","35.673103","139.737251"
"薬局","健康日本堂調剤薬局　赤坂店","東京都港区赤坂三丁目14番3号","渡林赤坂ビル1階","03-5797-8712","31港み生薬第3号","2019/4/25","35.673761","139.737441"
"薬局","一ツ木薬局","東京都港区赤坂三丁目21番16号","SKI赤坂ビル1階","03-3583-0698","5港み生薬第54号","2024/1/25","35.677039","139.735465"
"薬局","マイカ‐イ漢方薬局","東京都港区赤坂五丁目1番36号",,"03-6824-4044","4港み生薬第73号","2023/4/1","35.673974","139.736153"
"薬局","赤坂駅前薬局","東京都港区赤坂五丁目4番6号","赤坂三辻ビル地下1階","03-3560-0123","4港み生薬第56号","2023/2/28","35.672202","139.736034"
"薬局","ニコニコ薬局　赤坂店","東京都港区赤坂五丁目4番8号","荒島ビル1F","03-6426-5157","31港み生薬第34号","2019/10/4","35.671853","139.735724"
"薬局","スギ薬局　赤坂店","東京都港区赤坂五丁目5番13号","周山ビル1階","03-3568-7927","3港み生薬第46号","2021/9/25","35.670389","139.733775"
"薬局","さくら薬局　東京ミッドタウン店","東京都港区赤坂九丁目7番1号","ミッドタウン・タワー 6階","03-5770-8361","3港み生薬第77号","2022/4/1","35.666126","139.731247"
"薬局","さざなみ薬局　麻布十番店","東京都港区麻布十番一丁目5番12号","麻布永谷マンション1階","03-3478-3373","4港み生薬第50号","2022/11/30","35.656770","139.733888"
