"年月[西暦]","調査項目","設問","選択肢","回答数[人]","構成比[%]"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","戦争当時の写真や実物資料の展示","187","28.4"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","戦争体験者との交流会","105","16.0"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","平和を祈念したコンサート等のイベントの開催","84","12.8"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","区内の平和関連史跡を活用した取組","82","12.5"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","高校生世代の長崎への派遣研修","83","12.6"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","平和啓発物品の配布・パネル等の貸出し","14","2.1"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","その他","33","5.0"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。","無回答","70","10.6"

"第32回港区民世論調査単純集計表・平和Q28","Ver202003",,,,
