"都道府県コード又は市区町村コード","NO","都道府県名","市区町村名","名称","名称_カナ","住所","方書","設置位置","電話番号","内線番号","法人番号","団体名","利用可能曜日","開始時間","終了時間","利用可能日時特記事項","小児対応機器設備の有無","URL","最終確認日","備考","経度","緯度","分類"
"131148","1","東京都","中野区","中野区役所本庁舎（２４時間AED）","ナカノクヤクショホンチョウシャ","中野区中野4-11-19","","6階エレベーターホール","03-3228-8854","","","中野区","月火水木金土日","0:00","23:59","24時間利用可能。","有","","2023/6/26","所管：総務部","139.662827808048","35.7090224249294","AED設置箇所一覧"
"131148","2","東京都","中野区","産業振興センター","サンギョウシンコウセンター","中野区中野2-13-14","","１階ロビー","03-3380-6946","","","中野区","月火水木金土日","8:30","21:30","毎月第３月曜日（第3月曜日が祝日の場合は、直後の休日でない日）、年末年始は利用不可。","有","","2021/7/19","所管：区民部","139.668107011166","35.7043948227759","AED設置箇所一覧"
"131148","4","東京都","中野区","南中野区民活動センター","ミナミナカノクミンカツドウセンター","中野区弥生町5-5-2","","2階事務室内","03-3382-1456","","","中野区","月火水木金土日","8:30","22:00","毎月第3月曜日（休日の場合はその翌日）は、終了時間が異なる場合あり。年末年始は利用不可。","有","","2021/7/19","所管：地域支えあい推進部","139.666354101205","35.6861567510087","AED設置箇所一覧"
"131148","5","東京都","中野区","弥生区民活動センター","ヤヨイクミンカツドウセンター","中野区弥生町1-58-14","","1階ロビー","03-3372-4000","","","中野区","月火水木金土日","8:30","22:00","毎月第3月曜日（休日の場合はその翌日）は、終了時間が異なる場合あり。年末年始は利用不可。","有","","2021/7/19","所管：地域支えあい推進部","139.678453378405","35.6923674003137","AED設置箇所一覧"
"131148","6","東京都","中野区","東部区民活動センター／宮園高齢者会館","トウブクミンカツドウセンター","中野区中央2-18-21","","１階宮園高齢者会館事務室内","03-3363-0751","","","中野区","月火水木金土日","8:30","22:00","年末年始は利用不可。","有","","2021/7/19","所管：地域支えあい推進部","139.682485610715","35.7004229776672","AED設置箇所一覧"
"131148","7","東京都","中野区","鍋横区民活動センター","ナベヨコクミンカツドウセンター","中野区本町5-47-13","","1階事務室前","03-3383-2731","","","中野区","月火水木金土日","8:30","22:00","毎月第3月曜日（休日の場合はその翌日）は、終了時間が異なる場合あり。年末年始は利用不可。","有","","2021/7/19","所管：地域支えあい推進部","139.668036299239","35.6936428672459","AED設置箇所一覧"
"131148","8","東京都","中野区","鍋横区民活動センター分室","ナベヨコクミンカツドウセンターブンシツ","中野区本町4-44-3","","1階集会室前","03-3384-5678","","","中野区","月火水木金","9:00","17:00","祝日、年末年始は利用不可","有","","2021/7/19","所管：地域支えあい推進部","139.669565770594","35.6965123987574","AED設置箇所一覧"
"131148","9","東京都","中野区","桃園区民活動センター","モモゾノクミンカツドウセンター","中野区中央4-57-1","","１階受付カウンター内","03-3382-5151","","","中野区","月火水木金土日","8:30","22:00","毎月第3月曜日（休日の場合はその翌日）は、終了時間が異なる場合あり。年末年始は利用不可。","有","","2021/7/19","所管：地域支えあい推進部","139.667329508614","35.7022896069225","AED設置箇所一覧"
"131148","10","東京都","中野区","昭和区民活動センター","ショウワクミンカツドウセンター","中野区中野6-16-20","","1階事務室内","03-3368-8181","","","中野区","月火水木金土日","8:30","22:00","毎月第3月曜日（休日の場合はその翌日）は、終了時間が異なる場合あり。年末年始は利用不可。","有","","2021/7/19","所管：地域支えあい推進部","139.674988727722","35.707320861026","AED設置箇所一覧"
"131148","11","東京都","中野区","東中野区民活動センター","ヒガシナカノクミンカツドウセンター","中野区東中野5-27-5","","1階事務室内","03-3364-6677","","","中野区","月火水木金土日","8:30","22:00","毎月第3月曜日（休日の場合はその翌日）は、終了時間が異なる場合あり。年末年始は利用不可。","有","","2021/7/19","所管：地域支えあい推進部","139.690363131841","35.7102226558072","AED設置箇所一覧"
"131148","12","東京都","中野区","上高田区民活動センター","カミタカダクミンカツドウセンター","中野区上高田2-11-1","","1階管理人室脇","03-3389-1311","","","中野区","月火水木金土日","8:30","22:00","毎月第3月曜日（休日の場合はその翌日）は、終了時間が異なる場合あり。年末年始は利用不可。","有","","2021/7/19","所管：地域支えあい推進部","139.672564451814","35.7115506405589","AED設置箇所一覧"
