"設置","施設名","郵便番号","所在地","経度","緯度","座標系","電話番号","定員"
"区市町村","神田児童館","101-0021","千代田区外神田３－４－７","139.769793","35.701221","JGD2011","03-3253-6021","-"
"区市町村","千代田区立児童・家庭支援センター西神田分館","101-0065","千代田区西神田２－６－２","139.754755","35.698918","JGD2011","03-5215-9062","-"
"区市町村","四番町児童館","102-0081","千代田区四番町１１","139.739404","35.689022","JGD2011","03-3234-3084","-"
"区市町村","一番町児童館","102-0082","千代田区一番町１０－２２","139.739324","35.686444","JGD2011","03-3230-0866","-"
"区市町村","浜町児童館","103-0007","中央区日本橋浜町３－３７－１","139.791302","35.685518","JGD2011","03-3669-3386","-"
"区市町村","堀留町児童館","103-0012","中央区日本橋堀留町１－１－１","139.778963","35.687412","JGD2011","03-3661-8937","-"
"区市町村","新川児童館","104-0033","中央区新川２－１３－４","139.781568","35.675969","JGD2011","03-3553-2084","-"
"区市町村","築地児童館","104-0045","中央区築地７－９－１７","139.775883","35.666223","JGD2011","03-3544-0127","-"
"区市町村","佃児童館","104-0051","中央区佃１－１１－１","139.784726","35.668925","JGD2011","03-3531-7811","-"
"区市町村","月島児童館","104-0052","中央区月島４－１－１","139.782141","35.662059","JGD2011","03-3533-0885","-"
"区市町村","晴海児童館","104-0053","中央区晴海２－４－３１","139.783935","35.654907","JGD2011","03-3534-3021","-"
"区市町村","勝どき児童館","104-0054","中央区勝どき１－８－１","139.776583","35.659665","JGD2011","03-3531-3250","-"
"区市町村","神明子ども中高生プラザ","105-0013","港区浜松町１－６－７","139.757554","35.658826","JGD2011","03-5733-5199","-"
"区市町村","港区立麻布子ども中高生プラザ","106-0047","港区南麻布４－６－７","139.72741","35.651037","JGD2011","03-5447-0611","-"
"区市町村","赤坂子ども中高生プラザ","107-0052","港区赤坂６－６－１４","139.73763","35.669966","JGD2011","03-5561-7830","-"
"区市町村","青山児童館","107-0061","港区北青山３－３－１６","139.714321","35.667693","JGD2011","03-3404-5874","-"
"区市町村","芝浦アイランド児童高齢者交流プラザ","108-0023","港区芝浦４－２０－１","139.752419","35.640372","JGD2011","03-5443-7338","-"
"区市町村","白金台児童館","108-0071","港区白金台４－８－５","139.724958","35.637713","JGD2011","03-3444-1899","-"
"区市町村","豊岡児童館","108-0073","港区三田５－７－７","139.739662","35.646502","JGD2011","03-3453-1592","-"
