"設置","施設名","郵便番号","所在地","経度","緯度","座標系","電話番号","定員"
"区市町村","いずみこども園","101-0024","千代田区神田和泉町１","139.777421","35.699016","JGD2011","03-3866-9938","36"
"営利法人","あい保育園東神田","101-0031","千代田区東神田２－６－５　東神田ビル２・３階","139.780435","35.695814","JGD2011","03-5809-2578","63"
"社福法人","千代田せいが保育園","101-0033","千代田区神田岩本町１５－７","139.774821","35.696661","JGD2011","03-6811-6686","51"
"営利法人","ベネッセ内神田保育園","101-0047","千代田区内神田２－１－１３","139.767852","35.689037 ","JGD2011","03-6836-1120","60"
"区市町村","神田保育園","101-0063","千代田区神田淡路町２－１０９","139.767002","35.69685","JGD2011","03-3253-6258","120"
"社福法人","神田淡路町保育園大きなおうち","101-0063","千代田区神田淡路町２－１２","139.76878","35.697805","JGD2011","03-6260-9555","99"
"区市町村","西神田保育園","101-0065","千代田区西神田２－６－２","139.754755","35.698918","JGD2011","03-5215-9060","99"
"営利法人","ほっぺるランド西神田","101-0065","千代田区西神田３－５－２　千代田ファーストビル西館１階","139.752953","35.698227","JGD2011","03-5212-6016","70"
"区市町村","ふじみこども園","102-0071","千代田区富士見１－１０－３","139.74622","35.697316","JGD2011","03-3263-1009","55"
"営利法人","グローバルキッズ飯田橋園","102-0071","千代田区富士見２－１４－３６　富士見ウエスト２・３階","139.74364","35.697307","JGD2011","03-3239-8002","138"
"営利法人","クレアナーサリー市ヶ谷","102-0073","千代田区九段北４－２－２９　セブンアネックス１～３階","139.738182","35.692344","JGD2011","03-6265-6187","78"
"区市町村","四番町保育園","102-0081","千代田区四番町５－８","139.736499","35.688436","JGD2011","03-3234-2269","97"
"区市町村","麹町保育園","102-0082","千代田区一番町４","139.742601","35.688003","JGD2011","03-3261-7960","100"
"営利法人","ポピンズナーサリースクール一番町","102-0082","千代田区一番町１０－８　一番町ウエストビル","139.739749","35.686525","JGD2011","03-3230-2105","80"
"営利法人","アスク二番町保育園","102-0084","千代田区二番町２－１　二番町ＴＳビル","139.737971","35.686958","JGD2011","03-3288-8151","100"
"社福法人","二番町ちとせ保育園","102-0084","千代田区二番町７－５","139.735197","35.685444","JGD2011","03-3222-3255","100"
"営利法人","グローバルキッズ六番町園","102-0085","千代田区六番町５－１６","139.734669","35.686969","JGD2011","03-3230-7161","60"
"区市町村","十思保育園","103-0001","中央区日本橋小伝馬町５－１","139.777032","35.690887","JGD2011","03-5651-3915","94"
"営利法人","にじいろ保育園小伝馬町","103-0001","中央区日本橋小伝馬町１３－７","139.779549","35.691153","JGD2011","03-3527-2484","72"
"営利法人","日生東日本橋保育園ひびき","103-0004","中央区東日本橋一丁目５番１３号　セイワ東日本橋ビル１～４階","139.785896","35.691142","JGD2011","03-5829-8581","90"
"営利法人","テンダーラビング保育園東日本橋","103-0004","中央区東日本橋１－４－６　東日本橋一丁目ビル１・２Ｆ","139.786219","35.691009","JGD2011","03-5825-4324","70"
"営利法人","ナーサリールーム　ベリーベアー日本橋","103-0005","中央区日本橋久松町","139.785080","35.688832","JGD2011","03-5847-4067","60"
"営利法人","あい保育園日本橋","103-0006","中央区日本橋富沢町９番１０号","139.782857","35.689526","JGD2011","03-6264-9465","60"
"営利法人","さくらさくみらい人形町","103-0006","中央区日本橋富沢町２－６","139.783727","35.687879","JGD2011","03-6231-0597","74"
"社福法人","かふう保育園日本橋","103-0006","中央区日本橋富沢町１０－１８　ユニゾ東日本橋ビル２Ｆ","139.781916","35.689551","JGD2011","03-6661-7087","70"
"区市町村","浜町保育園","103-0007","中央区日本橋浜町３－３７－１","139.791302","35.685518","JGD2011","03-3668-2353","125"
"社福法人","キッズハウス浜町公園","103-0007","中央区日本橋浜町２－４４－４　第１７村上ビル１・２Ｆ","139.788069","35.687621","JGD2011","03-6264-9870","60"
"区市町村","中央区立堀留町保育園","103-0012","中央区日本橋堀留町１－１－１－２Ｆ","139.778963","35.687412","JGD2011","03-5641-0125","81"
"営利法人","ほっぺるランド日本橋堀留町","103-0012","中央区日本橋堀留町二丁目８番４号　日本橋コアビル１階","139.781402","35.688654","JGD2011","03-6661-7579","70"
"区市町村","人形町保育園","103-0013","中央区日本橋人形町２－１４－５","139.784849","35.684604","JGD2011","03-3669-3450","105"
"営利法人","モニカ人形町園","103-0013","中央区日本橋人形町三丁目７番５号","139.781357","35.68664","JGD2011","03-6264-9244","60"
"区市町村","日本橋保育園","103-0014","中央区日本橋蛎殻町１－１－２","139.783526","35.68076","JGD2011","03-3666-9584","91"
"営利法人","グローバルキッズかきがら園","103-0014","中央区日本橋蛎殻町一丁目１６番１１号　ユニゾ蛎殻町一丁目ビル１・２階","139.782554","35.683143","JGD2011","03-3666-5411","45"
"営利法人","あい保育園水天宮","103-0014","中央区日本橋蛎殻町一丁目２９番９号","139.783874","35.683121","JGD2011","03-6264-9202","90"
"営利法人","学栄ナーサリー日本橋蛎殻町保育園","103-0014","中央区日本橋蛎殻町２－１５－５","139.786785","35.684335","JGD2011","03-6661-7945","156"
"営利法人","コビープリスクールはこざき","103-0015","中央区日本橋箱崎町１７番９号　箱崎升喜ビル１・２階","139.785154","35.680571","JGD2011","03-6661-7046","70"
"区市町村","中央区立八丁堀保育園","104-0032","中央区八丁堀４－５－１０","139.775874","35.674013","JGD2011","03-3537-6551","79"
"営利法人","太陽の子新川保育園","104-0033","中央区新川一丁目２４番１号　ユニゾ新川永代通りビル２階","139.785276","35.676788","JGD2011","03-6222-6611","95"
"営利法人","あい保育園新川","104-0033","中央区新川１－２６－９　新川イワデビル１、２階","139.78404","35.676027","JGD2011","03-5542-0848","80"
"営利法人","日生新川保育園ひびき","104-0033","中央区新川２－３０－３","139.782943","35.672819","JGD2011","03-6262-8715","80"
"区市町村","桜川保育園","104-0042","中央区入船１－１－１３","139.778213","35.673752","JGD2011","03-3553-0020","115"
"社福法人","ブライト保育園東京入船","104-0042","中央区入船３－５－１０　藤和入船ビル２Ｆ","139.77628","35.67085","JGD2011","03-5540-0190","50"
"営利法人","ＴＫチルドレンズファーム湊校","104-0043","中央区湊１－２－９　ＴＫオフィスビルディング","139.778860","35.672972","JGD2011","03-6222-9440","60"
"区市町村","明石町保育園","104-0044","中央区明石町１２－１","139.777035","35.666506","JGD2011","03-3542-0020","128"
"他の法人","ぽけっとランド明石町保育園","104-0044","中央区明石町７番１５号　２・３階","139.778736","35.66769","JGD2011","03-5148-1102","91"
"区市町村","築地保育園","104-0045","中央区築地４－１５－１","139.76815","35.666378","JGD2011","03-3543-3156","123"
"区市町村","つくだ保育園","104-0051","中央区佃２－２－２","139.786907","35.666867","JGD2011","03-3531-3595","131"
"社福法人","みちてる保育園","104-0051","中央区佃二丁目２２番２号","139.786718","35.666509","JGD2011","03-3531-8809","66"
"営利法人","保育所まぁむ月島駅前園","104-0051","中央区佃２－１０－９　ライオンズタワー月島","139.784438","35.666095","JGD2011","03-3520-8600","80"
"営利法人","ほっぺるランド佃","104-0051","中央区佃１－１１－８－２Ｆ","139.784415","35.669775","JGD2011","03-3532-5230","92"
"区市町村","月島保育園","104-0052","中央区月島２－１０－３","139.783929","35.663187","JGD2011","03-3531-6933","128"
"営利法人","太陽の子月島保育園","104-0052","中央区月島一丁目５番２号　キャピタルゲートプレイス２階","139.783246","35.663904","JGD2011","03-5547-8343","95"
"営利法人","アンジェリカ月島保育園","104-0052","中央区月島二丁目１３番５号　２・３階","139.783555","35.662854","JGD2011","03-6204-9344","100"
"社福法人","月島聖ルカ保育園","104-0052","中央区月島四丁目５番８号","139.783313","35.66044","JGD2011","03-3533-6231","102"
"営利法人","月島雲母保育園","104-0052","中央区月島３－２６－１１","139.778513","35.662159","JGD2011","03-6864-9810","50"
"営利法人","さくらさくみらい　月の岬","104-0052","中央区月島四丁目４番１１号","139.783382","35.660876","JGD2011","03-3520-9833","65"
"区市町村","晴海保育園","104-0053","中央区晴海１－５－１５","139.784543","35.659549","JGD2011","03-3533-1463","107"
"営利法人","ポピンズナーサリースクール晴海","104-0053","中央区晴海二丁目１番４０号　晴海フロント２階","139.783977","35.655899","JGD2011","03-5547-8487","96"
"営利法人","アスク晴海３丁目保育園","104-0053","中央区晴海三丁目１０番１号　グラスシティ晴海１階","139.779116","35.654038","JGD2011","03-5547-8019","45"
"営利法人","さくらさくみらい晴海","104-0053","中央区晴海２－５－２４","139.782546","35.655393","JGD2011","03-3520-9811","26"
"区市町村","かちどき西保育園","104-0054","中央区勝どき１－８－１－３Ｆ","139.776583","35.659665","JGD2011","03-3534-7681","120"
"区市町村","勝どき保育園","104-0054","中央区勝どき１－４－１","139.777208","35.660368","JGD2011","03-3531-5901","133"
"営利法人","まなびの森保育園勝どき","104-0054","中央区勝どき三丁目３番７号　ＫＮリバーシティ２階","139.774891","35.659223","JGD2011","03-6220-8786","70"
"営利法人","アスク勝どき保育園","104-0054","中央区勝どき四丁目８番１４号","139.775597","35.656912","JGD2011","03-3536-7402","80"
"営利法人","ほっぺるランド勝どき","104-0054","中央区勝どき三丁目４番４号","139.775683","35.659082","JGD2011","03-5859-0450","130"
"営利法人","ベネッセ勝どき保育園","104-0054","中央区勝どき５－１－１７　勝どきザ・リバーフロント２Ｆ","139.772575","35.658046","JGD2011","03-3534-7661","45"
"営利法人","ほっぺるランド新島橋かちどき","104-0054","中央区勝どき５－２－１５－１・２階","139.773405","35.657193","JGD2011","03-6228-2250","114"
"営利法人","勝どきえほん保育園","104-0054","中央区勝どき６－１－９","139.774159","35.65594","JGD2011","03-6204-2401","90"
"営利法人","ニチイキッズさわやか勝どき６丁目保育園","104-0054","中央区勝どき六丁目３番１号","139.774347","35.654724","JGD2011","03-3531-8854","105"
"営利法人","グローバルキッズ虎ノ門保育園","105-0001","港区虎ノ門三丁目１９番１３号　虎ノ門スピリットビル３階","139.746896","35.663042","JGD2011","03-5473-7668","56"
"他の法人","こころ新橋保育園","105-0004","港区新橋６丁目４番３号　ル・グラシエルビル７号館２階","139.754179","35.662261","JGD2011","03-6432-0941","60"
"区市町村","芝公園保育園","105-0011","港区芝公園二丁目７番３号","139.750638","35.654215","JGD2011","03-3438-0435","154"
"区市町村","神明保育園","105-0013","港区浜松町一丁目６番７号","139.757554","35.658826","JGD2011","03-5733-6822","170"
"営利法人","小鳩ナーサリースクール浜離宮","105-0013","港区浜松町１－３、４、５","139.757308","35.659792","JGD2011","03-6432-0123","20"
"営利法人","アスク芝公園保育園","105-0014","港区芝二丁目１２番１６号","139.752563","35.651554","JGD2011","03-5439-9398","60"
"営利法人","太陽の子芝浦一丁目保育園","105-0023","港区芝浦一丁目９番７号　芝浦おもだかビル２階、３階","139.753474","35.648116","JGD2011","03-5439-5251","66"
"営利法人","太陽の子シーバンス保育園","105-0023","港区芝浦一丁目２番２号　シーバンスアモール３階","139.756479","35.649913","JGD2011","03-5439-4014","99"
"営利法人","アンジェリカ田町保育園","105-0023","港区芝浦一丁目６番４１号　グローバルフロントタワー１階","139.755299","35.647466","JGD2011","03-6435-2157","60"
"区市町村","西麻布保育園","106-0031","港区西麻布二丁目１３番３号","139.722721","35.660902","JGD2011","03-3409-4924","133"
"社福法人","コスモス西麻布保育園","106-0031","港区西麻布２丁目２番２号　ＮＫホームズ１階Ｂ","139.720288","35.663688","JGD2011","03-6427-3733","30"
"区市町村","麻布保育園","106-0032","港区六本木五丁目１６番４６号","139.73552","35.661047","JGD2011","03-5545-7135","154"
"営利法人","まちの保育園六本木","106-0032","港区六本木一丁目９番１０号　アークヒルズ仙石山森タワー","139.741805","35.663691","JGD2011","03-6441-2478","70"
"区市町村","飯倉保育園","106-0044","港区東麻布一丁目２１番２号","139.743536","35.655859","JGD2011","03-3583-1786","140"
"区市町村","東麻布保育園","106-0044","港区東麻布２丁目１番１号","139.742619","35.658211","JGD2011","03-3584-3811","170"
"営利法人","あい・あい保育園麻布十番園","106-0044","港区東麻布２丁目３２番７号","139.740453","35.656031","JGD2011","03-5545-5461","50"
"営利法人","ふたばクラブ東麻布保育園","106-0044","港区東麻布１－５","139.743194"," 35.658089 ","JGD2011","03-5797-8728","39"
"営利法人","あい保育園元麻布","106-0046","港区元麻布三丁目２番１９号　ＭＯＭＯＮ六本木ビル２階","139.727343","35.657392","JGD2011","03-6447-1871","60"
"区市町村","南麻布保育園","106-0047","港区南麻布四丁目２番２９号","139.724068","35.647821","JGD2011","03-3442-8068","105"
"区市町村","本村保育園","106-0047","港区南麻布四丁目６番７号","139.72741","35.651037","JGD2011","03-3444-2385","112"
"営利法人","まなびの森保育園麻布","106-0047","港区南麻布一丁目８番１１号（東町小学校内）","139.735478","35.650701","JGD2011","03-3455-3066","60"
"営利法人","太陽の子南麻布保育園","106-0047","港区南麻布四丁目１１番３０号　南麻布渋谷ビル２階","139.727157","35.646982","JGD2011","03-5488-8070","70"
"営利法人","あい保育園南麻布","106-0047","港区南麻布二丁目１１番１０号　ＯＪビル３階","139.735745","35.647626","JGD2011","03-6453-7970","128"
"区市町村","赤坂保育園","107-0052","港区赤坂五丁目５番２６号","139.73405","35.671029","JGD2011","03-3583-2156","105"
"社福法人","赤坂ちとせ保育園","107-0052","港区赤坂四丁目７番１５号　陽栄光和ビル１階","139.734011","35.675501","JGD2011","03-6459-1012","50"
"営利法人","太陽の子赤坂保育園","107-0052","港区赤坂八丁目１２番１６号　ＮＯＺＹ　ＡＫＡＳＡＫＡ１階、２階、３階","139.730486","35.66999","JGD2011","03-6434-9431","60"
"区市町村","青山保育園","107-0061","港区北青山三丁目４番１４号","139.714038","35.668021","JGD2011","03-3401-1723","99"
