公金支出情報（平成３１年度　給与関係費等）,,,,,,,,,,
,,,,,,,（単位：円）,,,
,給料,手当及び退職給付費,賃金及び報酬,法定福利費,報償費,災害補償費,総計,,,
平成31年04月,"725,317,432","830,400,880","33,535,634","223,280,982","314,344",0,"1,812,849,272",,,
令和元年05月,"726,438,112","282,659,497","22,456,026","200,087,884","1,531,570",0,"1,233,173,089",,,
令和元年06月,"725,793,245","2,407,847,481","22,247,377","570,428,707","1,352,587",0,"3,727,669,397",,,
令和元年07月,"725,500,128","301,751,240","21,923,460","211,290,760","1,608,134",0,"1,262,073,722",,,
令和元年08月,"725,613,429","280,048,979","21,917,536","193,282,216","1,330,568",0,"1,222,192,728",,,
令和元年09月,"725,568,179","260,430,254","22,300,880","470,210,087","1,088,320",0,"1,479,597,720",,,
令和元年10月,"726,013,843","551,331,245","34,198,202","200,291,999","4,049,454",0,"1,515,884,743",,,
令和元年11月,"724,169,326","306,369,903","22,662,648","195,162,115","1,564,736",0,"1,249,928,728",,,
令和元年12月,"722,987,850","2,413,915,200","22,789,460","586,201,078","1,235,847",0,"3,747,129,435",,,
令和02年01月,"721,553,307","282,640,442","22,674,400","217,670,254","1,212,402",0,"1,245,750,805",,,
令和02年02月,"720,759,940","354,919,700","22,655,760","196,018,438","1,280,585",0,"1,295,634,423",,,
令和02年03月,"721,951,657","304,851,229","22,499,420","207,647,269","2,216,641",0,"1,259,166,216",,,
総計,"8,691,666,448","8,577,166,050","291,860,803","3,471,571,789","18,785,188",0,"21,051,050,278",,,
