項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,731,-,-,100,-,103,-,101,-,113,-,102,-,104,-,108,-
0,世帯人員,2.94,-,-,2.55,-,2.79,-,2.99,-,3.1,-,3.07,-,2.97,-,3.13,-
0,有業人員,1.29,-,-,1.1,-,1.23,-,1.24,-,1.37,-,1.31,-,1.33,-,1.45,-
0,世帯主平均年齢,59.5,-,-,64.3,-,59.7,-,61.6,-,55.8,-,59.8,-,58.3,-,57.1,-
0,消費支出,342146,100,-9.8,126940,100,196315,100,254086,100,303049,100,353745,100,435324,100,722727,100
2,基礎的支出,204677,59.8,-,98139,77.3,143084,72.9,169392,66.7,188407,62.2,208016,58.8,239460,55,384792,53.2
3,選択的支出,137469,40.2,-,28801,22.7,53231,27.1,84695,33.3,114642,37.8,145729,41.2,195865,45,337934,46.8
1,食料,112436,32.9,-0.7,58947,46.4,83323,42.4,101631,40,112384,37.1,121255,34.3,142634,32.8,166274,23
2,基礎的支出,88677,25.9,-,51063,40.2,71613,36.5,83693,32.9,88721,29.3,98402,27.8,106738,24.5,120099,16.6
3,選択的支出,23759,6.9,-,7884,6.2,11710,6,17938,7.1,23663,7.8,22853,6.5,35896,8.2,46175,6.4
1,住居,32162,9.4,-9.3,5608,4.4,12829,6.5,20252,8,17404,5.7,21141,6,30278,7,117111,16.2
2,基礎的支出,29475,8.6,-,5430,4.3,12184,6.2,19458,7.7,16391,5.4,19073,5.4,24945,5.7,108375,15
3,選択的支出,2687,0.8,-,178,0.1,645,0.3,794,0.3,1013,0.3,2068,0.6,5333,1.2,8737,1.2
1,光熱・水道,19366,5.7,-22.8,12994,10.2,18002,9.2,19671,7.7,20851,6.9,19251,5.4,20053,4.6,24656,3.4
2,基礎的支出,19366,5.7,-22.8,12994,10.2,18002,9.2,19671,7.7,20851,6.9,19251,5.4,20053,4.6,24656,3.4
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,13597,4,-8.5,4759,3.7,7213,3.7,9197,3.6,12592,4.2,16695,4.7,17325,4,27307,3.8
2,基礎的支出,9356,2.7,-,4209,3.3,5782,2.9,6868,2.7,8585,2.8,12167,3.4,9700,2.2,18131,2.5
3,選択的支出,4241,1.2,-,550,0.4,1431,0.7,2329,0.9,4006,1.3,4528,1.3,7624,1.8,9176,1.3
1,被服及び履物,17544,5.1,-0.6,4531,3.6,7813,4,10993,4.3,14372,4.7,19170,5.4,28166,6.5,37602,5.2
2,基礎的支出,1319,0.4,-,683,0.5,1086,0.6,685,0.3,1291,0.4,1279,0.4,2036,0.5,2161,0.3
3,選択的支出,16225,4.7,-,3849,3,6727,3.4,10308,4.1,13081,4.3,17891,5.1,26131,6,35441,4.9
1,保健医療,17293,5.1,2.7,7678,6,10318,5.3,10989,4.3,14302,4.7,15882,4.5,24822,5.7,36912,5.1
2,基礎的支出,15009,4.4,-,7125,5.6,9306,4.7,8954,3.5,11855,3.9,13460,3.8,21353,4.9,32879,4.5
3,選択的支出,2284,0.7,-,553,0.4,1013,0.5,2035,0.8,2447,0.8,2423,0.7,3469,0.8,4033,0.6
1,交通・通信,28542,8.3,-22.2,8033,6.3,13572,6.9,20805,8.2,29772,9.8,33723,9.5,37246,8.6,56434,7.8
2,基礎的支出,11227,3.3,-,4597,3.6,6001,3.1,8667,3.4,12237,4,11308,3.2,15492,3.6,20213,2.8
3,選択的支出,17315,5.1,-,3437,2.7,7571,3.9,12138,4.8,17535,5.8,22415,6.3,21754,5,36221,5
1,教育,13487,3.9,18.9,431,0.3,2355,1.2,4054,1.6,7398,2.4,6281,1.8,19221,4.4,54415,7.5
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,13487,3.9,18.9,431,0.3,2355,1.2,4054,1.6,7398,2.4,6281,1.8,19221,4.4,54415,7.5
1,教養娯楽,40429,11.8,-13,10690,8.4,20001,10.2,28070,11,29487,9.7,41549,11.7,55333,12.7,97458,13.5
2,基礎的支出,7222,2.1,-,4153,3.3,6064,3.1,7384,2.9,6653,2.2,6941,2,9126,2.1,10188,1.4
3,選択的支出,33208,9.7,-,6537,5.1,13937,7.1,20686,8.1,22835,7.5,34608,9.8,46207,10.6,87270,12.1
1,その他の消費支出,47289,13.8,-23.2,13269,10.5,20887,10.6,28426,11.2,44487,14.7,58798,16.6,60245,13.8,104557,14.5
2,基礎的支出,23027,6.7,-,7886,6.2,13045,6.6,14013,5.5,21824,7.2,26136,7.4,30017,6.9,48090,6.7
3,選択的支出,24262,7.1,-,5383,4.2,7842,4,14413,5.7,22663,7.5,32662,9.2,30228,6.9,56466,7.8
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成27年12月,,,,,,,,,,,,,,,,,,
第１５表　生計支出７分位階層別１世帯当たり１か月間の基礎的・選択的支出　―全世帯―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
