区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,742,-,-,99,-,113,-,106,-,107,-,110,-,105,-,102,-
0,0,世帯人員,2.96,-,-,2.65,-,2.86,-,2.94,-,3.09,-,2.96,-,3.1,-,3.11,-
0,0,有業人員,1.28,-,-,1.1,-,1.28,-,1.24,-,1.31,-,1.32,-,1.38,-,1.36,-
0,0,世帯主平均年齢,58.7,-,-,63.4,-,60.8,-,57.5,-,58.1,-,57.8,-,57,-,56,-
0,0,消費支出,293251,100,4.5,102004,100,163865,100,199913,100,241308,100,291976,100,353015,100,699028,100
1,0,商品,147277,50.2,-,75370,73.9,98430,60.1,116768,58.4,125735,52.1,156400,53.6,166569,47.2,291012,41.6
1,1,耐久財,15199,5.2,41.1,835,0.8,3833,2.3,4510,2.3,4484,1.9,12013,4.1,11013,3.1,69598,10
1,2,半耐久財,27313,9.3,-,6469,6.3,10813,6.6,14039,7,19055,7.9,31389,10.8,34531,9.8,74688,10.7
1,3,非耐久財,104764,35.7,-,68066,66.7,83783,51.1,98220,49.1,102195,42.4,112998,38.7,121025,34.3,146726,21
1,0,サービス,145974,49.8,-,26635,26.1,65436,39.9,83145,41.6,115573,47.9,135576,46.4,186446,52.8,408016,58.4
2,0,食料,86912,29.6,-2.7,50993,50,64712,39.5,78995,39.5,80320,33.3,93583,32.1,105986,30,133420,19.1
2,3,非耐久財,67508,23,-2.1,46231,45.3,53988,32.9,65297,32.7,64621,26.8,71344,24.4,78714,22.3,92145,13.2
2,4,サービス,19405,6.6,-4.7,4762,4.7,10724,6.5,13698,6.9,15699,6.5,22239,7.6,27272,7.7,41275,5.9
2,0,住居,29082,9.9,25.5,3371,3.3,11883,7.3,20851,10.4,24269,10.1,16974,5.8,37178,10.5,88877,12.7
2,1,耐久財,1389,0.5,-38.5,29,0,209,0.1,197,0.1,-,-,210,0.1,5,0,9069,1.3
2,2,半耐久財,140,0,-11.4,55,0.1,279,0.2,89,0,62,0,135,0,142,0,218,0
2,4,サービス,27553,9.4,32.8,3287,3.2,11395,7,20565,10.3,24207,10,16629,5.7,37030,10.5,79590,11.4
2,0,光熱・水道（非耐久財）,16883,5.8,-17.1,11634,11.4,13861,8.5,16952,8.5,18714,7.8,18823,6.4,18173,5.1,20002,2.9
2,0,家具・家事用品,12220,4.2,12.6,2855,2.8,4716,2.9,7686,3.8,8201,3.4,10719,3.7,13798,3.9,37489,5.4
2,1,耐久財,5732,2,43.3,218,0.2,795,0.5,1994,1,3054,1.3,3613,1.2,6565,1.9,23844,3.4
2,2,半耐久財,3110,1.1,-14.9,1011,1,1524,0.9,2917,1.5,2213,0.9,3573,1.2,3813,1.1,6697,1
2,3,非耐久財,2466,0.8,-3.9,1487,1.5,2061,1.3,2495,1.2,2415,1,2780,1,2708,0.8,3306,0.5
2,4,サービス,912,0.3,42.5,139,0.1,335,0.2,280,0.1,519,0.2,753,0.3,713,0.2,3642,0.5
2,0,被服及び履物,16725,5.7,-4.9,4438,4.4,6748,4.1,7911,4,12075,5,20682,7.1,20950,5.9,44152,6.3
2,2,半耐久財,15789,5.4,-3.2,4343,4.3,6114,3.7,7552,3.8,11514,4.8,19448,6.7,19688,5.6,41753,6
2,4,サービス,936,0.3,-26.7,95,0.1,634,0.4,359,0.2,561,0.2,1234,0.4,1262,0.4,2399,0.3
2,0,保健医療,17617,6,2.7,5781,5.7,11094,6.8,11614,5.8,10117,4.2,25730,8.8,17782,5,41049,5.9
2,1,耐久財,847,0.3,-16,128,0.1,1028,0.6,203,0.1,543,0.2,1878,0.6,422,0.1,1715,0.2
2,2,半耐久財,613,0.2,23.8,22,0,99,0.1,621,0.3,223,0.1,34,0,2947,0.8,325,0
2,3,非耐久財,4796,1.6,-1,2201,2.2,3795,2.3,3911,2,4103,1.7,5474,1.9,5713,1.6,8343,1.2
2,4,サービス,11362,3.9,5.1,3430,3.4,6172,3.8,6878,3.4,5248,2.2,18344,6.3,8701,2.5,30666,4.4
2,0,交通・通信,36090,12.3,18.8,7099,7,16799,10.3,19163,9.6,27320,11.3,34378,11.8,47839,13.6,99759,14.3
2,1,耐久財,4044,1.4,304,173,0.2,-,-,948,0.5,468,0.2,2574,0.9,727,0.2,23405,3.3
2,2,半耐久財,1987,0.7,100.7,54,0.1,114,0.1,68,0,643,0.3,1481,0.5,747,0.2,10793,1.5
2,3,非耐久財,1788,0.6,-24.7,387,0.4,1021,0.6,1453,0.7,2025,0.8,2215,0.8,2101,0.6,3304,0.5
2,4,サービス,28271,9.6,8.6,6485,6.4,15664,9.6,16694,8.4,24183,10,28107,9.6,44263,12.5,62257,8.9
2,0,教育,13919,4.7,34.8,665,0.7,2527,1.5,4843,2.4,7727,3.2,9845,3.4,11495,3.3,60262,8.6
2,3,非耐久財,116,0,-35.2,-,-,6,0,53,0,208,0.1,220,0.1,162,0,163,0
2,4,サービス,13803,4.7,36,665,0.7,2521,1.5,4790,2.4,7519,3.1,9626,3.3,11333,3.2,60100,8.6
2,0,教養娯楽,39656,13.5,7.9,8919,8.7,17561,10.7,19293,9.7,31632,13.1,39093,13.4,51371,14.6,109458,15.7
2,1,耐久財,2805,1,22.7,163,0.2,1674,1,457,0.2,303,0.1,3642,1.2,3176,0.9,10179,1.5
2,2,半耐久財,3864,1.3,-,736,0.7,1795,1.1,1687,0.8,3587,1.5,4795,1.6,5020,1.4,9401,1.3
2,3,非耐久財,6443,2.2,-,4043,4,5008,3.1,4986,2.5,6098,2.5,6986,2.4,7340,2.1,10621,1.5
2,4,サービス,26544,9.1,-,3977,3.9,9084,5.5,12162,6.1,21644,9,23671,8.1,35836,10.2,79258,11.3
2,0,諸雑費,24147,8.2,-2.6,6250,6.1,13964,8.5,12605,6.3,20933,8.7,22149,7.6,28443,8.1,64560,9.2
2,1,耐久財,382,0.1,73.6,123,0.1,127,0.1,710,0.4,116,0,96,0,119,0,1386,0.2
2,2,半耐久財,1810,0.6,-29.7,248,0.2,888,0.5,1104,0.6,813,0.3,1924,0.7,2174,0.6,5501,0.8
2,3,非耐久財,4765,1.6,-8.4,2083,2,4043,2.5,3073,1.5,4011,1.7,5157,1.8,6115,1.7,8844,1.3
2,4,サービス,17189,5.9,2.4,3796,3.7,8907,5.4,7718,3.9,15993,6.6,14973,5.1,20036,5.7,48828,7
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成27年11月,,,,,,,,,,,,,,,,,,,
