年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成20年平均,2008,,24.5,42.3,35.7,31.2,28.5,25.9,23.6,15.6
nen,平成21年平均,2009,,24.3,44.1,35.5,30.9,28.2,26.5,23.2,15.2
nen,平成22年平均,2010,,23.7,43.1,35.1,31.1,28.3,26,22.2,14.3
nen,平成23年平均,2011,,24.8,43.8,36.2,31.5,28.8,26.5,23.9,15.5
nen,平成24年平均,2012,,24.5,42.6,35,31.7,29.1,27.1,23.4,15.2
nen,平成25年平均,2013,,24.1,43.7,35.8,32.5,28.8,26.5,23.9,14
nen,平成26年平均,2014,,25,44.4,36.2,31.8,29.9,27.5,24.7,15.4
tuki,平成26年6月,2014,6,26.3,46.8,35.8,32.4,32.4,28.2,25,16.6
tuki,平成26年7月,2014,7,24.7,46.1,36.3,32.3,28.9,29.7,23.6,14.3
tuki,平成26年8月,2014,8,26.8,45.1,36.4,33.6,30.7,28.1,27.2,16.9
tuki,平成26年9月,2014,9,24.2,47.3,35.6,34.4,31.3,29.4,24.8,12.4
tuki,平成26年10月,2014,10,25.7,46.2,37.6,34.4,30.8,27.3,25.3,15.5
tuki,平成26年11月,2014,11,26.9,45.3,37.9,31.8,29,28.1,26.4,18.4
tuki,平成26年12月,2014,12,27,46.1,35.8,32.4,33,27.5,26.3,18.5
tuki,平成27年1月,2015,1,22.9,42.1,32.6,29.2,26.3,26.6,22.5,14.4
tuki,平成27年2月,2015,2,24.5,45,36.4,30.9,29,28,25.4,14.3
tuki,平成27年3月,2015,3,24.9,43.6,33,30.2,28.2,26.9,24.1,17.1
tuki,平成27年4月,2015,4,22.3,44.6,35.6,30.4,28.1,28,24.5,11.6
tuki,平成27年5月,2015,5,24.5,44.6,35.5,33.9,30.8,26.9,25.6,13.9
tuki,平成27年6月,2015,6,25.6,45.6,37.4,35.9,29.8,29.1,25.1,14.8
,,,,,,,,,,,
東京都生計分析調査　平成27年6月,,,,,,,,,,,
主要指標４　―全世帯，生計支出７分位階層別―,,,,,,,,,,,
エンゲル係数〔＝（食料費÷消費支出）×１００〕,,,,,,,,,,,
