実数・増加率,年次・四半期・月次コード,年次・四半期・月次,西暦（年）,月,調査世帯数（世帯）,世帯人員（人）,有業人員（人）,世帯主平均年齢（歳）,実収入（円）,実収入／経常収入（円）,実収入／経常収入／勤め先収入（円）,実収入／経常収入／勤め先収入／世帯主の定期収入（円）,実収入／経常収入／勤め先収入／世帯主の臨時収入・賞与（円）,実収入／経常収入／勤め先収入／配偶者・他の世帯員収入（円）,実収入／経常収入／事業・内職収入（円）,実収入／経常収入／他の経常収入（円）,実収入／特別収入（円）,実収入以外の受取(繰入金を除く)（円）,繰入金（円）,可処分所得（円）,貯蓄純増（円）,平均消費性向（％）,実支出（円）,実支出／生計支出（円）,実支出／生計支出／消費支出（円）,実支出／生計支出／消費支出／食料（円）,実支出／生計支出／消費支出／住居（円）,実支出／生計支出／消費支出／光熱・水道（円）,実支出／生計支出／消費支出／家具・家事用品（円）,実支出／生計支出／消費支出／被服及び履物（円）,実支出／生計支出／消費支出／保健医療（円）,実支出／生計支出／消費支出／交通・通信（円）,実支出／生計支出／消費支出／教育（円）,実支出／生計支出／消費支出／教養娯楽（円）,実支出／生計支出／消費支出／その他の消費支出（円）,実支出／生計支出／土地家屋購入（円）,実支出／その他の実支出（円）,実支出以外の支払(繰越金を除く)（円）,繰越金（円）
jissu,nen,実数_平成23年平均,2011,,402,3.37,1.55,47.5,565071,557355,530796,408004,67011,55781,3525,23035,7716,427916,77977,457212,79715,73.8,463261,355402,337458,79519,26425,20711,10678,16167,13493,40125,29246,39908,61187,17944,107860,536258,71445
jissu,nen,実数_平成24年平均,2012,,394,3.29,1.59,48,575440,565795,539670,407466,70608,61596,4119,22006,9645,450785,75945,463181,82089,75.2,472720,360461,348158,80151,28584,22436,11281,17527,14225,43413,27915,39868,62758,12304,112259,560303,69147
jissu,nen,実数_平成25年平均,2013,,384,3.37,1.64,47.1,578628,570606,549846,408351,74067,67428,2811,17949,8022,473520,76044,465083,72068,78.2,500147,386602,363721,83196,33120,22869,11908,18206,14311,47836,27464,40441,64369,22881,113545,564863,63181
jissu,nen,実数_平成26年平均,2014,,361,3.35,1.62,48.4,585636,576120,553922,414967,79231,59724,4654,17544,9516,446197,74365,465913,90951,75.8,476753,357031,353261,83860,29430,22907,13005,18629,13153,46330,25194,41353,59400,3770,119723,567144,62301
jissu,sihan,実数_平成26年7～9月,2014,7～9,360,3.34,1.6,48.7,528391,522778,505672,399821,56051,49801,5173,11932,5614,437429,78134,419620,49104,83.9,467516,358744,352179,84053,24879,19345,12231,15536,13981,59673,21095,43038,58348,6565,108771,511423,65017
jissu,sihan,実数_平成26年10～12月,2014,10～12,362,3.35,1.61,48.8,658106,646732,616122,404245,145030,66847,8778,21832,11374,458549,71693,533462,147413,67,484353,359708,357481,91158,31749,21447,12814,19313,14465,40178,22345,43292,60720,2228,124645,637122,66872
jissu,sihan,実数_平成27年1～3月,2015,1～3,373,3.35,1.64,48.3,504213,493281,470391,"405,129","8,533","56,729","5,675","17,216","10,931","475,149","77,526","407,017","22,433",89.6,"484,146","386,951",364590,"85,003","26,302","30,403","11,334","20,472","14,498","50,216","27,401","37,623","61,338","22,360","97,196","506,005","66,737"
jissu,sihan,実数_平成27年4～6月,2015,4～6,369,3.34,1.68,48.3,622160,614116,583300,"405,985","113,883","63,432","3,090","27,726","8,044","495,882","73,141","484,466","94,377",77.3,"525,410","387,716",374522,"84,950","26,991","23,636","12,357","19,160","12,064","43,670","45,601","38,333","67,760","13,194","137,694","601,629","64,144"
jissu,sihan,実数_平成27年7～9月,2015,7～9,373,3.25,1.61,48.8,513047,509501,495202,"404,169","38,622","52,410","3,285","11,015","3,546","414,348","73,445","412,381","62,638",80,"430,691","330,026",330026,"85,726","27,612","17,768","11,535","15,016","12,709","39,434","22,126","44,864","53,235",-,"100,666","508,486","61,663"
jissu,tuki,実数_平成26年10月,2014,10,364,3.34,1.6,48.7,519617,514570,470947,"414,068","7,437","49,441","7,130","36,494","5,047","436,411","70,059","413,949","49,586",81.8,"450,873","345,204",338522,"84,221","33,492","19,997","12,907","17,039","12,881","38,470","30,191","38,240","51,085","6,683","105,669","512,646","62,569"
