年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成21年平均,2009,,74.1,216.7,99.6,83.9,78.2,81.2,70.2,46.7
nen,平成22年平均,2010,,73.2,215.7,100,89.3,80.1,77.2,71.6,43.6
nen,平成23年平均,2011,,73.8,230,99.6,82.9,82.1,75.6,68.7,46.8
nen,平成24年平均,2012,,75.2,201.6,100.2,87.6,83,78.1,75.1,46.7
nen,平成25年平均,2013,,78.2,306.9,114.2,88.7,81,76.2,75.8,48
nen,平成26年平均,2014,,75.8,271.9,107.1,83.7,82.2,78.9,75,44.5
nen,平成27年平均,2015,,77,332.2,116.1,85.4,81.4,77.6,74.4,47.8
tuki,平成26年12月,2014,12,50.8,254.4,110.9,80.6,62.8,45.4,38.9,31.1
tuki,平成27年1月,2015,1,94.5,348.5,128.4,114.8,91.1,77.8,74.4,76.2
tuki,平成27年2月,2015,2,82.2,255.7,95.8,80.1,85.9,65.9,71.7,74.3
tuki,平成27年3月,2015,3,92.3,883.7,129.8,87.9,92.1,86.1,69.8,71.7
tuki,平成27年4月,2015,4,100.3,245.1,116.7,85.5,89.1,115.7,87.1,89.2
tuki,平成27年5月,2015,5,99.7,969.3,134.2,97.7,97.2,90.1,77.7,79
tuki,平成27年6月,2015,6,49.6,220.2,81.4,73.6,67.1,60.7,48.2,25
tuki,平成27年7月,2015,7,70.5,632,110.5,86.1,71.9,70.8,68.2,38.3
tuki,平成27年8月,2015,8,82.6,275.9,92.6,77.9,78.8,78.9,68.5,70.3
tuki,平成27年9月,2015,9,89.4,686.2,126.6,88.9,81.2,73.7,85,66.1
tuki,平成27年10月,2015,10,78.8,240.5,97,75.6,59.2,63.9,89.2,62.6
tuki,平成27年11月,2015,11,91.4,462,177.2,81.9,79.3,83.4,73.8,66.7
tuki,平成27年12月,2015,12,45.5,207.9,117.7,73.9,60.3,44,30.1,25.9
,,,,,,,,,,,
東京都生計分析調査　平成27年12月,,,,,,,,,,,
主要指標５　―勤労者世帯，勤め先収入７分位階層別―,,,,,,,,,,,
平均消費性向〔＝（消費支出÷可処分所得）×１００〕,,,,,,,,,,,
