項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,731,-,-,100,-,103,-,101,-,113,-,102,-,104,-,108,-
0,0,世帯人員,2.94,-,-,2.55,-,2.79,-,2.99,-,3.1,-,3.07,-,2.97,-,3.13,-
0,0,有業人員,1.29,-,-,1.1,-,1.23,-,1.24,-,1.37,-,1.31,-,1.33,-,1.45,-
0,0,世帯主平均年齢,59.5,-,-,64.3,-,59.7,-,61.6,-,55.8,-,59.8,-,58.3,-,57.1,-
0,0,消費支出,342146,-,-9.8,126940,-,196315,-,254086,-,303049,-,353745,-,435324,-,722727,-
0,0,公共的料金,83690,24.5,-8,33863,26.7,54760,27.9,73450,28.9,77078,25.4,80477,22.8,103473,23.8,162035,22.4
1,0,公共料金等,55384,16.2,-8.8,25528,20.1,40563,20.7,48911,19.2,53413,17.6,56619,16,70085,16.1,92181,12.8
1,1,米,2369,0.7,22.7,1323,1,1368,0.7,1690,0.7,1878,0.6,2546,0.7,4484,1,3280,0.5
1,1,食塩,61,0,24.5,37,0,31,0,76,0,50,0,52,0,71,0,107,0
1,1,学校給食,831,0.2,-6.7,112,0.1,640,0.3,580,0.2,632,0.2,1296,0.4,1645,0.4,902,0.1
1,1,公営家賃,2389,0.7,84.9,475,0.4,3359,1.7,2585,1,158,0.1,661,0.2,3002,0.7,6430,0.9
1,1,電気代,8325,2.4,-25.6,6089,4.8,7464,3.8,8289,3.3,9270,3.1,8245,2.3,8705,2,10185,1.4
1,1,都市ガス,5443,1.6,-18.2,3503,2.8,5285,2.7,5612,2.2,5196,1.7,5903,1.7,5596,1.3,6981,1
1,1,上下水道料,4810,1.4,-16.2,3092,2.4,4200,2.1,5143,2,5034,1.7,4258,1.2,5088,1.2,6832,0.9
1,1,医科診療代,3972,1.2,4.5,2325,1.8,2915,1.5,3986,1.6,4375,1.4,3631,1,6862,1.6,3695,0.5
1,1,歯科診療代,1915,0.6,-11.8,765,0.6,1386,0.7,692,0.3,978,0.3,2071,0.6,4097,0.9,3401,0.5
1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,他の入院料,2657,0.8,103,121,0.1,891,0.5,302,0.1,1338,0.4,436,0.1,2166,0.5,13285,1.8
1,1,鉄道運賃,2992,0.9,-21.4,95,0.1,641,0.3,2105,0.8,3406,1.1,6114,1.7,3052,0.7,5520,0.8
1,1,鉄道通学定期代,30,0,-91.2,14,0,26,0,-,-,10,0,-,-,-,-,161,0
1,1,鉄道通勤定期代,1085,0.3,-34.4,369,0.3,268,0.1,512,0.2,1292,0.4,470,0.1,2840,0.7,1834,0.3
1,1,バス代,330,0.1,-5.2,40,0,66,0,457,0.2,525,0.2,257,0.1,257,0.1,707,0.1
1,1,バス通学定期代,4,0,-91.3,-,-,-,-,-,-,23,0,-,-,-,-,8,0
1,1,バス通勤定期代,64,0,-46.2,-,-,-,-,-,-,21,0,-,-,391,0.1,32,0
1,1,タクシー代,757,0.2,-38.9,589,0.5,233,0.1,685,0.3,845,0.3,624,0.2,978,0.2,1345,0.2
1,1,航空運賃,577,0.2,142.4,-,-,-,-,421,0.2,128,0,-,-,1469,0.3,2006,0.3
1,1,郵便料,2448,0.7,3.6,1034,0.8,1454,0.7,2217,0.9,2083,0.7,2338,0.7,3023,0.7,4964,0.7
1,1,固定電話通信料,2114,0.6,-15.1,1519,1.2,1512,0.8,2077,0.8,2500,0.8,2252,0.6,2618,0.6,2315,0.3
1,1,移動電話通信料,8398,2.5,-6.5,2128,1.7,5532,2.8,7025,2.8,9333,3.1,11991,3.4,9474,2.2,13249,1.8
1,1,ＮＨＫ放送受信料,1237,0.4,-11.8,1013,0.8,758,0.4,2093,0.8,1397,0.5,883,0.2,1248,0.3,1265,0.2
1,1,ケーブルテレビ放送受信料,1093,0.3,-17.8,332,0.3,1022,0.5,962,0.4,1125,0.4,1180,0.3,1298,0.3,1725,0.2
1,1,他の放送受信料,207,0.1,-4.2,17,0,228,0.1,-,-,104,0,383,0.1,386,0.1,327,0
1,1,国公立小学校,155,0,52,-,-,86,0,-,-,328,0.1,271,0.1,154,0,241,0
1,1,国公立中学校,183,0.1,46.4,-,-,26,0,-,-,149,0,335,0.1,437,0.1,332,0
1,1,国公立高校,45,0,55.2,-,-,-,-,-,-,195,0.1,16,0,-,-,101,0
1,1,国公立大学,24,0,14.3,-,-,-,-,-,-,-,-,33,0,-,-,132,0
1,1,たばこ,871,0.3,1.8,535,0.4,1171,0.6,1404,0.6,1039,0.3,375,0.1,742,0.2,818,0.1
2,0,準公共料金等,28306,8.3,-6.3,8335,6.6,14197,7.2,24539,9.7,23665,7.8,23858,6.7,33388,7.7,69854,9.7
