項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,377,-,-,54,-,52,-,54,-,55,-,53,-,58,-,51,-
0,0,世帯人員,3.28,-,-,3.1,-,2.94,-,3.33,-,3.56,-,3.49,-,3.27,-,3.28,-
0,0,有業人員,1.6,-,-,1.58,-,1.45,-,1.71,-,1.64,-,1.5,-,1.64,-,1.66,-
0,0,世帯主平均年齢,48.4,-,-,54.2,-,50.7,-,46.7,-,46.8,-,44.6,-,46.6,-,49.2,-
0,0,消費支出,336083,-,-0.7,279472,-,261153,-,266307,-,261930,-,306861,-,505449,-,469948,-
0,0,公共的料金,95431,28.4,-9,77966,27.9,76980,29.5,80761,30.3,78610,30,70970,23.1,120288,23.8,161199,34.3
1,0,公共料金等,55562,16.5,-10.1,50533,18.1,52565,20.1,46198,17.3,51502,19.7,50462,16.4,66546,13.2,70906,15.1
1,1,米,1662,0.5,-3.5,1721,0.6,1694,0.6,1307,0.5,1705,0.7,1740,0.6,1636,0.3,1830,0.4
1,1,食塩,34,0,-30.6,48,0,36,0,26,0,31,0,17,0,26,0,54,0
1,1,学校給食,1434,0.4,-15.6,708,0.3,709,0.3,1334,0.5,2492,1,1391,0.5,1903,0.4,1481,0.3
1,1,公営家賃,2664,0.8,75.1,3510,1.3,5917,2.3,3129,1.2,-,-,-,-,6252,1.2,-,-
1,1,電気代,7827,2.3,-16.9,7061,2.5,6821,2.6,7836,2.9,7451,2.8,8332,2.7,7819,1.5,9428,2
1,1,都市ガス,3455,1,-17.4,3442,1.2,2792,1.1,3401,1.3,3741,1.4,3523,1.1,3481,0.7,3784,0.8
1,1,上下水道料,5283,1.6,-13.5,5145,1.8,4891,1.9,5200,2,5530,2.1,5462,1.8,6155,1.2,4614,1
1,1,医科診療代,2892,0.9,-4.2,2261,0.8,2137,0.8,3193,1.2,3590,1.4,1641,0.5,3300,0.7,4077,0.9
1,1,歯科診療代,1749,0.5,-7.5,4036,1.4,648,0.2,742,0.3,1318,0.5,921,0.3,1546,0.3,2994,0.6
1,1,出産入院料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,1,他の入院料,31,0,-97.8,-,-,-,-,-,-,-,-,215,0.1,-,-,-,-
1,1,鉄道運賃,3419,1,17,2667,1,3174,1.2,1534,0.6,3644,1.4,2117,0.7,4655,0.9,6088,1.3
1,1,鉄道通学定期代,2213,0.7,11.3,1396,0.5,1872,0.7,-,-,359,0.1,948,0.3,4825,1,6047,1.3
1,1,鉄道通勤定期代,3777,1.1,-16.6,473,0.2,3931,1.5,4462,1.7,857,0.3,6400,2.1,5014,1,5321,1.1
1,1,バス代,340,0.1,-32.8,347,0.1,247,0.1,154,0.1,433,0.2,447,0.1,244,0,502,0.1
1,1,バス通学定期代,184,0.1,17.2,113,0,-,-,-,-,-,-,-,-,668,0.1,501,0.1
1,1,バス通勤定期代,45,0,36.4,-,-,295,0.1,-,-,12,0,-,-,11,0,-,-
1,1,タクシー代,528,0.2,-5.7,297,0.1,1672,0.6,267,0.1,195,0.1,441,0.1,201,0,638,0.1
1,1,航空運賃,718,0.2,-16.7,1077,0.4,816,0.3,-,-,-,-,-,-,1445,0.3,1684,0.4
1,1,郵便料,317,0.1,-7.8,636,0.2,324,0.1,73,0,200,0.1,232,0.1,168,0,579,0.1
1,1,固定電話通信料,1780,0.5,-15.7,2014,0.7,1649,0.6,1644,0.6,1808,0.7,1421,0.5,2265,0.4,1662,0.4
1,1,移動電話通信料,10679,3.2,-10.8,8114,2.9,8312,3.2,8774,3.3,12926,4.9,11146,3.6,11725,2.3,13643,2.9
1,1,ＮＨＫ放送受信料,1265,0.4,-2,1975,0.7,1083,0.4,1229,0.5,857,0.3,1534,0.5,865,0.2,1308,0.3
1,1,ケーブルテレビ放送受信料,1007,0.3,-8.3,1101,0.4,705,0.3,766,0.3,1262,0.5,690,0.2,797,0.2,1706,0.4
1,1,他の放送受信料,202,0.1,-6.9,305,0.1,282,0.1,292,0.1,154,0.1,62,0,106,0,216,0
1,1,国公立小学校,252,0.1,-18.2,105,0,3,0,110,0,534,0.2,434,0.1,123,0,444,0.1
1,1,国公立中学校,537,0.2,50.8,295,0.1,412,0.2,-,-,1289,0.5,1080,0.4,394,0.1,284,0.1
1,1,国公立高校,713,0.2,298.3,1273,0.5,1644,0.6,-,-,740,0.3,-,-,232,0,1098,0.2
1,1,国公立大学,31,0,-93.6,-,-,-,-,-,-,211,0.1,-,-,-,-,-,-
1,1,たばこ,526,0.2,-40.2,414,0.1,498,0.2,725,0.3,162,0.1,268,0.1,690,0.1,921,0.2
2,0,準公共料金等,39869,11.9,-7.4,27433,9.8,24415,9.3,34563,13,27108,10.3,20507,6.7,53742,10.6,90293,19.2
2,1,牛乳,1433,0.4,5.1,1161,0.4,1256,0.5,1291,0.5,1383,0.5,1684,0.5,1719,0.3,1536,0.3
2,1,灯油,11,0,-60.7,63,0,-,-,13,0,-,-,-,-,-,-,-,-
2,1,プロパンガス,290,0.1,13.3,424,0.2,199,0.1,249,0.1,277,0.1,136,0,506,0.1,243,0.1
2,1,理髪料,399,0.1,30.4,293,0.1,464,0.2,203,0.1,191,0.1,282,0.1,272,0.1,1072,0.2
2,1,パーマネント代,90,0,-65.5,-,-,186,0.1,-,-,-,-,-,-,365,0.1,82,0
2,1,洗濯代,981,0.3,17.1,1020,0.4,302,0.1,802,0.3,592,0.2,783,0.3,1425,0.3,1920,0.4
2,1,新聞,2556,0.8,3.7,2612,0.9,2346,0.9,2124,0.8,2786,1.1,2254,0.7,2169,0.4,3571,0.8
2,1,私立小学校,-,-,-100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,1,私立中学校,1075,0.3,120.7,674,0.2,-,-,-,-,1593,0.6,-,-,-,-,5142,1.1
2,1,私立高校,3781,1.1,6.4,1005,0.4,-,-,2349,0.9,915,0.3,-,-,8390,1.7,13619,2.9
2,1,私立大学,11437,3.4,17.9,6134,2.2,-,-,-,-,336,0.1,-,-,17806,3.5,54884,11.7
2,1,幼児教育費用,3342,1,-26.2,3190,1.1,1357,0.5,1881,0.7,6699,2.6,4521,1.5,4252,0.8,1476,0.3
2,1,民営家賃,14090,4.2,-19.9,10856,3.9,16571,6.3,25650,9.6,12335,4.7,10846,3.5,15852,3.1,6748,1.4
2,1,地代,384,0.1,58.7,-,-,1734,0.7,-,-,-,-,-,-,987,0.2,-,-
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成27年10月,,,,,,,,,,,,,,,,,,,
第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―勤労者世帯―,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：公共料金等　2：準公共料金等）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
