項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,367,-,-,50,-,53,-,51,-,50,-,56,-,54,-,53,-
0,0,世帯人員,3.35,-,-,2.91,-,3.11,-,3.19,-,3.54,-,3.38,-,3.47,-,3.84,-
0,0,有業人員,1.64,-,-,1.58,-,1.79,-,1.55,-,1.61,-,1.58,-,1.78,-,1.63,-
0,0,世帯主平均年齢,47.8,-,-,53,-,50.5,-,44.2,-,44.5,-,47.5,-,48.6,-,46.5,-
0,0,消費支出,380771,-,12.4,274683,-,306373,-,370159,-,354546,-,349382,-,399128,-,609951,-
0,0,公共的料金,113676,29.9,11.1,81027,29.5,115215,37.6,93870,25.4,132573,37.4,114717,32.8,112917,28.3,145176,23.8
1,0,公共料金等,69869,18.3,9.4,45219,16.5,62827,20.5,62461,16.9,81180,22.9,70077,20.1,75201,18.8,91935,15.1
1,1,米,1776,0.5,-13.5,1569,0.6,1614,0.5,1677,0.5,1625,0.5,2162,0.6,1788,0.4,1993,0.3
1,1,食塩,34,0,0,37,0,42,0,15,0,21,0,18,0,17,0,86,0
1,1,学校給食,1769,0.5,42.4,121,0,1371,0.4,1134,0.3,3016,0.9,2194,0.6,1789,0.4,2757,0.5
1,1,公営家賃,1318,0.3,-40,-,-,2867,0.9,2747,0.7,2455,0.7,1153,0.3,-,-,-,-
1,1,電気代,13003,3.4,7,12219,4.4,13280,4.3,11931,3.2,11407,3.2,14596,4.2,12937,3.2,14612,2.4
1,1,都市ガス,9284,2.4,10.6,8591,3.1,9511,3.1,7981,2.2,7751,2.2,8773,2.5,9773,2.4,12569,2.1
1,1,上下水道料,5081,1.3,7.9,5291,1.9,6756,2.2,4163,1.1,3564,1,4176,1.2,6817,1.7,4741,0.8
1,1,医科診療代,2644,0.7,17.7,2347,0.9,2593,0.8,1993,0.5,3807,1.1,3292,0.9,3159,0.8,1319,0.2
1,1,歯科診療代,1775,0.5,107.6,532,0.2,1280,0.4,1006,0.3,1048,0.3,792,0.2,543,0.1,7217,1.2
1,1,出産入院料,2300,0.6,...,-,-,-,-,-,-,16324,4.6,-,-,-,-,-,-
1,1,他の入院料,516,0.1,30.3,-,-,-,-,246,0.1,-,-,3359,1,-,-,-,-
1,1,鉄道運賃,4693,1.2,35.6,2581,0.9,2256,0.7,4660,1.3,6253,1.8,3812,1.1,2662,0.7,10672,1.7
1,1,鉄道通学定期代,1050,0.3,131.3,447,0.2,259,0.1,582,0.2,2492,0.7,806,0.2,908,0.2,1880,0.3
1,1,鉄道通勤定期代,3187,0.8,-5.5,-,-,1395,0.5,5838,1.6,1772,0.5,4103,1.2,2848,0.7,6317,1
1,1,バス代,327,0.1,-22,245,0.1,534,0.2,214,0.1,149,0,448,0.1,354,0.1,335,0.1
1,1,バス通学定期代,174,0,41.5,226,0.1,-,-,74,0,126,0,83,0,484,0.1,223,0
1,1,バス通勤定期代,67,0,-45.5,-,-,-,-,-,-,232,0.1,-,-,225,0.1,10,0
1,1,タクシー代,1168,0.3,62,1111,0.4,732,0.2,219,0.1,964,0.3,651,0.2,1642,0.4,2849,0.5
1,1,航空運賃,621,0.2,-74.9,-,-,-,-,577,0.2,427,0.1,-,-,2567,0.6,750,0.1
1,1,郵便料,513,0.1,69.3,230,0.1,320,0.1,487,0.1,548,0.2,618,0.2,775,0.2,610,0.1
1,1,固定電話通信料,2092,0.5,-14.3,1614,0.6,2494,0.8,2057,0.6,1905,0.5,1624,0.5,2527,0.6,2404,0.4
1,1,移動電話通信料,12248,3.2,3.8,5477,2,10432,3.4,11557,3.1,11753,3.3,13343,3.8,17062,4.3,15968,2.6
1,1,ＮＨＫ放送受信料,948,0.2,11.1,680,0.2,1350,0.4,1761,0.5,355,0.1,744,0.2,1106,0.3,619,0.1
1,1,ケーブルテレビ放送受信料,1205,0.3,22.7,889,0.3,1326,0.4,735,0.2,747,0.2,1519,0.4,1928,0.5,1266,0.2
1,1,他の放送受信料,205,0.1,188.7,148,0.1,112,0,10,0,135,0,76,0,678,0.2,268,0
1,1,国公立小学校,285,0.1,22.8,-,-,519,0.2,103,0,350,0.1,221,0.1,328,0.1,470,0.1
1,1,国公立中学校,345,0.1,96,-,-,637,0.2,-,-,578,0.2,298,0.1,73,0,824,0.1
1,1,国公立高校,89,0,93.5,-,-,-,-,28,0,309,0.1,54,0,-,-,238,0
1,1,国公立大学,120,0,9.1,-,-,-,-,-,-,-,-,-,-,831,0.2,-,-
1,1,たばこ,1032,0.3,-27.1,864,0.3,1145,0.4,663,0.2,1069,0.3,1161,0.3,1378,0.3,935,0.2
2,0,準公共料金等,43806,11.5,13.9,35807,13,52388,17.1,31408,8.5,51393,14.5,44640,12.8,37717,9.4,53241,8.7
2,1,牛乳,1143,0.3,-6.2,1039,0.4,1336,0.4,1017,0.3,945,0.3,1041,0.3,1128,0.3,1489,0.2
2,1,灯油,564,0.1,-36.2,286,0.1,575,0.2,585,0.2,298,0.1,730,0.2,1241,0.3,214,0
2,1,プロパンガス,255,0.1,-49.6,113,0,675,0.2,385,0.1,297,0.1,28,0,226,0.1,59,0
2,1,理髪料,232,0.1,-22.1,322,0.1,209,0.1,77,0,60,0,237,0.1,339,0.1,377,0.1
2,1,パーマネント代,211,0.1,-44.2,258,0.1,610,0.2,-,-,-,-,116,0,-,-,489,0.1
2,1,洗濯代,654,0.2,-3.1,640,0.2,563,0.2,518,0.1,683,0.2,404,0.1,943,0.2,822,0.1
2,1,新聞,2417,0.6,1.8,2801,1,2470,0.8,2473,0.7,2106,0.6,2152,0.6,2154,0.5,2766,0.5
2,1,私立小学校,782,0.2,32.3,-,-,-,-,-,-,-,-,-,-,695,0.2,4765,0.8
2,1,私立中学校,1028,0.3,-59.2,2898,1.1,575,0.2,-,-,2619,0.7,-,-,641,0.2,523,0.1
2,1,私立高校,7019,1.8,93.6,7198,2.6,-,-,13,0,20154,5.7,7840,2.2,4092,1,10136,1.7
2,1,私立大学,5800,1.5,13.4,-,-,5626,1.8,1488,0.4,713,0.2,4718,1.4,10657,2.7,17180,2.8
2,1,幼児教育費用,4864,1.3,74.8,2746,1,4511,1.5,2997,0.8,5227,1.5,5827,1.7,4511,1.1,8204,1.3
2,1,民営家賃,18034,4.7,15.3,17507,6.4,30255,9.9,21855,5.9,18292,5.2,21547,6.2,10512,2.6,6217,1
2,1,地代,804,0.2,-56.8,-,-,4981,1.6,-,-,-,-,-,-,577,0.1,-,-
,,,,,,,,,,,,,,,,,,,
東京都生計分析調査　平成27年1月,,,,,,,,,,,,,,,,,,,
第１２表　勤め先収入７分位階層別１世帯当たり１か月間の公共的料金支出　―勤労者世帯―,,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：公共料金等　2：準公共料金等）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
