年次・月次コード,年次・月次,西暦（年）,月,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成20年平均,2008,,49.9,37.6,39.8,42.6,50,54,56.6,57.7
nen,平成21年平均,2009,,50.8,40,41.3,44.8,49.9,55.5,54.7,58.4
nen,平成22年平均,2010,,55.7,48,47.3,48.7,54.1,59.1,62.4,61.1
nen,平成23年平均,2011,,54.6,44.4,46.5,51,53.4,56,60.6,61.1
nen,平成24年平均,2012,,55.6,47.9,46,48.4,54,58.2,59.1,64.5
nen,平成25年平均,2013,,54.5,48.1,46.2,47.4,52.5,56.3,60.9,61.2
nen,平成26年平均,2014,,53.9,44.3,47,50.3,54.7,55.2,58.3,59.9
tuki,平成26年11月,2014,11,52.7,39.1,44,47,54.9,55.6,56.1,61.7
tuki,平成26年12月,2014,12,50.6,32.2,40.9,50,51.3,51.7,52,62
tuki,平成27年1月,2015,1,53.3,44.7,42.5,58.4,50.8,51.2,52.6,62.7
tuki,平成27年2月,2015,2,50.4,35.9,39.4,46.6,50.8,45.7,47.4,67.1
tuki,平成27年3月,2015,3,51.5,40.2,39.6,42.8,49.8,58.6,54.2,61.8
tuki,平成27年4月,2015,4,59.6,38.8,52.5,49.7,56.3,61,63.8,71.5
tuki,平成27年5月,2015,5,55.3,45.4,45.5,46,52.5,56.2,59.7,66.8
tuki,平成27年6月,2015,6,50.3,36.4,42.1,40.6,48.5,54.4,56.9,57
tuki,平成27年7月,2015,7,52.4,43.3,41.4,50.9,51.3,55.9,54.9,60.5
tuki,平成27年8月,2015,8,50.9,47.5,41.3,46,51.6,44.7,58.7,58.2
tuki,平成27年9月,2015,9,52.3,42.6,39.3,45.9,47.6,54.7,61.3,61
tuki,平成27年10月,2015,10,50.2,50.6,44.5,41.2,50.4,52.6,42,64.9
tuki,平成27年11月,2015,11,50.9,44.5,49.6,45.2,50.5,47.4,51.1,61
,,,,,,,,,,,
東京都生計分析調査　平成27年11月,,,,,,,,,,,
主要指標５　―勤労者世帯，勤め先収入７分位階層別―,,,,,,,,,,,
選択的支出係数〔＝（選択的支出÷消費支出）×１００〕,,,,,,,,,,,
